graph_id,gt_x,gt_y,gt_th,est_x,est_y,est_th,err_x,err_y,err_th,err_trans,err_rot
1,-8.000000000e+00,-7.000000000e+00,1.570796371e+00,-8.004282951e+00,-6.993430138e+00,1.569921613e+00,6.569862366e-03,4.282951355e-03,-8.748060791e-04,7.842624560e-03,8.748060791e-04
2,-8.000000000e+00,-6.000000000e+00,0.000000000e+00,-8.003774643e+00,-6.000135422e+00,-2.997713746e-04,-3.774642944e-03,-1.354217529e-04,-2.997713746e-04,3.777071368e-03,2.997713746e-04
3,-8.000000000e+00,-5.000000000e+00,1.570796371e+00,-8.000850677e+00,-4.999278069e+00,1.570373535e+00,7.219314575e-04,8.506774902e-04,-4.227764439e-04,1.115722698e-03,4.227764439e-04
4,-8.000000000e+00,-4.000000000e+00,0.000000000e+00,-8.002306938e+00,-4.000801086e+00,-3.638957651e-06,-2.306938171e-03,-8.010864258e-04,-3.638957651e-06,2.442069352e-03,3.638957651e-06
5,-8.000000000e+00,-3.000000000e+00,1.570796371e+00,-8.000040054e+00,-3.001042604e+00,1.570396304e+00,-1.042604446e-03,4.005432129e-05,-4.001056368e-04,1.043373486e-03,4.001056368e-04
6,-8.000000000e+00,-2.000000000e+00,0.000000000e+00,-7.999723434e+00,-2.000164747e+00,-2.417844371e-04,2.765655518e-04,-1.647472382e-04,-2.417844371e-04,3.219163918e-04,2.417844371e-04
7,-8.000000000e+00,-1.000000000e+00,1.570796371e+00,-8.001302719e+00,-1.000876784e+00,1.570751667e+00,-8.767843246e-04,1.302719116e-03,-4.473600711e-05,1.570295542e-03,4.473600711e-05
8,-8.000000000e+00,0.000000000e+00,0.000000000e+00,-8.003551483e+00,-7.226191228e-04,-9.036670963e-05,-3.551483154e-03,-7.226191228e-04,-9.036670963e-05,3.624253208e-03,9.036670963e-05
9,-8.000000000e+00,1.000000000e+00,1.570796371e+00,-8.000235558e+00,9.989891648e-01,1.570829868e+00,-1.010835171e-03,2.355575562e-04,3.357595415e-05,1.037918613e-03,3.357595415e-05
10,-8.000000000e+00,2.000000000e+00,0.000000000e+00,-8.001350403e+00,1.998327971e+00,-4.818907473e-05,-1.350402832e-03,-1.672029495e-03,-4.818907473e-05,2.149248729e-03,4.818907473e-05
11,-8.000000000e+00,3.000000000e+00,1.570796371e+00,-8.001365662e+00,2.998080492e+00,1.570965171e+00,-1.919507980e-03,1.365661621e-03,1.688511984e-04,2.355746692e-03,1.688511984e-04
12,-8.000000000e+00,4.000000000e+00,0.000000000e+00,-7.999979496e+00,4.002795219e+00,-5.406873534e-04,2.050399780e-05,2.795219421e-03,-5.406873534e-04,2.795294626e-03,5.406873534e-04
13,-8.000000000e+00,5.000000000e+00,1.570796371e+00,-8.003668785e+00,5.000420094e+00,1.570662737e+00,4.200935364e-04,3.668785095e-03,-1.336678251e-04,3.692758037e-03,1.336678251e-04
14,-8.000000000e+00,6.000000000e+00,0.000000000e+00,-7.999009132e+00,6.004847527e+00,-5.427516298e-04,9.908676147e-04,4.847526550e-03,-5.427516298e-04,4.947760142e-03,5.427516298e-04
15,-8.000000000e+00,7.000000000e+00,1.570796371e+00,-8.003273964e+00,7.000838280e+00,1.571048021e+00,8.382797241e-04,3.274440765e-03,2.517212415e-04,3.380040638e-03,2.517212415e-04
16,-8.000000000e+00,8.000000000e+00,0.000000000e+00,-7.999958038e+00,8.000073433e+00,-1.787795918e-04,4.196166992e-05,7.343292236e-05,-1.787795918e-04,8.457645163e-05,1.787795918e-04
17,-7.000000000e+00,-8.000000000e+00,3.141592503e+00,-7.001023293e+00,-7.997838020e+00,3.141382456e+00,1.023292542e-03,-2.162456512e-03,-2.100251440e-04,2.392351395e-03,2.100251440e-04
18,-7.000000000e+00,-7.000000000e+00,-1.570796371e+00,-7.003899574e+00,-6.997963905e+00,-1.571097136e+00,-2.036094666e-03,-3.899574280e-03,-3.007776395e-04,4.399131984e-03,3.007776395e-04
