graph_id,gt_x,gt_y,gt_th,est_x,est_y,est_th,err_x,err_y,err_th,err_trans,err_rot
1,-8.000000000e+00,-7.000000000e+00,1.570796371e+00,-8.002001762e+00,-6.996019840e+00,1.570289135e+00,3.980159760e-03,2.001762390e-03,-5.072839558e-04,4.455190618e-03,5.072839558e-04
2,-8.000000000e+00,-6.000000000e+00,0.000000000e+00,-7.999739170e+00,-6.001791000e+00,3.488018701e-04,2.608299255e-04,-1.791000366e-03,3.488018701e-04,1.809893525e-03,3.488018701e-04
3,-8.000000000e+00,-5.000000000e+00,1.570796371e+00,-7.999549389e+00,-5.002630234e+00,1.571300864e+00,-2.630233765e-03,-4.506111145e-04,5.045828293e-04,2.668553963e-03,5.045828293e-04
4,-8.000000000e+00,-4.000000000e+00,0.000000000e+00,-7.999690533e+00,-4.002676010e+00,6.112675765e-04,3.094673157e-04,-2.676010132e-03,6.112675765e-04,2.693844726e-03,6.112675765e-04
5,-8.000000000e+00,-3.000000000e+00,1.570796371e+00,-7.999458313e+00,-3.002343178e+00,1.570872068e+00,-2.343177795e-03,-5.416870117e-04,7.569599256e-05,2.404975472e-03,7.569599256e-05
6,-8.000000000e+00,-2.000000000e+00,0.000000000e+00,-8.000963211e+00,-1.999626875e+00,1.790113602e-04,-9.632110596e-04,3.731250763e-04,1.790113602e-04,1.032955828e-03,1.790113602e-04
7,-8.000000000e+00,-1.000000000e+00,1.570796371e+00,-8.000604630e+00,-9.999164343e-01,1.571134686e+00,8.356571198e-05,6.046295166e-04,3.384036245e-04,6.103769992e-04,3.384036245e-04
8,-8.000000000e+00,0.000000000e+00,0.000000000e+00,-8.001728058e+00,-1.089460216e-03,8.017521759e-05,-1.728057861e-03,-1.089460216e-03,8.017521759e-05,2.042818582e-03,8.017521759e-05
9,-8.000000000e+00,1.000000000e+00,1.570796371e+00,-8.000340462e+00,9.995532632e-01,1.570910692e+00,-4.467368126e-04,3.404617310e-04,1.143321206e-04,5.616831477e-04,1.143321206e-04
10,-8.000000000e+00,2.000000000e+00,0.000000000e+00,-8.000339508e+00,1.997957110e+00,5.178841093e-05,-3.395080566e-04,-2.042889595e-03,5.178841093e-05,2.070908900e-03,5.178841093e-05
11,-8.000000000e+00,3.000000000e+00,1.570796371e+00,-8.001815796e+00,2.998768091e+00,1.570684433e+00,-1.231908798e-03,1.815795898e-03,-1.118893197e-04,2.194245579e-03,1.118893197e-04
12,-8.000000000e+00,4.000000000e+00,0.000000000e+00,-8.002022743e+00,3.999230146e+00,5.714123836e-05,-2.022743225e-03,-7.698535919e-04,5.714123836e-05,2.164293081e-03,5.714123836e-05
13,-8.000000000e+00,5.000000000e+00,1.570796371e+00,-8.004031181e+00,4.999858856e+00,1.570607305e+00,-1.411437988e-04,4.031181335e-03,-1.890287676e-04,4.033651203e-03,1.890287676e-04
14,-8.000000000e+00,6.000000000e+00,0.000000000e+00,-7.999935627e+00,6.002580166e+00,-4.554874613e-04,6.437301636e-05,2.580165863e-03,-4.554874613e-04,2.580968663e-03,4.554874613e-04
15,-8.000000000e+00,7.000000000e+00,1.570796371e+00,-7.997759342e+00,7.005090714e+00,1.570142269e+00,5.090713501e-03,-2.240657806e-03,-6.540677277e-04,5.562006030e-03,6.540677277e-04
16,-8.000000000e+00,8.000000000e+00,0.000000000e+00,-7.998373032e+00,8.000771523e+00,-3.344233264e-04,1.626968384e-03,7.715225220e-04,-3.344233264e-04,1.800631289e-03,3.344233264e-04
17,-7.000000000e+00,-8.000000000e+00,3.141592503e+00,-7.003053188e+00,-7.998089314e+00,3.141118050e+00,3.053188324e-03,-1.911163330e-03,-4.745028273e-04,3.602013923e-03,4.745028273e-04
18,-7.000000000e+00,-7.000000000e+00,-1.570796371e+00,-7.002388954e+00,-7.000390053e+00,-1.570785642e+00,3.900527954e-04,-2.388954163e-03,1.069091286e-05,2.420587465e-03,1.069091286e-05
19,-7.000000000e+00,-6.000000000e+00,3.141592503e+00,-7.001322269e+00,-5.999550819e+00,3.141364336e+00,1.322269440e-03,-4.491806030e-04,-2.282923233e-04,1.396481181e-03,2.282923233e-04
20,-7.000000000e+00,-5.000000000e+00,-1.570796371e+00,-6.998923779e+00,-5.003539562e+00,-1.570338964e+00,3.539562225e-03,1.076221466e-03,4.573493497e-04,3.699561115e-03,4.573493497e-04
21,-7.000000000e+00,-4.000000000e+00,3.141592503e+00,-7.001462460e+00,-3.999789000e+00,3.141515017e+00,1.462459564e-03,-2.107620239e-04,-7.760095468e-05,1.477568527e-03,7.760095468e-05
22,-7.000000000e+00,-3.000000000e+00,-1.570796371e+00,-6.999181271e+00,-3.000602961e+00,-1.570676804e+00,6.029605865e-04,8.187294006e-04,1.195659788e-04,1.016798546e-03,1.195659788e-04
23,-7.000000000e+00,-2.000000000e+00,3.141592503e+00,-6.999066830e+00,-1.998357773e+00,-3.141348839e+00,-9.331703186e-04,-1.642346382e-03,2.438885713e-04,1.888943720e-03,2.438885713e-04
24,-7.000000000e+00,-1.000000000e+00,-1.570796371e+00,-6.998170853e+00,-9.948344827e-01,-1.570905089e+00,-5.165576935e-03,1.829147339e-03,-1.087029377e-04,5.479868967e-03,1.087029377e-04
25,-7.000000000e+00,0.000000000e+00,3.141592503e+00,-6.999557018e+00,9.827194735e-04,-3.141591311e+00,-4.429817200e-04,-9.827195900e-04,1.364565719e-06,1.077947323e-03,1.364565719e-06
26,-7.000000000e+00,1.000000000e+00,-1.570796371e+00,-6.998362541e+00,1.001355529e+00,-1.571067810e+00,-1.355469227e-03,1.637458801e-03,-2.714203438e-04,2.125692321e-03,2.714203438e-04
27,-7.000000000e+00,2.000000000e+00,3.141592503e+00,-7.000606537e+00,2.002265692e+00,3.141444683e+00,6.065368652e-04,-2.265572548e-03,-1.478762715e-04,2.345358254e-03,1.478762715e-04
28,-7.000000000e+00,3.000000000e+00,-1.570796371e+00,-6.999968529e+00,3.000986576e+00,-1.570951343e+00,-9.865760803e-04,3.147125244e-05,-1.549936278e-04,9.870779468e-04,1.549936278e-04
29,-7.000000000e+00,4.000000000e+00,3.141592503e+00,-7.001786232e+00,3.999306679e+00,3.141567230e+00,1.786231995e-03,6.933212280e-04,-2.533390034e-05,1.916068606e-03,2.533390034e-05
30,-7.000000000e+00,5.000000000e+00,-1.570796371e+00,-7.000289440e+00,4.997456551e+00,-1.570692420e+00,2.543449402e-03,-2.894401550e-04,1.039230774e-04,2.559865359e-03,1.039230774e-04
31,-7.000000000e+00,6.000000000e+00,3.141592503e+00,-6.999253273e+00,5.999559402e+00,3.141304493e+00,-7.467269897e-04,4.405975342e-04,-2.879887470e-04,8.670221432e-04,2.879887470e-04
32,-7.000000000e+00,7.000000000e+00,-1.570796371e+00,-6.998808861e+00,7.000563145e+00,-1.571019769e+00,-5.631446838e-04,1.191139221e-03,-2.234317799e-04,1.317552524e-03,2.234317799e-04
33,-7.000000000e+00,8.000000000e+00,3.141592503e+00,-6.996513367e+00,8.001839638e+00,3.141362429e+00,-3.486633301e-03,-1.839160919e-03,-2.301804489e-04,3.941969480e-03,2.301804489e-04
34,-6.000000000e+00,-8.000000000e+00,0.000000000e+00,-6.003569126e+00,-8.002209663e+00,-6.082949694e-04,-3.569126129e-03,-2.209663391e-03,-6.082949694e-04,4.197770264e-03,6.082949694e-04
