graph_id,gt_x,gt_y,gt_th,est_x,est_y,est_th,err_x,err_y,err_th,err_trans,err_rot
1,-8.000000000e+00,-7.000000000e+00,1.570796371e+00,-7.985860825e+00,-7.003389835e+00,1.572134495e+00,-3.389835358e-03,-1.413869858e-02,1.338119037e-03,1.453938708e-02,1.338119037e-03
2,-8.000000000e+00,-6.000000000e+00,0.000000000e+00,-7.998259068e+00,-6.006414413e+00,6.565239746e-04,1.740932465e-03,-6.414413452e-03,6.565239746e-04,6.646468770e-03,6.565239746e-04
3,-8.000000000e+00,-5.000000000e+00,1.570796371e+00,-7.994449615e+00,-5.006412506e+00,1.571306825e+00,-6.412506104e-03,-5.550384521e-03,5.104324664e-04,8.480979130e-03,5.104324664e-04
4,-8.000000000e+00,-4.000000000e+00,0.000000000e+00,-8.001120567e+00,-4.001609802e+00,1.070771614e-04,-1.120567322e-03,-1.609802246e-03,1.070771614e-04,1.961411443e-03,1.070771614e-04
5,-8.000000000e+00,-3.000000000e+00,1.570796371e+00,-7.995553017e+00,-3.006445408e+00,1.571348786e+00,-6.445407867e-03,-4.446983337e-03,5.524522276e-04,7.830641232e-03,5.524522276e-04
6,-8.000000000e+00,-2.000000000e+00,0.000000000e+00,-7.999657631e+00,-2.001425505e+00,-5.859094017e-05,3.423690796e-04,-1.425504684e-03,-5.859094017e-05,1.466042362e-03,5.859094017e-05
7,-8.000000000e+00,-1.000000000e+00,1.570796371e+00,-7.998650551e+00,-1.004300714e+00,1.571152210e+00,-4.300713539e-03,-1.349449158e-03,3.558876051e-04,4.507455043e-03,3.558876051e-04
8,-8.000000000e+00,0.000000000e+00,0.000000000e+00,-8.001310349e+00,-3.779279534e-03,4.924027598e-04,-1.310348511e-03,-3.779279534e-03,4.924027598e-04,3.999995999e-03,4.924027598e-04
9,-8.000000000e+00,1.000000000e+00,1.570796371e+00,-7.998202324e+00,9.902043939e-01,1.571789265e+00,-9.795606136e-03,-1.797676086e-03,9.929835796e-04,9.959193878e-03,9.929835796e-04
10,-8.000000000e+00,2.000000000e+00,0.000000000e+00,-8.002755165e+00,1.990096450e+00,8.203380276e-04,-2.755165100e-03,-9.903550148e-03,8.203380276e-04,1.027965173e-02,8.203380276e-04
