scenario,param,rte_dmap_p2pl,rte_icp_p2p,signed_diff_rte_(A-B),abs_diff_rte,rel_diff_rte_%_(A-B),within_thresh_rte,rre_dmap_p2pl,rre_icp_p2p,signed_diff_rre_(A-B),abs_diff_rre,rel_diff_rre_%_(A-B),within_thresh_rre
nav_a_diff,0.50m,1.37,3.14,-1.77,1.77,-56.4,False,0.139,0.147,-0.008,0.008,-5.4,False
nav_a_omni,0.50m,1.18,2.60,-1.42,1.42,-54.6,False,0.099,0.108,-0.009,0.009,-8.3,False
loop,0.50m,4.50,6.91,-2.41,2.41,-34.9,False,0.286,0.338,-0.052,0.052,-15.4,False
slippage,0.50m,0.89,1.38,-0.49,0.49,-35.5,False,0.078,0.104,-0.026,0.026,-25.0,False
nav_a_diff,1.00m,1.35,2.20,-0.85,0.85,-38.6,False,0.136,0.138,-0.002,0.002,-1.4,True
nav_a_omni,1.00m,1.17,1.77,-0.60,0.60,-33.9,False,0.117,0.109,+0.008,0.008,+7.3,False
loop,1.00m,4.19,5.15,-0.96,0.96,-18.6,False,0.265,0.276,-0.011,0.011,-4.0,False
slippage,1.00m,1.22,0.60,+0.62,0.62,+103.3,False,0.111,0.088,+0.023,0.023,+26.1,False
nav_a_diff,1.50m,1.36,1.69,-0.33,0.33,-19.5,False,0.136,0.134,+0.002,0.002,+1.5,True
nav_a_omni,1.50m,1.10,1.46,-0.36,0.36,-24.7,False,0.099,0.112,-0.013,0.013,-11.6,False
loop,1.50m,4.03,3.93,+0.10,0.10,+2.5,False,0.251,0.235,+0.016,0.016,+6.8,False
slippage,1.50m,0.80,0.48,+0.32,0.32,+66.7,False,0.050,0.059,-0.009,0.009,-15.3,False
nav_a_diff,2.00m,1.38,1.62,-0.24,0.24,-14.8,False,0.133,0.125,+0.008,0.008,+6.4,False
nav_a_omni,2.00m,1.16,1.31,-0.15,0.15,-11.5,False,0.108,0.092,+0.016,0.016,+17.4,False
loop,2.00m,3.23,2.75,+0.48,0.48,+17.5,False,0.202,0.180,+0.022,0.022,+12.2,False
slippage,2.00m,0.96,0.45,+0.51,0.51,+113.3,False,0.077,0.054,+0.023,0.023,+42.6,False
nav_a_diff,2.50m,1.33,1.34,-0.01,0.01,-0.7,True,0.122,0.109,+0.013,0.013,+11.9,False
nav_a_omni,2.50m,1.20,1.16,+0.04,0.04,+3.4,True,0.106,0.096,+0.010,0.010,+10.4,False
loop,2.50m,3.79,4.19,-0.40,0.40,-9.5,False,0.213,0.231,-0.018,0.018,-7.8,False
slippage,2.50m,0.81,0.77,+0.04,0.04,+5.2,True,0.065,0.045,+0.020,0.020,+44.4,False
nav_a_diff,3.00m,1.23,1.57,-0.34,0.34,-21.7,False,0.117,0.139,-0.022,0.022,-15.8,False
nav_a_omni,3.00m,1.46,1.37,+0.09,0.09,+6.6,False,0.118,0.102,+0.016,0.016,+15.7,False
loop,3.00m,2.71,3.62,-0.91,0.91,-25.1,False,0.187,0.222,-0.035,0.035,-15.8,False
slippage,3.00m,0.89,0.68,+0.21,0.21,+30.9,False,0.081,0.039,+0.042,0.042,+107.7,False
nav_a_diff,40%,1.21,1.34,-0.13,0.13,-9.7,False,0.121,0.114,+0.007,0.007,+6.1,False
nav_a_omni,40%,1.33,1.19,+0.14,0.14,+11.8,False,0.132,0.106,+0.026,0.026,+24.5,False
loop,40%,2.13,2.89,-0.76,0.76,-26.3,False,0.169,0.176,-0.007,0.007,-4.0,False
slippage,40%,1.34,0.87,+0.47,0.47,+54.0,False,0.131,0.061,+0.070,0.070,+114.8,False
nav_a_diff,50%,1.28,1.45,-0.17,0.17,-11.7,False,0.119,0.132,-0.013,0.013,-9.8,False
nav_a_omni,50%,1.33,1.21,+0.12,0.12,+9.9,False,0.122,0.106,+0.016,0.016,+15.1,False
loop,50%,2.60,3.33,-0.73,0.73,-21.9,False,0.143,0.197,-0.054,0.054,-27.4,False
slippage,50%,1.03,0.64,+0.39,0.39,+60.9,False,0.116,0.051,+0.065,0.065,+127.5,False
nav_a_diff,60%,1.31,1.56,-0.25,0.25,-16.0,False,0.121,0.136,-0.015,0.015,-11.0,False
nav_a_omni,60%,1.11,1.41,-0.30,0.30,-21.3,False,0.089,0.112,-0.023,0.023,-20.5,False
loop,60%,3.35,3.56,-0.21,0.21,-5.9,False,0.204,0.213,-0.009,0.009,-4.2,False
slippage,60%,1.27,0.56,+0.71,0.71,+126.8,False,0.132,0.053,+0.079,0.079,+149.1,False
nav_a_diff,70%,1.36,1.85,-0.49,0.49,-26.5,False,0.136,0.129,+0.007,0.007,+5.4,False
nav_a_omni,70%,1.15,1.66,-0.51,0.51,-30.7,False,0.105,0.108,-0.003,0.003,-2.8,True
loop,70%,4.19,4.80,-0.61,0.61,-12.7,False,0.234,0.239,-0.005,0.005,-2.1,True
slippage,70%,0.75,0.75,+0.00,0.00,+0.0,True,0.070,0.079,-0.009,0.009,-11.4,False
nav_a_diff,80%,1.36,2.45,-1.09,1.09,-44.5,False,0.153,0.130,+0.023,0.023,+17.7,False
nav_a_omni,80%,1.42,2.13,-0.71,0.71,-33.3,False,0.096,0.079,+0.017,0.017,+21.5,False
loop,80%,4.50,6.02,-1.52,1.52,-25.2,False,0.246,0.303,-0.057,0.057,-18.8,False
slippage,80%,5.52,1.06,+4.46,4.46,+420.8,False,0.133,0.097,+0.036,0.036,+37.1,False
nav_a_diff,90%,13.15,5.00,+8.15,8.15,+163.0,False,0.659,0.216,+0.443,0.443,+205.1,False
nav_a_omni,90%,12.81,4.07,+8.74,8.74,+214.7,False,0.445,0.163,+0.282,0.282,+173.0,False
loop,90%,9.10,10.93,-1.83,1.83,-16.7,False,0.292,0.407,-0.115,0.115,-28.3,False
slippage,90%,16.29,2.61,+13.68,13.68,+524.1,False,0.504,0.093,+0.411,0.411,+441.9,False
