scenario,param,rte_dmap_p2p,rte_icp_p2pl,signed_diff_rte_(A-B),abs_diff_rte,rel_diff_rte_%_(A-B),within_thresh_rte,rre_dmap_p2p,rre_icp_p2pl,signed_diff_rre_(A-B),abs_diff_rre,rel_diff_rre_%_(A-B),within_thresh_rre
nav_a_omni,2.50m,0.91,1.02,-0.11,0.11,-10.8,False,0.080,0.083,-0.003,0.003,-3.6,True
loop,2.50m,3.19,2.91,+0.28,0.28,+9.6,False,0.165,0.184,-0.019,0.019,-10.3,False
slippage,2.50m,0.80,0.76,+0.04,0.04,+5.3,True,0.081,0.099,-0.018,0.018,-18.2,False
nav_a_diff,3.00m,1.23,1.51,-0.28,0.28,-18.5,False,0.108,0.115,-0.007,0.007,-6.1,False
nav_a_omni,3.00m,1.27,1.24,+0.03,0.03,+2.4,True,0.113,0.108,+0.005,0.005,+4.6,False
loop,3.00m,2.72,3.55,-0.83,0.83,-23.4,False,0.145,0.154,-0.009,0.009,-5.8,False
slippage,3.00m,0.79,0.71,+0.08,0.08,+11.3,False,0.079,0.075,+0.004,0.004,+5.3,True
nav_a_diff,40%,1.01,1.14,-0.13,0.13,-11.4,False,0.085,0.091,-0.006,0.006,-6.6,False
nav_a_omni,40%,1.04,0.93,+0.11,0.11,+11.8,False,0.088,0.097,-0.009,0.009,-9.3,False
loop,40%,2.29,1.74,+0.55,0.55,+31.6,False,0.135,0.123,+0.012,0.012,+9.8,False
slippage,40%,0.76,0.79,-0.03,0.03,-3.8,True,0.073,0.078,-0.005,0.005,-6.4,False
nav_a_diff,50%,0.98,1.06,-0.08,0.08,-7.5,False,0.085,0.102,-0.017,0.017,-16.7,False
nav_a_omni,50%,0.84,0.84,+0.00,0.00,+0.0,True,0.067,0.091,-0.024,0.024,-26.4,False
loop,50%,2.57,2.13,+0.44,0.44,+20.7,False,0.136,0.137,-0.001,0.001,-0.7,True
slippage,50%,0.71,0.65,+0.06,0.06,+9.2,False,0.091,0.083,+0.008,0.008,+9.6,False
nav_a_diff,60%,1.16,1.05,+0.11,0.11,+10.5,False,0.103,0.111,-0.008,0.008,-7.2,False
nav_a_omni,60%,0.87,0.84,+0.03,0.03,+3.6,True,0.086,0.081,+0.005,0.005,+6.2,True
loop,60%,2.51,2.72,-0.21,0.21,-7.7,False,0.123,0.151,-0.028,0.028,-18.5,False
slippage,60%,0.72,0.76,-0.04,0.04,-5.3,True,0.070,0.115,-0.045,0.045,-39.1,False
nav_a_diff,70%,1.23,1.19,+0.04,0.04,+3.4,True,0.106,0.121,-0.015,0.015,-12.4,False
nav_a_omni,70%,1.04,0.83,+0.21,0.21,+25.3,False,0.077,0.080,-0.003,0.003,-3.8,True
loop,70%,2.73,3.82,-1.09,1.09,-28.5,False,0.157,0.213,-0.056,0.056,-26.3,False
slippage,70%,0.89,0.67,+0.22,0.22,+32.8,False,0.115,0.076,+0.039,0.039,+51.3,False
nav_a_diff,80%,1.34,3.03,-1.69,1.69,-55.8,False,0.115,0.158,-0.043,0.043,-27.2,False
nav_a_omni,80%,1.24,4.98,-3.74,3.74,-75.1,False,0.073,0.230,-0.157,0.157,-68.3,False
loop,80%,3.09,7.04,-3.95,3.95,-56.1,False,0.168,0.259,-0.091,0.091,-35.1,False
slippage,80%,1.04,5.04,-4.00,4.00,-79.4,False,0.107,0.079,+0.028,0.028,+35.4,False
nav_a_diff,90%,1.96,7.96,-6.00,6.00,-75.4,False,0.132,0.219,-0.087,0.087,-39.7,False
nav_a_omni,90%,1.56,9.48,-7.92,7.92,-83.5,False,0.075,0.211,-0.136,0.136,-64.5,False
loop,90%,4.12,8.28,-4.16,4.16,-50.2,False,0.140,0.135,+0.005,0.005,+3.7,False
slippage,90%,2.17,6.94,-4.77,4.77,-68.7,False,0.160,0.241,-0.081,0.081,-33.6,False
