scenario,param,rte_dmap_p2p,rte_icp_p2pl,signed_diff_rte_(A-B),abs_diff_rte,rel_diff_rte_%_(A-B),within_thresh_rte,rre_dmap_p2p,rre_icp_p2pl,signed_diff_rre_(A-B),abs_diff_rre,rel_diff_rre_%_(A-B),within_thresh_rre
nav_a_diff,0.50m,1.53,1.63,-0.10,0.10,-6.1,False,0.107,0.153,-0.046,0.046,-30.1,False
nav_a_omni,0.50m,1.29,1.34,-0.05,0.05,-3.7,False,0.066,0.101,-0.035,0.035,-34.7,False
loop,0.50m,2.62,4.20,-1.58,1.58,-37.6,False,0.150,0.285,-0.135,0.135,-47.4,False
slippage,0.50m,1.58,1.13,+0.45,0.45,+39.8,False,0.154,0.120,+0.034,0.034,+28.3,False
nav_a_diff,1.00m,1.24,1.38,-0.14,0.14,-10.1,False,0.109,0.115,-0.006,0.006,-5.2,False
nav_a_omni,1.00m,0.98,1.18,-0.20,0.20,-16.9,False,0.063,0.106,-0.043,0.043,-40.6,False
loop,1.00m,3.14,3.81,-0.67,0.67,-17.6,False,0.160,0.236,-0.076,0.076,-32.2,False
slippage,1.00m,1.07,0.74,+0.33,0.33,+44.6,False,0.129,0.093,+0.036,0.036,+38.7,False
nav_a_diff,1.50m,1.10,1.32,-0.22,0.22,-16.7,False,0.101,0.127,-0.026,0.026,-20.5,False
nav_a_omni,1.50m,0.92,1.04,-0.12,0.12,-11.5,False,0.076,0.081,-0.005,0.005,-6.2,False
loop,1.50m,3.03,2.88,+0.15,0.15,+5.2,False,0.161,0.209,-0.048,0.048,-23.0,False
slippage,1.50m,1.07,0.79,+0.28,0.28,+35.4,False,0.102,0.115,-0.013,0.013,-11.3,False
nav_a_diff,2.00m,1.07,1.10,-0.03,0.03,-2.7,True,0.087,0.114,-0.027,0.027,-23.7,False
nav_a_omni,2.00m,0.88,0.88,+0.00,0.00,+0.0,True,0.085,0.071,+0.014,0.014,+19.7,False
loop,2.00m,2.58,2.74,-0.16,0.16,-5.8,False,0.150,0.161,-0.011,0.011,-6.8,False
slippage,2.00m,0.87,0.69,+0.18,0.18,+26.1,False,0.114,0.095,+0.019,0.019,+20.0,False
nav_a_diff,2.50m,1.10,1.04,+0.06,0.06,+5.8,False,0.091,0.090,+0.001,0.001,+1.1,True
