scenario,param,rte_dmap_p2pl,rte_dmap_p2p,signed_diff_rte_(A-B),abs_diff_rte,rel_diff_rte_%_(A-B),within_thresh_rte,rre_dmap_p2pl,rre_dmap_p2p,signed_diff_rre_(A-B),abs_diff_rre,rel_diff_rre_%_(A-B),within_thresh_rre
slippage,50%,1.03,0.92,+0.11,0.11,+12.0,False,0.116,0.038,+0.078,0.078,+205.3,False
nav_a_diff,60%,1.31,1.61,-0.30,0.30,-18.6,False,0.121,0.141,-0.020,0.020,-14.2,False
nav_a_omni,60%,1.11,1.47,-0.36,0.36,-24.5,False,0.089,0.098,-0.009,0.009,-9.2,False
loop,60%,3.35,3.66,-0.31,0.31,-8.5,False,0.204,0.216,-0.012,0.012,-5.6,False
slippage,60%,1.27,1.04,+0.23,0.23,+22.1,False,0.132,0.077,+0.055,0.055,+71.4,False
nav_a_diff,70%,1.36,1.95,-0.59,0.59,-30.3,False,0.136,0.137,-0.001,0.001,-0.7,True
nav_a_omni,70%,1.15,1.90,-0.75,0.75,-39.5,False,0.105,0.112,-0.007,0.007,-6.3,False
loop,70%,4.19,4.92,-0.73,0.73,-14.8,False,0.234,0.248,-0.014,0.014,-5.6,False
slippage,70%,0.75,1.05,-0.30,0.30,-28.6,False,0.070,0.086,-0.016,0.016,-18.6,False
nav_a_diff,80%,1.36,2.50,-1.14,1.14,-45.6,False,0.153,0.145,+0.008,0.008,+5.5,False
nav_a_omni,80%,1.42,2.35,-0.93,0.93,-39.6,False,0.096,0.100,-0.004,0.004,-4.0,True
loop,80%,4.50,6.15,-1.65,1.65,-26.8,False,0.246,0.299,-0.053,0.053,-17.7,False
slippage,80%,5.52,1.29,+4.23,4.23,+327.9,False,0.133,0.104,+0.029,0.029,+27.9,False
nav_a_diff,90%,13.15,5.25,+7.90,7.90,+150.5,False,0.659,0.221,+0.438,0.438,+198.2,False
nav_a_omni,90%,12.81,4.12,+8.69,8.69,+210.9,False,0.445,0.159,+0.286,0.286,+179.9,False
loop,90%,9.10,10.62,-1.52,1.52,-14.3,False,0.292,0.390,-0.098,0.098,-25.1,False
slippage,90%,16.29,2.61,+13.68,13.68,+524.1,False,0.504,0.075,+0.429,0.429,+572.0,False
