scenario,param,rte_dmap_p2pl,rte_dmap_p2p,signed_diff_rte_(A-B),abs_diff_rte,rel_diff_rte_%_(A-B),within_thresh_rte,rre_dmap_p2pl,rre_dmap_p2p,signed_diff_rre_(A-B),abs_diff_rre,rel_diff_rre_%_(A-B),within_thresh_rre
nav_a_diff,0.50m,1.37,3.13,-1.76,1.76,-56.2,False,0.139,0.155,-0.016,0.016,-10.3,False
nav_a_omni,0.50m,1.18,2.58,-1.40,1.40,-54.3,False,0.099,0.134,-0.035,0.035,-26.1,False
loop,0.50m,4.50,7.28,-2.78,2.78,-38.2,False,0.286,0.353,-0.067,0.067,-19.0,False
slippage,0.50m,0.89,1.27,-0.38,0.38,-29.9,False,0.078,0.105,-0.027,0.027,-25.7,False
nav_a_diff,1.00m,1.35,2.20,-0.85,0.85,-38.6,False,0.136,0.146,-0.010,0.010,-6.8,False
nav_a_omni,1.00m,1.17,2.00,-0.83,0.83,-41.5,False,0.117,0.101,+0.016,0.016,+15.8,False
loop,1.00m,4.19,5.23,-1.04,1.04,-19.9,False,0.265,0.281,-0.016,0.016,-5.7,False
slippage,1.00m,1.22,1.01,+0.21,0.21,+20.8,False,0.111,0.080,+0.031,0.031,+38.8,False
nav_a_diff,1.50m,1.36,1.79,-0.43,0.43,-24.0,False,0.136,0.147,-0.011,0.011,-7.5,False
nav_a_omni,1.50m,1.10,1.55,-0.45,0.45,-29.0,False,0.099,0.096,+0.003,0.003,+3.1,True
loop,1.50m,4.03,4.23,-0.20,0.20,-4.7,False,0.251,0.244,+0.007,0.007,+2.9,False
slippage,1.50m,0.80,0.90,-0.10,0.10,-11.1,False,0.050,0.075,-0.025,0.025,-33.3,False
nav_a_diff,2.00m,1.38,1.56,-0.18,0.18,-11.5,False,0.133,0.139,-0.006,0.006,-4.3,False
nav_a_omni,2.00m,1.16,1.36,-0.20,0.20,-14.7,False,0.108,0.091,+0.017,0.017,+18.7,False
loop,2.00m,3.23,2.95,+0.28,0.28,+9.5,False,0.202,0.179,+0.023,0.023,+12.8,False
slippage,2.00m,0.96,0.70,+0.26,0.26,+37.1,False,0.077,0.062,+0.015,0.015,+24.2,False
nav_a_diff,2.50m,1.33,1.41,-0.08,0.08,-5.7,False,0.122,0.130,-0.008,0.008,-6.2,False
nav_a_omni,2.50m,1.20,1.25,-0.05,0.05,-4.0,False,0.106,0.100,+0.006,0.006,+6.0,False
loop,2.50m,3.79,4.01,-0.22,0.22,-5.5,False,0.213,0.226,-0.013,0.013,-5.8,False
slippage,2.50m,0.81,0.93,-0.12,0.12,-12.9,False,0.065,0.072,-0.007,0.007,-9.7,False
nav_a_diff,3.00m,1.23,1.66,-0.43,0.43,-25.9,False,0.117,0.143,-0.026,0.026,-18.2,False
nav_a_omni,3.00m,1.46,1.23,+0.23,0.23,+18.7,False,0.118,0.085,+0.033,0.033,+38.8,False
loop,3.00m,2.71,4.39,-1.68,1.68,-38.3,False,0.187,0.254,-0.067,0.067,-26.4,False
slippage,3.00m,0.89,0.82,+0.07,0.07,+8.5,False,0.081,0.033,+0.048,0.048,+145.5,False
nav_a_diff,40%,1.21,1.36,-0.15,0.15,-11.0,False,0.121,0.115,+0.006,0.006,+5.2,False
nav_a_omni,40%,1.33,1.36,-0.03,0.03,-2.2,True,0.132,0.106,+0.026,0.026,+24.5,False
loop,40%,2.13,2.56,-0.43,0.43,-16.8,False,0.169,0.167,+0.002,0.002,+1.2,True
slippage,40%,1.34,0.88,+0.46,0.46,+52.3,False,0.131,0.058,+0.073,0.073,+125.9,False
nav_a_diff,50%,1.28,1.41,-0.13,0.13,-9.2,False,0.119,0.130,-0.011,0.011,-8.5,False
nav_a_omni,50%,1.33,1.42,-0.09,0.09,-6.3,False,0.122,0.123,-0.001,0.001,-0.8,True
loop,50%,2.60,3.68,-1.08,1.08,-29.3,False,0.143,0.199,-0.056,0.056,-28.1,False
