scenario,param,rte_dmap_p2p,rte_dmap_p2p,signed_diff_rte_(A-B),abs_diff_rte,rel_diff_rte_%_(A-B),within_thresh_rte,rre_dmap_p2p,rre_dmap_p2p,signed_diff_rre_(A-B),abs_diff_rre,rel_diff_rre_%_(A-B),within_thresh_rre
nav_a_diff,0.50m,3.13,3.13,-0.12,0.12,-3.8,False,0.155,0.155,+0.033,0.033,+21.3,False
nav_a_omni,0.50m,2.58,2.58,+0.04,0.04,+1.6,True,0.134,0.134,+0.014,0.014,+10.4,False
loop,0.50m,7.28,7.28,-1.25,1.25,-17.2,False,0.353,0.353,-0.028,0.028,-7.9,False
slippage,0.50m,1.27,1.27,-0.22,0.22,-17.3,False,0.105,0.105,-0.035,0.035,-33.3,False
nav_a_diff,1.00m,2.20,2.20,-0.16,0.16,-7.3,False,0.146,0.146,+0.015,0.015,+10.3,False
nav_a_omni,1.00m,2.00,2.00,-0.06,0.06,-3.0,False,0.101,0.101,+0.001,0.001,+1.0,True
loop,1.00m,5.23,5.23,-0.75,0.75,-14.3,False,0.281,0.281,-0.046,0.046,-16.4,False
slippage,1.00m,1.01,1.01,-0.43,0.43,-42.6,False,0.080,0.080,-0.015,0.015,-18.8,False
nav_a_diff,1.50m,1.79,1.79,-0.01,0.01,-0.6,True,0.147,0.147,-0.003,0.003,-2.0,True
nav_a_omni,1.50m,1.55,1.55,+0.04,0.04,+2.6,True,0.096,0.096,-0.006,0.006,-6.3,False
loop,1.50m,4.23,4.23,-1.31,1.31,-31.0,False,0.244,0.244,-0.065,0.065,-26.6,False
slippage,1.50m,0.90,0.90,-0.36,0.36,-40.0,False,0.075,0.075,-0.025,0.025,-33.3,False
nav_a_diff,2.00m,1.56,1.56,-0.06,0.06,-3.8,False,0.139,0.139,-0.009,0.009,-6.5,False
nav_a_omni,2.00m,1.36,1.36,+0.06,0.06,+4.4,False,0.091,0.091,-0.001,0.001,-1.1,True
loop,2.00m,2.95,2.95,+0.25,0.25,+8.5,False,0.179,0.179,+0.020,0.020,+11.2,False
slippage,2.00m,0.70,0.70,-0.18,0.18,-25.7,False,0.062,0.062,-0.024,0.024,-38.7,False
nav_a_diff,2.50m,1.41,1.41,-0.11,0.11,-7.8,False,0.130,0.130,-0.019,0.019,-14.6,False
nav_a_omni,2.50m,1.25,1.25,+0.03,0.03,+2.4,True,0.100,0.100,-0.007,0.007,-7.0,False
loop,2.50m,4.01,4.01,-0.41,0.41,-10.2,False,0.226,0.226,-0.029,0.029,-12.8,False
slippage,2.50m,0.93,0.93,-0.40,0.40,-43.0,False,0.072,0.072,-0.036,0.036,-50.0,False
nav_a_diff,3.00m,1.66,1.66,-0.11,0.11,-6.6,False,0.143,0.143,-0.017,0.017,-11.9,False
nav_a_omni,3.00m,1.23,1.23,+0.18,0.18,+14.6,False,0.085,0.085,+0.034,0.034,+40.0,False
loop,3.00m,4.39,4.39,+0.21,0.21,+4.8,False,0.254,0.254,-0.028,0.028,-11.0,False
slippage,3.00m,0.82,0.82,-0.28,0.28,-34.1,False,0.033,0.033,+0.024,0.024,+72.7,False
nav_a_diff,40%,1.36,1.36,-0.19,0.19,-14.0,False,0.115,0.115,-0.001,0.001,-0.9,True
nav_a_omni,40%,1.36,1.36,-0.20,0.20,-14.7,False,0.106,0.106,-0.018,0.018,-17.0,False
loop,40%,2.56,2.56,+0.02,0.02,+0.8,True,0.167,0.167,-0.013,0.013,-7.8,False
slippage,40%,0.88,0.88,-0.34,0.34,-38.6,False,0.058,0.058,-0.005,0.005,-8.6,False
nav_a_diff,50%,1.41,1.41,-0.03,0.03,-2.1,True,0.130,0.130,-0.020,0.020,-15.4,False
nav_a_omni,50%,1.42,1.42,-0.08,0.08,-5.6,False,0.123,0.123,-0.031,0.031,-25.2,False
loop,50%,3.68,3.68,-0.69,0.69,-18.7,False,0.199,0.199,-0.058,0.058,-29.1,False
slippage,50%,0.92,0.92,-0.35,0.35,-38.0,False,0.038,0.038,+0.013,0.013,+34.2,False
nav_a_diff,60%,1.61,1.61,-0.01,0.01,-0.6,True,0.141,0.141,-0.014,0.014,-9.9,False
nav_a_omni,60%,1.47,1.47,+0.04,0.04,+2.7,True,0.098,0.098,-0.005,0.005,-5.1,False
loop,60%,3.66,3.66,-0.47,0.47,-12.8,False,0.216,0.216,-0.046,0.046,-21.3,False
slippage,60%,1.04,1.04,-0.46,0.46,-44.2,False,0.077,0.077,-0.038,0.038,-49.4,False
nav_a_diff,70%,1.95,1.95,-0.09,0.09,-4.6,False,0.137,0.137,+0.004,0.004,+2.9,True
nav_a_omni,70%,1.90,1.90,-0.25,0.25,-13.2,False,0.112,0.112,-0.021,0.021,-18.8,False
loop,70%,4.92,4.92,-0.49,0.49,-10.0,False,0.248,0.248,-0.031,0.031,-12.5,False
slippage,70%,1.05,1.05,-0.45,0.45,-42.9,False,0.086,0.086,-0.034,0.034,-39.5,False
nav_a_diff,80%,2.50,2.50,-0.05,0.05,-2.0,True,0.145,0.145,+0.018,0.018,+12.4,False
nav_a_omni,80%,2.35,2.35,-0.16,0.16,-6.8,False,0.100,0.100,+0.017,0.017,+17.0,False
loop,80%,6.15,6.15,-0.69,0.69,-11.2,False,0.299,0.299,-0.033,0.033,-11.0,False
slippage,80%,1.29,1.29,-0.36,0.36,-27.9,False,0.104,0.104,-0.028,0.028,-26.9,False
nav_a_diff,90%,5.25,5.25,+0.13,0.13,+2.5,False,0.221,0.221,+0.090,0.090,+40.7,False
nav_a_omni,90%,4.12,4.12,-0.10,0.10,-2.4,False,0.159,0.159,+0.027,0.027,+17.0,False
loop,90%,10.62,10.62,-0.86,0.86,-8.1,False,0.390,0.390,+0.020,0.020,+5.1,False
slippage,90%,2.61,2.61,-0.14,0.14,-5.4,False,0.075,0.075,-0.005,0.005,-6.7,True
