scenario,param,rte_dmap_p2pl,rte_icp_p2pl,signed_diff_rte_(A-B),abs_diff_rte,rel_diff_rte_%_(A-B),within_thresh_rte,rre_dmap_p2pl,rre_icp_p2pl,signed_diff_rre_(A-B),abs_diff_rre,rel_diff_rre_%_(A-B),within_thresh_rre
nav_a_diff,0.50m,1.37,1.55,-0.18,0.18,-11.6,False,0.139,0.142,-0.003,0.003,-2.1,True
nav_a_omni,0.50m,1.18,1.35,-0.17,0.17,-12.6,False,0.099,0.104,-0.005,0.005,-4.8,True
loop,0.50m,4.50,4.80,-0.30,0.30,-6.2,False,0.286,0.309,-0.023,0.023,-7.4,False
slippage,0.50m,0.89,1.47,-0.58,0.58,-39.5,False,0.078,0.134,-0.056,0.056,-41.8,False
nav_a_diff,1.00m,1.35,1.45,-0.10,0.10,-6.9,False,0.136,0.119,+0.017,0.017,+14.3,False
nav_a_omni,1.00m,1.17,1.29,-0.12,0.12,-9.3,False,0.117,0.096,+0.021,0.021,+21.9,False
loop,1.00m,4.19,3.06,+1.13,1.13,+36.9,False,0.265,0.237,+0.028,0.028,+11.8,False
slippage,1.00m,1.22,1.09,+0.13,0.13,+11.9,False,0.111,0.100,+0.011,0.011,+11.0,False
nav_a_diff,1.50m,1.36,1.38,-0.02,0.02,-1.4,True,0.136,0.141,-0.005,0.005,-3.5,True
nav_a_omni,1.50m,1.10,1.20,-0.10,0.10,-8.3,False,0.099,0.097,+0.002,0.002,+2.1,True
loop,1.50m,4.03,3.44,+0.59,0.59,+17.2,False,0.251,0.246,+0.005,0.005,+2.0,False
slippage,1.50m,0.80,0.83,-0.03,0.03,-3.6,True,0.050,0.115,-0.065,0.065,-56.5,False
nav_a_diff,2.00m,1.38,1.23,+0.15,0.15,+12.2,False,0.133,0.133,+0.000,0.000,+0.0,True
nav_a_omni,2.00m,1.16,1.07,+0.09,0.09,+8.4,False,0.108,0.094,+0.014,0.014,+14.9,False
loop,2.00m,3.23,2.79,+0.44,0.44,+15.8,False,0.202,0.190,+0.012,0.012,+6.3,False
slippage,2.00m,0.96,0.69,+0.27,0.27,+39.1,False,0.077,0.084,-0.007,0.007,-8.3,False
nav_a_diff,2.50m,1.33,1.15,+0.18,0.18,+15.7,False,0.122,0.111,+0.011,0.011,+9.9,False
nav_a_omni,2.50m,1.20,1.01,+0.19,0.19,+18.8,False,0.106,0.108,-0.002,0.002,-1.9,True
loop,2.50m,3.79,3.41,+0.38,0.38,+11.1,False,0.213,0.208,+0.005,0.005,+2.4,False
slippage,2.50m,0.81,0.68,+0.13,0.13,+19.1,False,0.065,0.066,-0.001,0.001,-1.5,True
nav_a_diff,3.00m,1.23,1.78,-0.55,0.55,-30.9,False,0.117,0.133,-0.016,0.016,-12.0,False
nav_a_omni,3.00m,1.46,1.34,+0.12,0.12,+9.0,False,0.118,0.115,+0.003,0.003,+2.6,True
loop,3.00m,2.71,2.83,-0.12,0.12,-4.2,False,0.187,0.151,+0.036,0.036,+23.8,False
slippage,3.00m,0.89,0.64,+0.25,0.25,+39.1,False,0.081,0.063,+0.018,0.018,+28.6,False
nav_a_diff,40%,1.21,1.17,+0.04,0.04,+3.4,True,0.121,0.102,+0.019,0.019,+18.6,False
nav_a_omni,40%,1.33,1.18,+0.15,0.15,+12.7,False,0.132,0.118,+0.014,0.014,+11.9,False
loop,40%,2.13,1.79,+0.34,0.34,+19.0,False,0.169,0.153,+0.016,0.016,+10.5,False
slippage,40%,1.34,1.01,+0.33,0.33,+32.7,False,0.131,0.119,+0.012,0.012,+10.1,False
nav_a_diff,50%,1.28,1.13,+0.15,0.15,+13.3,False,0.119,0.113,+0.006,0.006,+5.3,False
nav_a_omni,50%,1.33,0.91,+0.42,0.42,+46.2,False,0.122,0.089,+0.033,0.033,+37.1,False
loop,50%,2.60,2.41,+0.19,0.19,+7.9,False,0.143,0.144,-0.001,0.001,-0.7,True
slippage,50%,1.03,1.01,+0.02,0.02,+2.0,True,0.116,0.107,+0.009,0.009,+8.4,False
nav_a_diff,60%,1.31,1.02,+0.29,0.29,+28.4,False,0.121,0.105,+0.016,0.016,+15.2,False
nav_a_omni,60%,1.11,0.92,+0.19,0.19,+20.7,False,0.089,0.090,-0.001,0.001,-1.1,True
loop,60%,3.35,3.12,+0.23,0.23,+7.4,False,0.204,0.190,+0.014,0.014,+7.4,False
slippage,60%,1.27,0.88,+0.39,0.39,+44.3,False,0.132,0.108,+0.024,0.024,+22.2,False
nav_a_diff,70%,1.36,1.19,+0.17,0.17,+14.3,False,0.136,0.115,+0.021,0.021,+18.3,False
nav_a_omni,70%,1.15,0.95,+0.20,0.20,+21.1,False,0.105,0.087,+0.018,0.018,+20.7,False
loop,70%,4.19,3.30,+0.89,0.89,+27.0,False,0.234,0.209,+0.025,0.025,+12.0,False
slippage,70%,0.75,0.73,+0.02,0.02,+2.7,True,0.070,0.080,-0.010,0.010,-12.5,False
nav_a_diff,80%,1.36,1.88,-0.52,0.52,-27.7,False,0.153,0.151,+0.002,0.002,+1.3,True
nav_a_omni,80%,1.42,2.33,-0.91,0.91,-39.1,False,0.096,0.126,-0.030,0.030,-23.8,False
loop,80%,4.50,5.04,-0.54,0.54,-10.7,False,0.246,0.230,+0.016,0.016,+7.0,False
slippage,80%,5.52,4.08,+1.44,1.44,+35.3,False,0.133,0.074,+0.059,0.059,+79.7,False
nav_a_diff,90%,13.15,8.44,+4.71,4.71,+55.8,False,0.659,0.231,+0.428,0.428,+185.3,False
nav_a_omni,90%,12.81,9.18,+3.63,3.63,+39.5,False,0.445,0.237,+0.208,0.208,+87.8,False
loop,90%,9.10,8.28,+0.82,0.82,+9.9,False,0.292,0.139,+0.153,0.153,+110.1,False
slippage,90%,16.29,7.10,+9.19,9.19,+129.4,False,0.504,0.168,+0.336,0.336,+200.0,False
