scenario,param,rte_dmap_p2p,rte_dmap_p2p,signed_diff_rte_(A-B),abs_diff_rte,rel_diff_rte_%_(A-B),within_thresh_rte,rre_dmap_p2p,rre_dmap_p2p,signed_diff_rre_(A-B),abs_diff_rre,rel_diff_rre_%_(A-B),within_thresh_rre
nav_a_diff,0.50m,1.53,1.53,+0.09,0.09,+5.9,False,0.107,0.107,+0.002,0.002,+1.9,True
nav_a_omni,0.50m,1.29,1.29,+0.09,0.09,+7.0,False,0.066,0.066,+0.014,0.014,+21.2,False
loop,0.50m,2.62,2.62,+0.25,0.25,+9.5,False,0.150,0.150,-0.010,0.010,-6.7,False
slippage,0.50m,1.58,1.58,-0.11,0.11,-7.0,False,0.154,0.154,-0.066,0.066,-42.9,False
nav_a_diff,1.00m,1.24,1.24,-0.12,0.12,-9.7,False,0.109,0.109,-0.013,0.013,-11.9,False
nav_a_omni,1.00m,0.98,0.98,+0.03,0.03,+3.1,True,0.063,0.063,+0.014,0.014,+22.2,False
loop,1.00m,3.14,3.14,-0.05,0.05,-1.6,False,0.160,0.160,+0.000,0.000,+0.0,True
slippage,1.00m,1.07,1.07,-0.18,0.18,-16.8,False,0.129,0.129,-0.041,0.041,-31.8,False
nav_a_diff,1.50m,1.10,1.10,+0.01,0.01,+0.9,True,0.101,0.101,-0.003,0.003,-3.0,True
nav_a_omni,1.50m,0.92,0.92,+0.06,0.06,+6.5,False,0.076,0.076,+0.004,0.004,+5.3,True
loop,1.50m,3.03,3.03,-0.22,0.22,-7.3,False,0.161,0.161,-0.007,0.007,-4.3,False
slippage,1.50m,1.07,1.07,-0.03,0.03,-2.8,True,0.102,0.102,+0.040,0.040,+39.2,False
nav_a_diff,2.00m,1.07,1.07,-0.01,0.01,-0.9,True,0.087,0.087,+0.004,0.004,+4.6,True
nav_a_omni,2.00m,0.88,0.88,+0.04,0.04,+4.5,True,0.085,0.085,-0.006,0.006,-7.1,False
loop,2.00m,2.58,2.58,+0.24,0.24,+9.3,False,0.150,0.150,+0.005,0.005,+3.3,False
slippage,2.00m,0.87,0.87,-0.32,0.32,-36.8,False,0.114,0.114,-0.058,0.058,-50.9,False
nav_a_diff,2.50m,1.10,1.10,+0.02,0.02,+1.8,True,0.091,0.091,+0.000,0.000,+0.0,True
nav_a_omni,2.50m,0.91,0.91,+0.00,0.00,+0.0,True,0.080,0.080,+0.000,0.000,+0.0,True
loop,2.50m,3.19,3.19,-0.12,0.12,-3.8,False,0.165,0.165,+0.001,0.001,+0.6,True
slippage,2.50m,0.80,0.80,+0.05,0.05,+6.2,True,0.081,0.081,+0.005,0.005,+6.2,True
nav_a_diff,3.00m,1.23,1.23,-0.14,0.14,-11.4,False,0.108,0.108,-0.017,0.017,-15.7,False
nav_a_omni,3.00m,1.27,1.27,+0.09,0.09,+7.1,False,0.113,0.113,+0.010,0.010,+8.8,False
loop,3.00m,2.72,2.72,+0.31,0.31,+11.4,False,0.145,0.145,+0.011,0.011,+7.6,False
slippage,3.00m,0.79,0.79,+0.09,0.09,+11.4,False,0.079,0.079,-0.010,0.010,-12.7,False
nav_a_diff,40%,1.01,1.01,+0.00,0.00,+0.0,True,0.085,0.085,+0.005,0.005,+5.9,True
nav_a_omni,40%,1.04,1.04,-0.15,0.15,-14.4,False,0.088,0.088,-0.001,0.001,-1.1,True
loop,40%,2.29,2.29,-0.15,0.15,-6.6,False,0.135,0.135,-0.001,0.001,-0.7,True
slippage,40%,0.76,0.76,-0.10,0.10,-13.2,False,0.073,0.073,+0.003,0.003,+4.1,True
nav_a_diff,50%,0.98,0.98,-0.03,0.03,-3.1,True,0.085,0.085,-0.007,0.007,-8.2,False
nav_a_omni,50%,0.84,0.84,-0.03,0.03,-3.6,True,0.067,0.067,-0.002,0.002,-3.0,True
loop,50%,2.57,2.57,-0.24,0.24,-9.3,False,0.136,0.136,-0.013,0.013,-9.6,False
slippage,50%,0.71,0.71,-0.07,0.07,-9.9,False,0.091,0.091,-0.021,0.021,-23.1,False
nav_a_diff,60%,1.16,1.16,-0.06,0.06,-5.2,False,0.103,0.103,-0.014,0.014,-13.6,False
nav_a_omni,60%,0.87,0.87,+0.02,0.02,+2.3,True,0.086,0.086,-0.006,0.006,-7.0,False
