scenario,param,rte_dmap_p2p,rte_dmap_p2pl,signed_diff_rte_(A-B),abs_diff_rte,rel_diff_rte_%_(A-B),within_thresh_rte,rre_dmap_p2p,rre_dmap_p2pl,signed_diff_rre_(A-B),abs_diff_rre,rel_diff_rre_%_(A-B),within_thresh_rre
nav_a_diff,0.50m,1.68,1.37,+0.31,0.31,+22.6,False,0.129,0.139,-0.010,0.010,-7.2,False
nav_a_omni,0.50m,1.39,1.18,+0.21,0.21,+17.8,False,0.076,0.099,-0.023,0.023,-23.2,False
loop,0.50m,3.34,4.50,-1.16,1.16,-25.8,False,0.222,0.286,-0.064,0.064,-22.4,False
slippage,0.50m,1.30,0.89,+0.41,0.41,+46.1,False,0.155,0.078,+0.077,0.077,+98.7,False
nav_a_diff,1.00m,1.35,1.35,+0.00,0.00,+0.0,True,0.113,0.136,-0.023,0.023,-16.9,False
nav_a_omni,1.00m,1.06,1.17,-0.11,0.11,-9.4,False,0.088,0.117,-0.029,0.029,-24.8,False
loop,1.00m,3.51,4.19,-0.68,0.68,-16.2,False,0.225,0.265,-0.040,0.040,-15.1,False
slippage,1.00m,0.93,1.22,-0.29,0.29,-23.8,False,0.089,0.111,-0.022,0.022,-19.8,False
nav_a_diff,1.50m,1.16,1.36,-0.20,0.20,-14.7,False,0.116,0.136,-0.020,0.020,-14.7,False
nav_a_omni,1.50m,1.05,1.10,-0.05,0.05,-4.5,False,0.078,0.099,-0.021,0.021,-21.2,False
loop,1.50m,3.44,4.03,-0.59,0.59,-14.6,False,0.221,0.251,-0.030,0.030,-12.0,False
slippage,1.50m,1.10,0.80,+0.30,0.30,+37.5,False,0.112,0.050,+0.062,0.062,+124.0,False
nav_a_diff,2.00m,1.20,1.38,-0.18,0.18,-13.0,False,0.104,0.133,-0.029,0.029,-21.8,False
nav_a_omni,2.00m,0.97,1.16,-0.19,0.19,-16.4,False,0.093,0.108,-0.015,0.015,-13.9,False
loop,2.00m,3.55,3.23,+0.32,0.32,+9.9,False,0.219,0.202,+0.017,0.017,+8.4,False
slippage,2.00m,0.58,0.96,-0.38,0.38,-39.6,False,0.071,0.077,-0.006,0.006,-7.8,False
nav_a_diff,2.50m,1.25,1.33,-0.08,0.08,-6.0,False,0.105,0.122,-0.017,0.017,-13.9,False
