scenario,param,rte_dmap_p2pl,rte_dmap_p2p,signed_diff_rte_(A-B),abs_diff_rte,rel_diff_rte_%_(A-B),within_thresh_rte,rre_dmap_p2pl,rre_dmap_p2p,signed_diff_rre_(A-B),abs_diff_rre,rel_diff_rre_%_(A-B),within_thresh_rre
nav_a_omni,50%,0.97,1.42,-0.45,0.45,-31.7,False,0.098,0.123,-0.025,0.025,-20.3,False
loop,50%,2.43,3.68,-1.25,1.25,-34.0,False,0.143,0.199,-0.056,0.056,-28.1,False
slippage,50%,1.01,0.92,+0.09,0.09,+9.8,False,0.107,0.038,+0.069,0.069,+181.6,False
nav_a_diff,60%,1.03,1.61,-0.58,0.58,-36.0,False,0.114,0.141,-0.027,0.027,-19.1,False
nav_a_omni,60%,1.03,1.47,-0.44,0.44,-29.9,False,0.089,0.098,-0.009,0.009,-9.2,False
loop,60%,3.01,3.66,-0.65,0.65,-17.8,False,0.190,0.216,-0.026,0.026,-12.0,False
slippage,60%,0.91,1.04,-0.13,0.13,-12.5,False,0.118,0.077,+0.041,0.041,+53.2,False
nav_a_diff,70%,1.18,1.95,-0.77,0.77,-39.5,False,0.113,0.137,-0.024,0.024,-17.5,False
nav_a_omni,70%,1.00,1.90,-0.90,0.90,-47.4,False,0.093,0.112,-0.019,0.019,-17.0,False
loop,70%,3.32,4.92,-1.60,1.60,-32.5,False,0.208,0.248,-0.040,0.040,-16.1,False
slippage,70%,0.71,1.05,-0.34,0.34,-32.4,False,0.078,0.086,-0.008,0.008,-9.3,False
nav_a_diff,80%,1.87,2.50,-0.63,0.63,-25.2,False,0.151,0.145,+0.006,0.006,+4.1,False
nav_a_omni,80%,2.30,2.35,-0.05,0.05,-2.1,False,0.119,0.100,+0.019,0.019,+19.0,False
loop,80%,5.04,6.15,-1.11,1.11,-18.0,False,0.231,0.299,-0.068,0.068,-22.7,False
slippage,80%,4.02,1.29,+2.73,2.73,+211.6,False,0.078,0.104,-0.026,0.026,-25.0,False
nav_a_diff,90%,8.45,5.25,+3.20,3.20,+61.0,False,0.233,0.221,+0.012,0.012,+5.4,False
nav_a_omni,90%,9.23,4.12,+5.11,5.11,+124.0,False,0.230,0.159,+0.071,0.071,+44.7,False
loop,90%,8.32,10.62,-2.30,2.30,-21.7,False,0.138,0.390,-0.252,0.252,-64.6,False
slippage,90%,7.12,2.61,+4.51,4.51,+172.8,False,0.167,0.075,+0.092,0.092,+122.7,False
