scenario,param,rte_dmap_p2pl,rte_dmap_p2p,signed_diff_rte_(A-B),abs_diff_rte,rel_diff_rte_%_(A-B),within_thresh_rte,rre_dmap_p2pl,rre_dmap_p2p,signed_diff_rre_(A-B),abs_diff_rre,rel_diff_rre_%_(A-B),within_thresh_rre
nav_a_diff,0.50m,1.55,3.13,-1.58,1.58,-50.5,False,0.143,0.155,-0.012,0.012,-7.7,False
nav_a_omni,0.50m,1.37,2.58,-1.21,1.21,-46.9,False,0.105,0.134,-0.029,0.029,-21.6,False
loop,0.50m,4.79,7.28,-2.49,2.49,-34.2,False,0.310,0.353,-0.043,0.043,-12.2,False
slippage,0.50m,1.45,1.27,+0.18,0.18,+14.2,False,0.132,0.105,+0.027,0.027,+25.7,False
nav_a_diff,1.00m,1.45,2.20,-0.75,0.75,-34.1,False,0.119,0.146,-0.027,0.027,-18.5,False
nav_a_omni,1.00m,1.27,2.00,-0.73,0.73,-36.5,False,0.097,0.101,-0.004,0.004,-4.0,True
loop,1.00m,3.06,5.23,-2.17,2.17,-41.5,False,0.236,0.281,-0.045,0.045,-16.0,False
slippage,1.00m,1.09,1.01,+0.08,0.08,+7.9,False,0.100,0.080,+0.020,0.020,+25.0,False
nav_a_diff,1.50m,1.37,1.79,-0.42,0.42,-23.5,False,0.144,0.147,-0.003,0.003,-2.0,True
nav_a_omni,1.50m,1.21,1.55,-0.34,0.34,-21.9,False,0.103,0.096,+0.007,0.007,+7.3,False
loop,1.50m,3.48,4.23,-0.75,0.75,-17.7,False,0.244,0.244,+0.000,0.000,+0.0,True
slippage,1.50m,0.83,0.90,-0.07,0.07,-7.8,False,0.115,0.075,+0.040,0.040,+53.3,False
nav_a_diff,2.00m,1.20,1.56,-0.36,0.36,-23.1,False,0.129,0.139,-0.010,0.010,-7.2,False
nav_a_omni,2.00m,1.13,1.36,-0.23,0.23,-16.9,False,0.097,0.091,+0.006,0.006,+6.6,False
loop,2.00m,2.79,2.95,-0.16,0.16,-5.4,False,0.192,0.179,+0.013,0.013,+7.3,False
slippage,2.00m,0.81,0.70,+0.11,0.11,+15.7,False,0.095,0.062,+0.033,0.033,+53.2,False
nav_a_diff,2.50m,1.16,1.41,-0.25,0.25,-17.7,False,0.113,0.130,-0.017,0.017,-13.1,False
nav_a_omni,2.50m,0.97,1.25,-0.28,0.28,-22.4,False,0.117,0.100,+0.017,0.017,+17.0,False
loop,2.50m,3.27,4.01,-0.74,0.74,-18.5,False,0.206,0.226,-0.020,0.020,-8.8,False
slippage,2.50m,0.68,0.93,-0.25,0.25,-26.9,False,0.066,0.072,-0.006,0.006,-8.3,False
nav_a_diff,3.00m,1.72,1.66,+0.06,0.06,+3.6,False,0.126,0.143,-0.017,0.017,-11.9,False
nav_a_omni,3.00m,1.25,1.23,+0.02,0.02,+1.6,True,0.107,0.085,+0.022,0.022,+25.9,False
loop,3.00m,2.95,4.39,-1.44,1.44,-32.8,False,0.157,0.254,-0.097,0.097,-38.2,False
slippage,3.00m,0.73,0.82,-0.09,0.09,-11.0,False,0.086,0.033,+0.053,0.053,+160.6,False
nav_a_diff,40%,1.13,1.36,-0.23,0.23,-16.9,False,0.104,0.115,-0.011,0.011,-9.6,False
nav_a_omni,40%,1.16,1.36,-0.20,0.20,-14.7,False,0.125,0.106,+0.019,0.019,+17.9,False
loop,40%,1.81,2.56,-0.75,0.75,-29.3,False,0.155,0.167,-0.012,0.012,-7.2,False
slippage,40%,1.01,0.88,+0.13,0.13,+14.8,False,0.119,0.058,+0.061,0.061,+105.2,False
nav_a_diff,50%,1.09,1.41,-0.32,0.32,-22.7,False,0.104,0.130,-0.026,0.026,-20.0,False
