scenario,param,rte_icp_p2pl,rte_icp_p2pl,signed_diff_rte_(A-B),abs_diff_rte,rel_diff_rte_%_(A-B),within_thresh_rte,rre_icp_p2pl,rre_icp_p2pl,signed_diff_rre_(A-B),abs_diff_rre,rel_diff_rre_%_(A-B),within_thresh_rre
nav_a_diff,0.50m,1.55,1.55,+0.08,0.08,+5.2,False,0.142,0.142,+0.011,0.011,+7.7,False
nav_a_omni,0.50m,1.35,1.35,-0.01,0.01,-0.7,True,0.104,0.104,-0.003,0.003,-2.9,True
loop,0.50m,4.80,4.80,-0.60,0.60,-12.5,False,0.309,0.309,-0.024,0.024,-7.8,False
slippage,0.50m,1.47,1.47,-0.34,0.34,-23.1,False,0.134,0.134,-0.014,0.014,-10.4,False
nav_a_diff,1.00m,1.45,1.45,-0.07,0.07,-4.8,False,0.119,0.119,-0.004,0.004,-3.4,True
nav_a_omni,1.00m,1.29,1.29,-0.11,0.11,-8.5,False,0.096,0.096,+0.010,0.010,+10.4,False
loop,1.00m,3.06,3.06,+0.75,0.75,+24.5,False,0.237,0.237,-0.001,0.001,-0.4,True
slippage,1.00m,1.09,1.09,-0.35,0.35,-32.1,False,0.100,0.100,-0.007,0.007,-7.0,False
nav_a_diff,1.50m,1.38,1.38,-0.06,0.06,-4.3,False,0.141,0.141,-0.014,0.014,-9.9,False
nav_a_omni,1.50m,1.20,1.20,-0.16,0.16,-13.3,False,0.097,0.097,-0.016,0.016,-16.5,False
loop,1.50m,3.44,3.44,-0.56,0.56,-16.3,False,0.246,0.246,-0.037,0.037,-15.0,False
slippage,1.50m,0.83,0.83,-0.04,0.04,-4.8,True,0.115,0.115,+0.000,0.000,+0.0,True
nav_a_diff,2.00m,1.23,1.23,-0.13,0.13,-10.6,False,0.133,0.133,-0.019,0.019,-14.3,False
nav_a_omni,2.00m,1.07,1.07,-0.19,0.19,-17.8,False,0.094,0.094,-0.023,0.023,-24.5,False
loop,2.00m,2.79,2.79,-0.05,0.05,-1.8,True,0.190,0.190,-0.029,0.029,-15.3,False
slippage,2.00m,0.69,0.69,+0.00,0.00,+0.0,True,0.084,0.084,+0.011,0.011,+13.1,False
nav_a_diff,2.50m,1.15,1.15,-0.11,0.11,-9.6,False,0.111,0.111,-0.021,0.021,-18.9,False
nav_a_omni,2.50m,1.01,1.01,+0.01,0.01,+1.0,True,0.108,0.108,-0.025,0.025,-23.1,False
loop,2.50m,3.41,3.41,-0.50,0.50,-14.7,False,0.208,0.208,-0.024,0.024,-11.5,False
slippage,2.50m,0.68,0.68,+0.08,0.08,+11.8,False,0.066,0.066,+0.033,0.033,+50.0,False
nav_a_diff,3.00m,1.78,1.78,-0.27,0.27,-15.2,False,0.133,0.133,-0.018,0.018,-13.5,False
nav_a_omni,3.00m,1.34,1.34,-0.10,0.10,-7.5,False,0.115,0.115,-0.007,0.007,-6.1,False
loop,3.00m,2.83,2.83,+0.72,0.72,+25.4,False,0.151,0.151,+0.003,0.003,+2.0,True
slippage,3.00m,0.64,0.64,+0.07,0.07,+10.9,False,0.063,0.063,+0.012,0.012,+19.0,False
nav_a_diff,40%,1.17,1.17,-0.03,0.03,-2.6,True,0.102,0.102,-0.011,0.011,-10.8,False
nav_a_omni,40%,1.18,1.18,-0.25,0.25,-21.2,False,0.118,0.118,-0.021,0.021,-17.8,False
loop,40%,1.79,1.79,-0.05,0.05,-2.8,False,0.153,0.153,-0.030,0.030,-19.6,False
slippage,40%,1.01,1.01,-0.22,0.22,-21.8,False,0.119,0.119,-0.041,0.041,-34.5,False
nav_a_diff,50%,1.13,1.13,-0.07,0.07,-6.2,False,0.113,0.113,-0.011,0.011,-9.7,False
nav_a_omni,50%,0.91,0.91,-0.07,0.07,-7.7,False,0.089,0.089,+0.002,0.002,+2.2,True
loop,50%,2.41,2.41,-0.28,0.28,-11.6,False,0.144,0.144,-0.007,0.007,-4.9,False
slippage,50%,1.01,1.01,-0.36,0.36,-35.6,False,0.107,0.107,-0.024,0.024,-22.4,False
nav_a_diff,60%,1.02,1.02,+0.03,0.03,+2.9,True,0.105,0.105,+0.006,0.006,+5.7,False
nav_a_omni,60%,0.92,0.92,-0.08,0.08,-8.7,False,0.090,0.090,-0.009,0.009,-10.0,False
loop,60%,3.12,3.12,-0.40,0.40,-12.8,False,0.190,0.190,-0.039,0.039,-20.5,False
slippage,60%,0.88,0.88,-0.12,0.12,-13.6,False,0.108,0.108,+0.007,0.007,+6.5,False
nav_a_diff,70%,1.19,1.19,+0.00,0.00,+0.0,True,0.115,0.115,+0.006,0.006,+5.2,False
