scenario,param,rte_icp_p2pl,rte_icp_p2pl,signed_diff_rte_(A-B),abs_diff_rte,rel_diff_rte_%_(A-B),within_thresh_rte,rre_icp_p2pl,rre_icp_p2pl,signed_diff_rre_(A-B),abs_diff_rre,rel_diff_rre_%_(A-B),within_thresh_rre
nav_a_omni,70%,0.95,0.95,-0.12,0.12,-12.6,False,0.087,0.087,-0.007,0.007,-8.0,False
loop,70%,3.30,3.30,+0.52,0.52,+15.8,False,0.209,0.209,+0.004,0.004,+1.9,True
slippage,70%,0.73,0.73,-0.06,0.06,-8.2,False,0.080,0.080,-0.004,0.004,-5.0,True
nav_a_diff,80%,1.88,1.88,+1.15,1.15,+61.2,False,0.151,0.151,+0.007,0.007,+4.6,False
nav_a_omni,80%,2.33,2.33,+2.65,2.65,+113.7,False,0.126,0.126,+0.104,0.104,+82.5,False
loop,80%,5.04,5.04,+2.00,2.00,+39.7,False,0.230,0.230,+0.029,0.029,+12.6,False
slippage,80%,4.08,4.08,+0.96,0.96,+23.5,False,0.074,0.074,+0.005,0.005,+6.8,False
nav_a_diff,90%,8.44,8.44,-0.48,0.48,-5.7,False,0.231,0.231,-0.012,0.012,-5.2,False
nav_a_omni,90%,9.18,9.18,+0.30,0.30,+3.3,False,0.237,0.237,-0.026,0.026,-11.0,False
loop,90%,8.28,8.28,+0.00,0.00,+0.0,True,0.139,0.139,-0.004,0.004,-2.9,True
slippage,90%,7.10,7.10,-0.16,0.16,-2.3,False,0.168,0.168,+0.073,0.073,+43.5,False
