scenario,param,rte_dmap_p2p,rte_icp_p2p,signed_diff_rte_(A-B),abs_diff_rte,rel_diff_rte_%_(A-B),within_thresh_rte,rre_dmap_p2p,rre_icp_p2p,signed_diff_rre_(A-B),abs_diff_rre,rel_diff_rre_%_(A-B),within_thresh_rre
nav_a_diff,0.50m,1.62,3.03,-1.41,1.41,-46.5,False,0.109,0.180,-0.071,0.071,-39.4,False
nav_a_omni,0.50m,1.38,2.56,-1.18,1.18,-46.1,False,0.080,0.133,-0.053,0.053,-39.8,False
loop,0.50m,2.87,5.63,-2.76,2.76,-49.0,False,0.140,0.297,-0.157,0.157,-52.9,False
slippage,0.50m,1.47,1.20,+0.27,0.27,+22.5,False,0.088,0.070,+0.018,0.018,+25.7,False
nav_a_diff,1.00m,1.12,2.01,-0.89,0.89,-44.3,False,0.096,0.154,-0.058,0.058,-37.7,False
nav_a_omni,1.00m,1.01,1.76,-0.75,0.75,-42.6,False,0.077,0.117,-0.040,0.040,-34.2,False
loop,1.00m,3.09,4.46,-1.37,1.37,-30.7,False,0.160,0.235,-0.075,0.075,-31.9,False
slippage,1.00m,0.89,0.57,+0.32,0.32,+56.1,False,0.088,0.067,+0.021,0.021,+31.3,False
nav_a_diff,1.50m,1.11,1.56,-0.45,0.45,-28.8,False,0.098,0.133,-0.035,0.035,-26.3,False
nav_a_omni,1.50m,0.98,1.50,-0.52,0.52,-34.7,False,0.080,0.107,-0.027,0.027,-25.2,False
loop,1.50m,2.81,2.97,-0.16,0.16,-5.4,False,0.154,0.180,-0.026,0.026,-14.4,False
slippage,1.50m,1.04,0.70,+0.34,0.34,+48.6,False,0.142,0.052,+0.090,0.090,+173.1,False
nav_a_diff,2.00m,1.06,1.40,-0.34,0.34,-24.3,False,0.091,0.123,-0.032,0.032,-26.0,False
nav_a_omni,2.00m,0.92,1.19,-0.27,0.27,-22.7,False,0.079,0.100,-0.021,0.021,-21.0,False
loop,2.00m,2.82,2.56,+0.26,0.26,+10.2,False,0.155,0.180,-0.025,0.025,-13.9,False
slippage,2.00m,0.55,0.67,-0.12,0.12,-17.9,False,0.056,0.056,+0.000,0.000,+0.0,True
nav_a_diff,2.50m,1.12,1.24,-0.12,0.12,-9.7,False,0.091,0.110,-0.019,0.019,-17.3,False
nav_a_omni,2.50m,0.91,1.13,-0.22,0.22,-19.5,False,0.080,0.082,-0.002,0.002,-2.4,True
loop,2.50m,3.07,3.55,-0.48,0.48,-13.5,False,0.166,0.181,-0.015,0.015,-8.3,False
slippage,2.50m,0.85,0.67,+0.18,0.18,+26.9,False,0.086,0.045,+0.041,0.041,+91.1,False
nav_a_diff,3.00m,1.09,1.33,-0.24,0.24,-18.0,False,0.091,0.113,-0.022,0.022,-19.5,False
nav_a_omni,3.00m,1.36,1.59,-0.23,0.23,-14.5,False,0.123,0.095,+0.028,0.028,+29.5,False
loop,3.00m,3.03,3.60,-0.57,0.57,-15.8,False,0.156,0.186,-0.030,0.030,-16.1,False
slippage,3.00m,0.88,0.67,+0.21,0.21,+31.3,False,0.069,0.038,+0.031,0.031,+81.6,False
nav_a_diff,40%,1.01,1.10,-0.09,0.09,-8.2,False,0.090,0.099,-0.009,0.009,-9.1,False
nav_a_omni,40%,0.89,1.07,-0.18,0.18,-16.8,False,0.087,0.092,-0.005,0.005,-5.4,False
loop,40%,2.14,3.36,-1.22,1.22,-36.3,False,0.134,0.192,-0.058,0.058,-30.2,False
slippage,40%,0.66,0.56,+0.10,0.10,+17.9,False,0.076,0.055,+0.021,0.021,+38.2,False
nav_a_diff,50%,0.95,1.32,-0.37,0.37,-28.0,False,0.078,0.116,-0.038,0.038,-32.8,False
nav_a_omni,50%,0.81,1.16,-0.35,0.35,-30.2,False,0.065,0.082,-0.017,0.017,-20.7,False
loop,50%,2.33,2.95,-0.62,0.62,-21.0,False,0.123,0.158,-0.035,0.035,-22.2,False
slippage,50%,0.64,0.72,-0.08,0.08,-11.1,False,0.070,0.065,+0.005,0.005,+7.7,False
nav_a_diff,60%,1.10,1.48,-0.38,0.38,-25.7,False,0.089,0.133,-0.044,0.044,-33.1,False
nav_a_omni,60%,0.89,1.21,-0.32,0.32,-26.4,False,0.080,0.100,-0.020,0.020,-20.0,False
loop,60%,2.80,3.15,-0.35,0.35,-11.1,False,0.143,0.169,-0.026,0.026,-15.4,False
slippage,60%,0.85,0.64,+0.21,0.21,+32.8,False,0.087,0.048,+0.039,0.039,+81.2,False
nav_a_diff,70%,1.15,1.80,-0.65,0.65,-36.1,False,0.094,0.147,-0.053,0.053,-36.1,False
nav_a_omni,70%,0.97,1.60,-0.63,0.63,-39.4,False,0.063,0.110,-0.047,0.047,-42.7,False
loop,70%,3.01,4.32,-1.31,1.31,-30.3,False,0.155,0.209,-0.054,0.054,-25.8,False
slippage,70%,0.81,0.88,-0.07,0.07,-8.0,False,0.080,0.070,+0.010,0.010,+14.3,False
nav_a_diff,80%,1.37,2.54,-1.17,1.17,-46.1,False,0.112,0.169,-0.057,0.057,-33.7,False
nav_a_omni,80%,1.15,2.14,-0.99,0.99,-46.3,False,0.075,0.111,-0.036,0.036,-32.4,False
loop,80%,3.18,5.24,-2.06,2.06,-39.3,False,0.160,0.247,-0.087,0.087,-35.2,False
slippage,80%,0.89,0.83,+0.06,0.06,+7.2,False,0.083,0.057,+0.026,0.026,+45.6,False
nav_a_diff,90%,1.92,5.14,-3.22,3.22,-62.6,False,0.131,0.298,-0.167,0.167,-56.0,False
nav_a_omni,90%,1.61,4.01,-2.40,2.40,-59.9,False,0.067,0.177,-0.110,0.110,-62.1,False
loop,90%,3.99,10.01,-6.02,6.02,-60.1,False,0.133,0.403,-0.270,0.270,-67.0,False
slippage,90%,2.05,2.63,-0.58,0.58,-22.1,False,0.144,0.099,+0.045,0.045,+45.5,False
