scenario,param,rte_dmap_p2pl,rte_dmap_p2pl,signed_diff_rte_(A-B),abs_diff_rte,rel_diff_rte_%_(A-B),within_thresh_rte,rre_dmap_p2pl,rre_dmap_p2pl,signed_diff_rre_(A-B),abs_diff_rre,rel_diff_rre_%_(A-B),within_thresh_rre
nav_a_diff,0.50m,1.65,1.65,-0.05,0.05,-3.0,True,0.158,0.158,-0.013,0.013,-8.2,False
nav_a_omni,0.50m,1.35,1.35,+0.00,0.00,+0.0,True,0.103,0.103,+0.000,0.000,+0.0,True
loop,0.50m,4.19,4.19,-0.06,0.06,-1.4,False,0.285,0.285,-0.010,0.010,-3.5,False
slippage,0.50m,1.13,1.13,+0.35,0.35,+31.0,False,0.120,0.120,+0.029,0.029,+24.2,False
nav_a_diff,1.00m,1.33,1.33,+0.03,0.03,+2.3,True,0.114,0.114,+0.001,0.001,+0.9,True
nav_a_omni,1.00m,1.18,1.18,+0.12,0.12,+10.2,False,0.105,0.105,+0.001,0.001,+1.0,True
loop,1.00m,3.80,3.80,-0.05,0.05,-1.3,True,0.236,0.236,+0.003,0.003,+1.3,True
slippage,1.00m,0.74,0.74,+0.27,0.27,+36.5,False,0.093,0.093,-0.002,0.002,-2.2,True
nav_a_diff,1.50m,1.28,1.28,-0.03,0.03,-2.3,True,0.122,0.122,+0.004,0.004,+3.3,True
nav_a_omni,1.50m,1.05,1.05,+0.14,0.14,+13.3,False,0.083,0.083,+0.013,0.013,+15.7,False
loop,1.50m,2.94,2.94,-0.06,0.06,-2.0,False,0.210,0.210,+0.000,0.000,+0.0,True
slippage,1.50m,0.79,0.79,-0.02,0.02,-2.5,True,0.115,0.115,-0.038,0.038,-33.0,False
nav_a_diff,2.00m,1.11,1.11,+0.05,0.05,+4.5,True,0.119,0.119,-0.004,0.004,-3.4,True
nav_a_omni,2.00m,0.87,0.87,+0.01,0.01,+1.1,True,0.070,0.070,-0.006,0.006,-8.6,False
loop,2.00m,2.75,2.75,-0.36,0.36,-13.1,False,0.165,0.165,-0.002,0.002,-1.2,True
slippage,2.00m,0.69,0.69,+0.02,0.02,+2.9,True,0.095,0.095,+0.002,0.002,+2.1,True
nav_a_diff,2.50m,1.05,1.05,+0.03,0.03,+2.9,True,0.091,0.091,+0.012,0.012,+13.2,False
nav_a_omni,2.50m,1.06,1.06,-0.01,0.01,-0.9,True,0.089,0.089,+0.016,0.016,+18.0,False
loop,2.50m,2.92,2.92,-0.01,0.01,-0.3,True,0.184,0.184,+0.005,0.005,+2.7,False
slippage,2.50m,0.76,0.76,-0.10,0.10,-13.2,False,0.099,0.099,-0.018,0.018,-18.2,False
nav_a_diff,3.00m,1.53,1.53,+0.14,0.14,+9.2,False,0.109,0.109,+0.005,0.005,+4.6,False
nav_a_omni,3.00m,1.30,1.30,-0.05,0.05,-3.8,False,0.113,0.113,-0.005,0.005,-4.4,False
loop,3.00m,3.29,3.29,+0.30,0.30,+9.1,False,0.149,0.149,-0.009,0.009,-6.0,False
slippage,3.00m,0.71,0.71,+0.04,0.04,+5.6,True,0.075,0.075,+0.015,0.015,+20.0,False
nav_a_diff,40%,1.06,1.06,-0.14,0.14,-13.2,False,0.090,0.090,+0.004,0.004,+4.4,True
nav_a_omni,40%,0.97,0.97,+0.12,0.12,+12.4,False,0.087,0.087,+0.017,0.017,+19.5,False
loop,40%,1.75,1.75,-0.34,0.34,-19.4,False,0.121,0.121,-0.014,0.014,-11.6,False
slippage,40%,0.79,0.79,+0.05,0.05,+6.3,True,0.078,0.078,-0.005,0.005,-6.4,False
nav_a_diff,50%,1.15,1.15,-0.09,0.09,-7.8,False,0.100,0.100,+0.004,0.004,+4.0,True
nav_a_omni,50%,0.94,0.94,-0.10,0.10,-10.6,False,0.089,0.089,-0.003,0.003,-3.4,True
loop,50%,2.27,2.27,-0.22,0.22,-9.7,False,0.146,0.146,-0.007,0.007,-4.8,False
slippage,50%,0.65,0.65,+0.07,0.07,+10.8,False,0.083,0.083,+0.001,0.001,+1.2,True
nav_a_diff,60%,1.10,1.10,+0.00,0.00,+0.0,True,0.104,0.104,+0.007,0.007,+6.7,False
nav_a_omni,60%,0.84,0.84,+0.01,0.01,+1.2,True,0.079,0.079,+0.005,0.005,+6.3,False
loop,60%,2.68,2.68,+0.09,0.09,+3.4,False,0.150,0.150,+0.006,0.006,+4.0,False
slippage,60%,0.76,0.76,-0.08,0.08,-10.5,False,0.118,0.118,-0.062,0.062,-52.5,False
nav_a_diff,70%,1.23,1.23,+0.01,0.01,+0.8,True,0.117,0.117,+0.007,0.007,+6.0,False
nav_a_omni,70%,0.84,0.84,+0.22,0.22,+26.2,False,0.079,0.079,+0.011,0.011,+13.9,False
loop,70%,3.66,3.66,+0.03,0.03,+0.8,True,0.216,0.216,-0.004,0.004,-1.9,True
slippage,70%,0.67,0.67,+0.02,0.02,+3.0,True,0.076,0.076,-0.020,0.020,-26.3,False
nav_a_diff,80%,3.04,3.04,+0.34,0.34,+11.2,False,0.158,0.158,-0.004,0.004,-2.5,True
nav_a_omni,80%,5.02,5.02,+0.38,0.38,+7.6,False,0.214,0.214,+0.019,0.019,+8.9,False
loop,80%,6.84,6.84,+0.26,0.26,+3.8,False,0.255,0.255,-0.002,0.002,-0.8,True
slippage,80%,5.08,5.08,-0.07,0.07,-1.4,False,0.079,0.079,+0.005,0.005,+6.3,False
nav_a_diff,90%,7.97,7.97,+0.05,0.05,+0.6,True,0.215,0.215,+0.001,0.001,+0.5,True
nav_a_omni,90%,9.50,9.50,-0.02,0.02,-0.2,True,0.211,0.211,+0.003,0.003,+1.4,True
loop,90%,8.29,8.29,-0.05,0.05,-0.6,True,0.137,0.137,+0.002,0.002,+1.5,True
slippage,90%,6.99,6.99,+0.07,0.07,+1.0,False,0.242,0.242,+0.009,0.009,+3.7,False
