scenario,param,rte_dmap_p2pl,rte_dmap_p2p,signed_diff_rte_(A-B),abs_diff_rte,rel_diff_rte_%_(A-B),within_thresh_rte,rre_dmap_p2pl,rre_dmap_p2p,signed_diff_rre_(A-B),abs_diff_rre,rel_diff_rre_%_(A-B),within_thresh_rre
nav_a_diff,0.50m,1.65,3.01,-1.36,1.36,-45.2,False,0.158,0.188,-0.030,0.030,-16.0,False
nav_a_omni,0.50m,1.35,2.62,-1.27,1.27,-48.5,False,0.103,0.148,-0.045,0.045,-30.4,False
loop,0.50m,4.19,6.03,-1.84,1.84,-30.5,False,0.285,0.325,-0.040,0.040,-12.3,False
slippage,0.50m,1.13,1.05,+0.08,0.08,+7.6,False,0.120,0.070,+0.050,0.050,+71.4,False
nav_a_diff,1.00m,1.33,2.04,-0.71,0.71,-34.8,False,0.114,0.161,-0.047,0.047,-29.2,False
nav_a_omni,1.00m,1.18,1.94,-0.76,0.76,-39.2,False,0.105,0.102,+0.003,0.003,+2.9,True
loop,1.00m,3.80,4.48,-0.68,0.68,-15.2,False,0.236,0.235,+0.001,0.001,+0.4,True
slippage,1.00m,0.74,0.58,+0.16,0.16,+27.6,False,0.093,0.065,+0.028,0.028,+43.1,False
nav_a_diff,1.50m,1.28,1.78,-0.50,0.50,-28.1,False,0.122,0.144,-0.022,0.022,-15.3,False
nav_a_omni,1.50m,1.05,1.59,-0.54,0.54,-34.0,False,0.083,0.090,-0.007,0.007,-7.8,False
loop,1.50m,2.94,2.92,+0.02,0.02,+0.7,True,0.210,0.179,+0.031,0.031,+17.3,False
slippage,1.50m,0.79,0.54,+0.25,0.25,+46.3,False,0.115,0.050,+0.065,0.065,+130.0,False
nav_a_diff,2.00m,1.11,1.50,-0.39,0.39,-26.0,False,0.119,0.130,-0.011,0.011,-8.5,False
nav_a_omni,2.00m,0.87,1.42,-0.55,0.55,-38.7,False,0.070,0.090,-0.020,0.020,-22.2,False
