scenario,param,rte_dmap_p2p,rte_dmap_p2p,signed_diff_rte_(A-B),abs_diff_rte,rel_diff_rte_%_(A-B),within_thresh_rte,rre_dmap_p2p,rre_dmap_p2p,signed_diff_rre_(A-B),abs_diff_rre,rel_diff_rre_%_(A-B),within_thresh_rre
nav_a_diff,0.50m,3.13,3.13,-1.45,1.45,-46.3,False,0.155,0.155,-0.026,0.026,-16.8,False
nav_a_omni,0.50m,2.58,2.58,-1.19,1.19,-46.1,False,0.134,0.134,-0.058,0.058,-43.3,False
loop,0.50m,7.28,7.28,-3.94,3.94,-54.1,False,0.353,0.353,-0.131,0.131,-37.1,False
slippage,0.50m,1.27,1.27,+0.03,0.03,+2.4,True,0.105,0.105,+0.050,0.050,+47.6,False
nav_a_diff,1.00m,2.20,2.20,-0.85,0.85,-38.6,False,0.146,0.146,-0.033,0.033,-22.6,False
nav_a_omni,1.00m,2.00,2.00,-0.94,0.94,-47.0,False,0.101,0.101,-0.013,0.013,-12.9,False
loop,1.00m,5.23,5.23,-1.72,1.72,-32.9,False,0.281,0.281,-0.056,0.056,-19.9,False
slippage,1.00m,1.01,1.01,-0.08,0.08,-7.9,False,0.080,0.080,+0.009,0.009,+11.2,False
nav_a_diff,1.50m,1.79,1.79,-0.63,0.63,-35.2,False,0.147,0.147,-0.031,0.031,-21.1,False
nav_a_omni,1.50m,1.55,1.55,-0.50,0.50,-32.3,False,0.096,0.096,-0.018,0.018,-18.8,False
loop,1.50m,4.23,4.23,-0.79,0.79,-18.7,False,0.244,0.244,-0.023,0.023,-9.4,False
slippage,1.50m,0.90,0.90,+0.20,0.20,+22.2,False,0.075,0.075,+0.037,0.037,+49.3,False
nav_a_diff,2.00m,1.56,1.56,-0.36,0.36,-23.1,False,0.139,0.139,-0.035,0.035,-25.2,False
nav_a_omni,2.00m,1.36,1.36,-0.39,0.39,-28.7,False,0.091,0.091,+0.002,0.002,+2.2,True
loop,2.00m,2.95,2.95,+0.60,0.60,+20.3,False,0.179,0.179,+0.040,0.040,+22.3,False
slippage,2.00m,0.70,0.70,-0.12,0.12,-17.1,False,0.062,0.062,+0.009,0.009,+14.5,False
nav_a_diff,2.50m,1.41,1.41,-0.16,0.16,-11.3,False,0.130,0.130,-0.025,0.025,-19.2,False
nav_a_omni,2.50m,1.25,1.25,-0.26,0.26,-20.8,False,0.100,0.100,-0.021,0.021,-21.0,False
loop,2.50m,4.01,4.01,-0.43,0.43,-10.7,False,0.226,0.226,-0.006,0.006,-2.7,False
slippage,2.50m,0.93,0.93,-0.10,0.10,-10.8,False,0.072,0.072,+0.016,0.016,+22.2,False
nav_a_diff,3.00m,1.66,1.66,-0.29,0.29,-17.5,False,0.143,0.143,-0.017,0.017,-11.9,False
nav_a_omni,3.00m,1.23,1.23,+0.10,0.10,+8.1,False,0.085,0.085,+0.039,0.039,+45.9,False
loop,3.00m,4.39,4.39,-0.35,0.35,-8.0,False,0.254,0.254,-0.034,0.034,-13.4,False
slippage,3.00m,0.82,0.82,+0.04,0.04,+4.9,True,0.033,0.033,+0.052,0.052,+157.6,False
nav_a_diff,40%,1.36,1.36,-0.27,0.27,-19.9,False,0.115,0.115,-0.014,0.014,-12.2,False
nav_a_omni,40%,1.36,1.36,-0.28,0.28,-20.6,False,0.106,0.106,+0.002,0.002,+1.9,True
loop,40%,2.56,2.56,+0.25,0.25,+9.8,False,0.167,0.167,+0.010,0.010,+6.0,False
slippage,40%,0.88,0.88,-0.22,0.22,-25.0,False,0.058,0.058,+0.007,0.007,+12.1,False
nav_a_diff,50%,1.41,1.41,-0.30,0.30,-21.3,False,0.130,0.130,-0.022,0.022,-16.9,False
nav_a_omni,50%,1.42,1.42,-0.54,0.54,-38.0,False,0.123,0.123,-0.037,0.037,-30.1,False
loop,50%,3.68,3.68,-0.49,0.49,-13.3,False,0.199,0.199,-0.016,0.016,-8.0,False
slippage,50%,0.92,0.92,-0.18,0.18,-19.6,False,0.038,0.038,+0.048,0.048,+126.3,False
nav_a_diff,60%,1.61,1.61,-0.49,0.49,-30.4,False,0.141,0.141,-0.029,0.029,-20.6,False
nav_a_omni,60%,1.47,1.47,-0.55,0.55,-37.4,False,0.098,0.098,+0.000,0.000,+0.0,True
loop,60%,3.66,3.66,-0.41,0.41,-11.2,False,0.216,0.216,-0.005,0.005,-2.3,False
slippage,60%,1.04,1.04,-0.41,0.41,-39.4,False,0.077,0.077,+0.007,0.007,+9.1,False
nav_a_diff,70%,1.95,1.95,-0.65,0.65,-33.3,False,0.137,0.137,-0.020,0.020,-14.6,False
nav_a_omni,70%,1.90,1.90,-0.89,0.89,-46.8,False,0.112,0.112,-0.028,0.028,-25.0,False
loop,70%,4.92,4.92,-1.57,1.57,-31.9,False,0.248,0.248,-0.041,0.041,-16.5,False
slippage,70%,1.05,1.05,-0.07,0.07,-6.7,False,0.086,0.086,+0.024,0.024,+27.9,False
nav_a_diff,80%,2.50,2.50,-1.07,1.07,-42.8,False,0.145,0.145,-0.028,0.028,-19.3,False
nav_a_omni,80%,2.35,2.35,-1.22,1.22,-51.9,False,0.100,0.100,-0.023,0.023,-23.0,False
loop,80%,6.15,6.15,-2.86,2.86,-46.5,False,0.299,0.299,-0.087,0.087,-29.1,False
slippage,80%,1.29,1.29,-0.19,0.19,-14.7,False,0.104,0.104,+0.033,0.033,+31.7,False
nav_a_diff,90%,5.25,5.25,-3.16,3.16,-60.2,False,0.221,0.221,-0.075,0.075,-33.9,False
nav_a_omni,90%,4.12,4.12,-2.35,2.35,-57.0,False,0.159,0.159,-0.066,0.066,-41.5,False
