scenario,param,rte_icp_p2pl,rte_icp_p2p,signed_diff_rte_(A-B),abs_diff_rte,rel_diff_rte_%_(A-B),within_thresh_rte,rre_icp_p2pl,rre_icp_p2p,signed_diff_rre_(A-B),abs_diff_rre,rel_diff_rre_%_(A-B),within_thresh_rre
nav_a_diff,0.50m,1.63,3.01,-1.38,1.38,-45.8,False,0.153,0.175,-0.022,0.022,-12.6,False
nav_a_omni,0.50m,1.34,2.54,-1.20,1.20,-47.2,False,0.101,0.124,-0.023,0.023,-18.5,False
loop,0.50m,4.20,5.95,-1.75,1.75,-29.4,False,0.285,0.308,-0.023,0.023,-7.5,False
slippage,0.50m,1.13,1.19,-0.06,0.06,-5.0,False,0.120,0.083,+0.037,0.037,+44.6,False
nav_a_diff,1.00m,1.38,2.05,-0.67,0.67,-32.7,False,0.115,0.154,-0.039,0.039,-25.3,False
nav_a_omni,1.00m,1.18,1.80,-0.62,0.62,-34.4,False,0.106,0.125,-0.019,0.019,-15.2,False
loop,1.00m,3.81,4.33,-0.52,0.52,-12.0,False,0.236,0.234,+0.002,0.002,+0.9,True
slippage,1.00m,0.74,0.60,+0.14,0.14,+23.3,False,0.093,0.092,+0.001,0.001,+1.1,True
nav_a_diff,1.50m,1.32,1.69,-0.37,0.37,-21.9,False,0.127,0.147,-0.020,0.020,-13.6,False
nav_a_omni,1.50m,1.04,1.47,-0.43,0.43,-29.3,False,0.081,0.104,-0.023,0.023,-22.1,False
loop,1.50m,2.88,3.13,-0.25,0.25,-8.0,False,0.209,0.188,+0.021,0.021,+11.2,False
slippage,1.50m,0.79,0.50,+0.29,0.29,+58.0,False,0.115,0.053,+0.062,0.062,+117.0,False
nav_a_diff,2.00m,1.10,1.42,-0.32,0.32,-22.5,False,0.114,0.124,-0.010,0.010,-8.1,False
nav_a_omni,2.00m,0.88,1.32,-0.44,0.44,-33.3,False,0.071,0.115,-0.044,0.044,-38.3,False
loop,2.00m,2.74,2.84,-0.10,0.10,-3.5,False,0.161,0.194,-0.033,0.033,-17.0,False
slippage,2.00m,0.69,0.49,+0.20,0.20,+40.8,False,0.095,0.057,+0.038,0.038,+66.7,False
nav_a_diff,2.50m,1.04,1.31,-0.27,0.27,-20.6,False,0.090,0.114,-0.024,0.024,-21.1,False
nav_a_omni,2.50m,1.02,1.09,-0.07,0.07,-6.4,False,0.083,0.087,-0.004,0.004,-4.6,True
loop,2.50m,2.91,3.83,-0.92,0.92,-24.0,False,0.184,0.200,-0.016,0.016,-8.0,False
slippage,2.50m,0.76,0.47,+0.29,0.29,+61.7,False,0.099,0.057,+0.042,0.042,+73.7,False
nav_a_diff,3.00m,1.51,1.55,-0.04,0.04,-2.6,True,0.115,0.117,-0.002,0.002,-1.7,True
nav_a_omni,3.00m,1.24,1.54,-0.30,0.30,-19.5,False,0.108,0.103,+0.005,0.005,+4.9,False
loop,3.00m,3.55,3.66,-0.11,0.11,-3.0,False,0.154,0.190,-0.036,0.036,-18.9,False
slippage,3.00m,0.71,0.78,-0.07,0.07,-9.0,False,0.075,0.062,+0.013,0.013,+21.0,False
nav_a_diff,40%,1.14,1.10,+0.04,0.04,+3.6,True,0.091,0.100,-0.009,0.009,-9.0,False
nav_a_omni,40%,0.93,0.97,-0.04,0.04,-4.1,True,0.097,0.080,+0.017,0.017,+21.3,False
loop,40%,1.74,3.16,-1.42,1.42,-44.9,False,0.123,0.179,-0.056,0.056,-31.3,False
slippage,40%,0.79,0.62,+0.17,0.17,+27.4,False,0.078,0.067,+0.011,0.011,+16.4,False
nav_a_diff,50%,1.06,1.32,-0.26,0.26,-19.7,False,0.102,0.119,-0.017,0.017,-14.3,False
nav_a_omni,50%,0.84,1.02,-0.18,0.18,-17.6,False,0.091,0.087,+0.004,0.004,+4.6,True
loop,50%,2.13,2.84,-0.71,0.71,-25.0,False,0.137,0.142,-0.005,0.005,-3.5,True
slippage,50%,0.65,0.86,-0.21,0.21,-24.4,False,0.083,0.087,-0.004,0.004,-4.6,True
nav_a_diff,60%,1.05,1.49,-0.44,0.44,-29.5,False,0.111,0.135,-0.024,0.024,-17.8,False
nav_a_omni,60%,0.84,1.15,-0.31,0.31,-27.0,False,0.081,0.101,-0.020,0.020,-19.8,False
loop,60%,2.72,3.11,-0.39,0.39,-12.5,False,0.151,0.168,-0.017,0.017,-10.1,False
slippage,60%,0.76,0.47,+0.29,0.29,+61.7,False,0.115,0.045,+0.070,0.070,+155.6,False
nav_a_diff,70%,1.19,1.87,-0.68,0.68,-36.4,False,0.121,0.152,-0.031,0.031,-20.4,False
nav_a_omni,70%,0.83,1.52,-0.69,0.69,-45.4,False,0.080,0.098,-0.018,0.018,-18.4,False
loop,70%,3.82,4.39,-0.57,0.57,-13.0,False,0.213,0.210,+0.003,0.003,+1.4,True
slippage,70%,0.67,0.55,+0.12,0.12,+21.8,False,0.076,0.052,+0.024,0.024,+46.2,False
nav_a_diff,80%,3.03,2.46,+0.57,0.57,+23.2,False,0.158,0.162,-0.004,0.004,-2.5,True
nav_a_omni,80%,4.98,2.03,+2.95,2.95,+145.3,False,0.230,0.111,+0.119,0.119,+107.2,False
loop,80%,7.04,5.41,+1.63,1.63,+30.1,False,0.259,0.253,+0.006,0.006,+2.4,False
slippage,80%,5.04,0.91,+4.13,4.13,+453.8,False,0.079,0.061,+0.018,0.018,+29.5,False
nav_a_diff,90%,7.96,5.13,+2.83,2.83,+55.2,False,0.219,0.303,-0.084,0.084,-27.7,False
nav_a_omni,90%,9.48,4.06,+5.42,5.42,+133.5,False,0.211,0.178,+0.033,0.033,+18.5,False
