scenario,param,rte_dmap_p2p,rte_icp_p2pl,signed_diff_rte_(A-B),abs_diff_rte,rel_diff_rte_%_(A-B),within_thresh_rte,rre_dmap_p2p,rre_icp_p2pl,signed_diff_rre_(A-B),abs_diff_rre,rel_diff_rre_%_(A-B),within_thresh_rre
nav_a_diff,0.50m,1.62,1.61,+0.01,0.01,+0.6,True,0.109,0.146,-0.037,0.037,-25.3,False
nav_a_omni,0.50m,1.38,1.42,-0.04,0.04,-2.8,True,0.080,0.111,-0.031,0.031,-27.9,False
loop,0.50m,2.87,4.14,-1.27,1.27,-30.7,False,0.140,0.275,-0.135,0.135,-49.1,False
slippage,0.50m,1.47,1.48,-0.01,0.01,-0.7,True,0.088,0.149,-0.061,0.061,-40.9,False
nav_a_diff,1.00m,1.12,1.37,-0.25,0.25,-18.2,False,0.096,0.114,-0.018,0.018,-15.8,False
nav_a_omni,1.00m,1.01,1.28,-0.27,0.27,-21.1,False,0.077,0.103,-0.026,0.026,-25.2,False
loop,1.00m,3.09,3.71,-0.62,0.62,-16.7,False,0.160,0.238,-0.078,0.078,-32.8,False
slippage,1.00m,0.89,1.06,-0.17,0.17,-16.0,False,0.088,0.095,-0.007,0.007,-7.4,False
nav_a_diff,1.50m,1.11,1.25,-0.14,0.14,-11.2,False,0.098,0.122,-0.024,0.024,-19.7,False
nav_a_omni,1.50m,0.98,1.19,-0.21,0.21,-17.6,False,0.080,0.097,-0.017,0.017,-17.5,False
loop,1.50m,2.81,2.82,-0.01,0.01,-0.4,True,0.154,0.207,-0.053,0.053,-25.6,False
slippage,1.50m,1.04,0.77,+0.27,0.27,+35.1,False,0.142,0.077,+0.065,0.065,+84.4,False
nav_a_diff,2.00m,1.06,1.13,-0.07,0.07,-6.2,False,0.091,0.115,-0.024,0.024,-20.9,False
nav_a_omni,2.00m,0.92,0.91,+0.01,0.01,+1.1,True,0.079,0.070,+0.009,0.009,+12.9,False
loop,2.00m,2.82,2.45,+0.37,0.37,+15.1,False,0.155,0.164,-0.009,0.009,-5.5,False
slippage,2.00m,0.55,0.71,-0.16,0.16,-22.5,False,0.056,0.097,-0.041,0.041,-42.3,False
nav_a_diff,2.50m,1.12,1.09,+0.03,0.03,+2.8,True,0.091,0.095,-0.004,0.004,-4.2,True
nav_a_omni,2.50m,0.91,1.02,-0.11,0.11,-10.8,False,0.080,0.105,-0.025,0.025,-23.8,False
loop,2.50m,3.07,3.02,+0.05,0.05,+1.7,True,0.166,0.187,-0.021,0.021,-11.2,False
slippage,2.50m,0.85,0.66,+0.19,0.19,+28.8,False,0.086,0.081,+0.005,0.005,+6.2,True
nav_a_diff,3.00m,1.09,1.68,-0.59,0.59,-35.1,False,0.091,0.112,-0.021,0.021,-18.8,False
nav_a_omni,3.00m,1.36,1.22,+0.14,0.14,+11.5,False,0.123,0.103,+0.020,0.020,+19.4,False
loop,3.00m,3.03,3.55,-0.52,0.52,-14.6,False,0.156,0.140,+0.016,0.016,+11.4,False
slippage,3.00m,0.88,0.75,+0.13,0.13,+17.3,False,0.069,0.090,-0.021,0.021,-23.3,False
nav_a_diff,40%,1.01,0.88,+0.13,0.13,+14.8,False,0.090,0.082,+0.008,0.008,+9.8,False
nav_a_omni,40%,0.89,1.06,-0.17,0.17,-16.0,False,0.087,0.106,-0.019,0.019,-17.9,False
loop,40%,2.14,1.37,+0.77,0.77,+56.2,False,0.134,0.106,+0.028,0.028,+26.4,False
slippage,40%,0.66,0.78,-0.12,0.12,-15.4,False,0.076,0.073,+0.003,0.003,+4.1,True
nav_a_diff,50%,0.95,1.01,-0.06,0.06,-5.9,False,0.078,0.097,-0.019,0.019,-19.6,False
