scenario,param,rte_dmap_p2p,rte_dmap_p2p,signed_diff_rte_(A-B),abs_diff_rte,rel_diff_rte_%_(A-B),within_thresh_rte,rre_dmap_p2p,rre_dmap_p2p,signed_diff_rre_(A-B),abs_diff_rre,rel_diff_rre_%_(A-B),within_thresh_rre
nav_a_omni,50%,1.34,1.34,-0.03,0.03,-2.2,True,0.092,0.092,-0.003,0.003,-3.3,True
loop,50%,2.99,2.99,+0.01,0.01,+0.3,True,0.141,0.141,+0.003,0.003,+2.1,True
slippage,50%,0.57,0.57,+0.07,0.07,+12.3,False,0.051,0.051,+0.001,0.001,+2.0,True
nav_a_diff,60%,1.60,1.60,-0.02,0.02,-1.3,True,0.127,0.127,+0.002,0.002,+1.6,True
nav_a_omni,60%,1.51,1.51,-0.12,0.12,-7.9,False,0.093,0.093,-0.003,0.003,-3.2,True
loop,60%,3.19,3.19,-0.07,0.07,-2.2,False,0.170,0.170,+0.005,0.005,+2.9,True
slippage,60%,0.58,0.58,+0.05,0.05,+8.6,False,0.039,0.039,+0.013,0.013,+33.3,False
nav_a_diff,70%,1.86,1.86,-0.03,0.03,-1.6,True,0.141,0.141,+0.000,0.000,+0.0,True
nav_a_omni,70%,1.65,1.65,+0.01,0.01,+0.6,True,0.091,0.091,+0.007,0.007,+7.7,False
loop,70%,4.43,4.43,-0.06,0.06,-1.4,False,0.217,0.217,+0.000,0.000,+0.0,True
slippage,70%,0.60,0.60,+0.35,0.35,+58.3,False,0.052,0.052,+0.030,0.030,+57.7,False
nav_a_diff,80%,2.45,2.45,+0.08,0.08,+3.3,False,0.163,0.163,+0.011,0.011,+6.7,False
nav_a_omni,80%,2.19,2.19,-0.02,0.02,-0.9,True,0.117,0.117,+0.010,0.010,+8.5,False
loop,80%,5.46,5.46,-0.12,0.12,-2.2,False,0.266,0.266,-0.010,0.010,-3.8,False
slippage,80%,0.93,0.93,+0.31,0.31,+33.3,False,0.076,0.076,-0.012,0.012,-15.8,False
nav_a_diff,90%,5.38,5.38,-0.04,0.04,-0.7,True,0.311,0.311,-0.019,0.019,-6.1,False
nav_a_omni,90%,4.02,4.02,-0.04,0.04,-1.0,True,0.186,0.186,+0.001,0.001,+0.5,True
loop,90%,9.76,9.76,-0.11,0.11,-1.1,False,0.410,0.410,-0.011,0.011,-2.7,False
slippage,90%,2.47,2.47,+0.33,0.33,+13.4,False,0.070,0.070,+0.023,0.023,+32.9,False
