scenario,param,rte_dmap_p2p,rte_dmap_p2p,signed_diff_rte_(A-B),abs_diff_rte,rel_diff_rte_%_(A-B),within_thresh_rte,rre_dmap_p2p,rre_dmap_p2p,signed_diff_rre_(A-B),abs_diff_rre,rel_diff_rre_%_(A-B),within_thresh_rre
nav_a_diff,0.50m,3.01,3.01,-0.10,0.10,-3.3,False,0.188,0.188,-0.006,0.006,-3.2,False
nav_a_omni,0.50m,2.62,2.62,+0.02,0.02,+0.8,True,0.148,0.148,-0.014,0.014,-9.5,False
loop,0.50m,6.03,6.03,-0.23,0.23,-3.8,False,0.325,0.325,-0.015,0.015,-4.6,False
slippage,0.50m,1.05,1.05,+0.23,0.23,+21.9,False,0.070,0.070,-0.011,0.011,-15.7,False
nav_a_diff,1.00m,2.04,2.04,+0.01,0.01,+0.5,True,0.161,0.161,+0.000,0.000,+0.0,True
nav_a_omni,1.00m,1.94,1.94,+0.00,0.00,+0.0,True,0.102,0.102,+0.006,0.006,+5.9,False
loop,1.00m,4.48,4.48,-0.13,0.13,-2.9,False,0.235,0.235,+0.001,0.001,+0.4,True
slippage,1.00m,0.58,0.58,+0.38,0.38,+65.5,False,0.065,0.065,+0.009,0.009,+13.8,False
nav_a_diff,1.50m,1.78,1.78,-0.02,0.02,-1.1,True,0.144,0.144,+0.002,0.002,+1.4,True
nav_a_omni,1.50m,1.59,1.59,+0.04,0.04,+2.5,True,0.090,0.090,+0.008,0.008,+8.9,False
loop,1.50m,2.92,2.92,+0.11,0.11,+3.8,False,0.179,0.179,+0.004,0.004,+2.2,True
slippage,1.50m,0.54,0.54,+0.24,0.24,+44.4,False,0.050,0.050,+0.006,0.006,+12.0,False
nav_a_diff,2.00m,1.50,1.50,+0.01,0.01,+0.7,True,0.130,0.130,-0.003,0.003,-2.3,True
nav_a_omni,2.00m,1.42,1.42,+0.08,0.08,+5.6,False,0.090,0.090,+0.012,0.012,+13.3,False
loop,2.00m,3.20,3.20,-0.07,0.07,-2.2,False,0.199,0.199,+0.003,0.003,+1.5,True
slippage,2.00m,0.52,0.52,+0.45,0.45,+86.5,False,0.038,0.038,+0.011,0.011,+28.9,False
nav_a_diff,2.50m,1.30,1.30,+0.05,0.05,+3.8,False,0.111,0.111,+0.015,0.015,+13.5,False
nav_a_omni,2.50m,1.28,1.28,-0.05,0.05,-3.9,False,0.093,0.093,-0.005,0.005,-5.4,False
loop,2.50m,3.60,3.60,+0.26,0.26,+7.2,False,0.197,0.197,+0.002,0.002,+1.0,True
slippage,2.50m,0.53,0.53,+0.15,0.15,+28.3,False,0.036,0.036,-0.003,0.003,-8.3,True
nav_a_diff,3.00m,1.55,1.55,-0.08,0.08,-5.2,False,0.126,0.126,-0.006,0.006,-4.8,False
nav_a_omni,3.00m,1.41,1.41,+0.04,0.04,+2.8,True,0.119,0.119,+0.002,0.002,+1.7,True
loop,3.00m,4.60,4.60,-0.69,0.69,-15.0,False,0.226,0.226,-0.028,0.028,-12.4,False
slippage,3.00m,0.54,0.54,+0.38,0.38,+70.4,False,0.057,0.057,+0.003,0.003,+5.3,True
nav_a_diff,40%,1.17,1.17,-0.05,0.05,-4.3,True,0.114,0.114,-0.016,0.016,-14.0,False
nav_a_omni,40%,1.16,1.16,-0.07,0.07,-6.0,False,0.088,0.088,+0.002,0.002,+2.3,True
loop,40%,2.58,2.58,-0.04,0.04,-1.6,True,0.154,0.154,+0.004,0.004,+2.6,True
slippage,40%,0.54,0.54,+0.17,0.17,+31.5,False,0.053,0.053,-0.019,0.019,-35.8,False
nav_a_diff,50%,1.38,1.38,-0.03,0.03,-2.2,True,0.110,0.110,+0.012,0.012,+10.9,False
