scenario,param,rte_dmap_p2pl,rte_dmap_p2pl,signed_diff_rte_(A-B),abs_diff_rte,rel_diff_rte_%_(A-B),within_thresh_rte,rre_dmap_p2pl,rre_dmap_p2pl,signed_diff_rre_(A-B),abs_diff_rre,rel_diff_rre_%_(A-B),within_thresh_rre
loop,2.00m,2.75,2.75,+0.45,0.45,+16.4,False,0.165,0.165,+0.023,0.023,+13.9,False
slippage,2.00m,0.69,0.69,+0.07,0.07,+10.1,False,0.095,0.095,-0.053,0.053,-55.8,False
nav_a_diff,2.50m,1.05,1.05,+0.13,0.13,+12.4,False,0.091,0.091,+0.012,0.012,+13.2,False
nav_a_omni,2.50m,1.06,1.06,-0.01,0.01,-0.9,True,0.089,0.089,-0.001,0.001,-1.1,True
loop,2.50m,2.92,2.92,+0.56,0.56,+19.2,False,0.184,0.184,+0.004,0.004,+2.2,True
slippage,2.50m,0.76,0.76,-0.06,0.06,-7.9,False,0.099,0.099,-0.054,0.054,-54.5,False
nav_a_diff,3.00m,1.53,1.53,-0.27,0.27,-17.6,False,0.109,0.109,+0.012,0.012,+11.0,False
nav_a_omni,3.00m,1.30,1.30,-0.40,0.40,-30.8,False,0.113,0.113,-0.029,0.029,-25.7,False
loop,3.00m,3.29,3.29,-0.84,0.84,-25.5,False,0.149,0.149,+0.012,0.012,+8.1,False
slippage,3.00m,0.71,0.71,+0.31,0.31,+43.7,False,0.075,0.075,+0.041,0.041,+54.7,False
nav_a_diff,40%,1.06,1.06,-0.08,0.08,-7.5,False,0.090,0.090,-0.004,0.004,-4.4,True
nav_a_omni,40%,0.97,0.97,-0.10,0.10,-10.3,False,0.087,0.087,+0.002,0.002,+2.3,True
loop,40%,1.75,1.75,+0.16,0.16,+9.1,False,0.121,0.121,+0.000,0.000,+0.0,True
slippage,40%,0.79,0.79,-0.12,0.12,-15.2,False,0.078,0.078,-0.013,0.013,-16.7,False
nav_a_diff,50%,1.15,1.15,+0.02,0.02,+1.7,True,0.100,0.100,+0.011,0.011,+11.0,False
nav_a_omni,50%,0.94,0.94,+0.00,0.00,+0.0,True,0.089,0.089,-0.004,0.004,-4.5,True
loop,50%,2.27,2.27,+0.63,0.63,+27.8,False,0.146,0.146,-0.006,0.006,-4.1,False
slippage,50%,0.65,0.65,+0.18,0.18,+27.7,False,0.083,0.083,-0.024,0.024,-28.9,False
nav_a_diff,60%,1.10,1.10,+0.16,0.16,+14.5,False,0.104,0.104,+0.014,0.014,+13.5,False
nav_a_omni,60%,0.84,0.84,+0.26,0.26,+31.0,False,0.079,0.079,+0.017,0.017,+21.5,False
loop,60%,2.68,2.68,+0.42,0.42,+15.7,False,0.150,0.150,+0.002,0.002,+1.3,True
slippage,60%,0.76,0.76,+0.13,0.13,+17.1,False,0.118,0.118,-0.050,0.050,-42.4,False
nav_a_diff,70%,1.23,1.23,+0.13,0.13,+10.6,False,0.117,0.117,+0.008,0.008,+6.8,False
nav_a_omni,70%,0.84,0.84,+0.23,0.23,+27.4,False,0.079,0.079,+0.016,0.016,+20.3,False
loop,70%,3.66,3.66,+0.20,0.20,+5.5,False,0.216,0.216,+0.007,0.007,+3.2,False
slippage,70%,0.67,0.67,+0.52,0.52,+77.6,False,0.076,0.076,-0.004,0.004,-5.3,True
nav_a_diff,80%,3.04,3.04,-0.95,0.95,-31.3,False,0.158,0.158,-0.003,0.003,-1.9,True
nav_a_omni,80%,5.02,5.02,-2.48,2.48,-49.4,False,0.214,0.214,-0.005,0.005,-2.3,False
loop,80%,6.84,6.84,+0.19,0.19,+2.8,False,0.255,0.255,-0.018,0.018,-7.1,False
slippage,80%,5.08,5.08,+2.65,2.65,+52.2,False,0.079,0.079,+0.173,0.173,+219.0,False
nav_a_diff,90%,7.97,7.97,+6.11,6.11,+76.7,False,0.215,0.215,+0.413,0.413,+192.1,False
nav_a_omni,90%,9.50,9.50,+2.60,2.60,+27.4,False,0.211,0.211,+0.367,0.367,+173.9,False
loop,90%,8.29,8.29,+2.93,2.93,+35.3,False,0.137,0.137,+0.485,0.485,+354.0,False
slippage,90%,6.99,6.99,+9.13,9.13,+130.6,False,0.242,0.242,+0.219,0.219,+90.5,False
