scenario,param,rte_dmap_p2pl,rte_dmap_p2pl,signed_diff_rte_(A-B),abs_diff_rte,rel_diff_rte_%_(A-B),within_thresh_rte,rre_dmap_p2pl,rre_dmap_p2pl,signed_diff_rre_(A-B),abs_diff_rre,rel_diff_rre_%_(A-B),within_thresh_rre
nav_a_diff,0.50m,1.65,1.65,-0.32,0.32,-19.4,False,0.158,0.158,-0.029,0.029,-18.4,False
nav_a_omni,0.50m,1.35,1.35,-0.26,0.26,-19.3,False,0.103,0.103,-0.001,0.001,-1.0,True
loop,0.50m,4.19,4.19,+0.29,0.29,+6.9,False,0.285,0.285,-0.004,0.004,-1.4,True
slippage,0.50m,1.13,1.13,-0.23,0.23,-20.4,False,0.120,0.120,-0.039,0.039,-32.5,False
nav_a_diff,1.00m,1.33,1.33,-0.12,0.12,-9.0,False,0.114,0.114,+0.006,0.006,+5.3,False
nav_a_omni,1.00m,1.18,1.18,-0.09,0.09,-7.6,False,0.105,0.105,+0.003,0.003,+2.9,True
loop,1.00m,3.80,3.80,+0.38,0.38,+10.0,False,0.236,0.236,+0.018,0.018,+7.6,False
slippage,1.00m,0.74,0.74,+0.45,0.45,+60.8,False,0.093,0.093,+0.043,0.043,+46.2,False
nav_a_diff,1.50m,1.28,1.28,-0.05,0.05,-3.9,False,0.122,0.122,-0.008,0.008,-6.6,False
nav_a_omni,1.50m,1.05,1.05,+0.13,0.13,+12.4,False,0.083,0.083,+0.027,0.027,+32.5,False
loop,1.50m,2.94,2.94,+0.86,0.86,+29.3,False,0.210,0.210,+0.017,0.017,+8.1,False
slippage,1.50m,0.79,0.79,-0.02,0.02,-2.5,True,0.115,0.115,-0.064,0.064,-55.7,False
nav_a_diff,2.00m,1.11,1.11,+0.04,0.04,+3.6,True,0.119,0.119,-0.014,0.014,-11.8,False
nav_a_omni,2.00m,0.87,0.87,+0.20,0.20,+23.0,False,0.070,0.070,+0.035,0.035,+50.0,False
