scenario,param,rte_dmap_p2p,rte_dmap_p2pl,signed_diff_rte_(A-B),abs_diff_rte,rel_diff_rte_%_(A-B),within_thresh_rte,rre_dmap_p2p,rre_dmap_p2pl,signed_diff_rre_(A-B),abs_diff_rre,rel_diff_rre_%_(A-B),within_thresh_rre
loop,40%,2.81,1.81,+1.00,1.00,+55.2,False,0.177,0.155,+0.022,0.022,+14.2,False
slippage,40%,0.66,1.01,-0.35,0.35,-34.7,False,0.065,0.119,-0.054,0.054,-45.4,False
nav_a_diff,50%,1.11,1.09,+0.02,0.02,+1.8,True,0.108,0.104,+0.004,0.004,+3.8,True
nav_a_omni,50%,0.88,0.97,-0.09,0.09,-9.3,False,0.086,0.098,-0.012,0.012,-12.2,False
loop,50%,3.19,2.43,+0.76,0.76,+31.3,False,0.183,0.143,+0.040,0.040,+28.0,False
slippage,50%,0.74,1.01,-0.27,0.27,-26.7,False,0.086,0.107,-0.021,0.021,-19.6,False
nav_a_diff,60%,1.12,1.03,+0.09,0.09,+8.7,False,0.112,0.114,-0.002,0.002,-1.8,True
nav_a_omni,60%,0.92,1.03,-0.11,0.11,-10.7,False,0.098,0.089,+0.009,0.009,+10.1,False
loop,60%,3.25,3.01,+0.24,0.24,+8.0,False,0.211,0.190,+0.021,0.021,+11.1,False
slippage,60%,0.63,0.91,-0.28,0.28,-30.8,False,0.084,0.118,-0.034,0.034,-28.8,False
nav_a_diff,70%,1.30,1.18,+0.12,0.12,+10.2,False,0.117,0.113,+0.004,0.004,+3.5,True
nav_a_omni,70%,1.01,1.00,+0.01,0.01,+1.0,True,0.084,0.093,-0.009,0.009,-9.7,False
loop,70%,3.35,3.32,+0.03,0.03,+0.9,True,0.207,0.208,-0.001,0.001,-0.5,True
slippage,70%,0.98,0.71,+0.27,0.27,+38.0,False,0.110,0.078,+0.032,0.032,+41.0,False
nav_a_diff,80%,1.43,1.87,-0.44,0.44,-23.5,False,0.117,0.151,-0.034,0.034,-22.5,False
nav_a_omni,80%,1.13,2.30,-1.17,1.17,-50.9,False,0.077,0.119,-0.042,0.042,-35.3,False
loop,80%,3.29,5.04,-1.75,1.75,-34.7,False,0.212,0.231,-0.019,0.019,-8.2,False
slippage,80%,1.10,4.02,-2.92,2.92,-72.6,False,0.137,0.078,+0.059,0.059,+75.6,False
nav_a_diff,90%,2.09,8.45,-6.36,6.36,-75.3,False,0.146,0.233,-0.087,0.087,-37.3,False
nav_a_omni,90%,1.77,9.23,-7.46,7.46,-80.8,False,0.093,0.230,-0.137,0.137,-59.6,False
loop,90%,4.42,8.32,-3.90,3.90,-46.9,False,0.187,0.138,+0.049,0.049,+35.5,False
slippage,90%,2.40,7.12,-4.72,4.72,-66.3,False,0.182,0.167,+0.015,0.015,+9.0,False
