scenario,param,rte_dmap_p2p,rte_dmap_p2pl,signed_diff_rte_(A-B),abs_diff_rte,rel_diff_rte_%_(A-B),within_thresh_rte,rre_dmap_p2p,rre_dmap_p2pl,signed_diff_rre_(A-B),abs_diff_rre,rel_diff_rre_%_(A-B),within_thresh_rre
nav_a_diff,0.50m,1.68,1.55,+0.13,0.13,+8.4,False,0.129,0.143,-0.014,0.014,-9.8,False
nav_a_omni,0.50m,1.39,1.37,+0.02,0.02,+1.5,True,0.076,0.105,-0.029,0.029,-27.6,False
loop,0.50m,3.34,4.79,-1.45,1.45,-30.3,False,0.222,0.310,-0.088,0.088,-28.4,False
slippage,0.50m,1.30,1.45,-0.15,0.15,-10.3,False,0.155,0.132,+0.023,0.023,+17.4,False
nav_a_diff,1.00m,1.35,1.45,-0.10,0.10,-6.9,False,0.113,0.119,-0.006,0.006,-5.0,False
nav_a_omni,1.00m,1.06,1.27,-0.21,0.21,-16.5,False,0.088,0.097,-0.009,0.009,-9.3,False
loop,1.00m,3.51,3.06,+0.45,0.45,+14.7,False,0.225,0.236,-0.011,0.011,-4.7,False
slippage,1.00m,0.93,1.09,-0.16,0.16,-14.7,False,0.089,0.100,-0.011,0.011,-11.0,False
nav_a_diff,1.50m,1.16,1.37,-0.21,0.21,-15.3,False,0.116,0.144,-0.028,0.028,-19.4,False
nav_a_omni,1.50m,1.05,1.21,-0.16,0.16,-13.2,False,0.078,0.103,-0.025,0.025,-24.3,False
loop,1.50m,3.44,3.48,-0.04,0.04,-1.1,True,0.221,0.244,-0.023,0.023,-9.4,False
slippage,1.50m,1.10,0.83,+0.27,0.27,+32.5,False,0.112,0.115,-0.003,0.003,-2.6,True
nav_a_diff,2.00m,1.20,1.20,+0.00,0.00,+0.0,True,0.104,0.129,-0.025,0.025,-19.4,False
nav_a_omni,2.00m,0.97,1.13,-0.16,0.16,-14.2,False,0.093,0.097,-0.004,0.004,-4.1,True
loop,2.00m,3.55,2.79,+0.76,0.76,+27.2,False,0.219,0.192,+0.027,0.027,+14.1,False
slippage,2.00m,0.58,0.81,-0.23,0.23,-28.4,False,0.071,0.095,-0.024,0.024,-25.3,False
nav_a_diff,2.50m,1.25,1.16,+0.09,0.09,+7.8,False,0.105,0.113,-0.008,0.008,-7.1,False
nav_a_omni,2.50m,0.99,0.97,+0.02,0.02,+2.1,True,0.079,0.117,-0.038,0.038,-32.5,False
loop,2.50m,3.58,3.27,+0.31,0.31,+9.5,False,0.220,0.206,+0.014,0.014,+6.8,False
slippage,2.50m,0.83,0.68,+0.15,0.15,+22.1,False,0.088,0.066,+0.022,0.022,+33.3,False
nav_a_diff,3.00m,1.37,1.72,-0.35,0.35,-20.3,False,0.126,0.126,+0.000,0.000,+0.0,True
nav_a_omni,3.00m,1.33,1.25,+0.08,0.08,+6.4,False,0.124,0.107,+0.017,0.017,+15.9,False
loop,3.00m,4.04,2.95,+1.09,1.09,+36.9,False,0.220,0.157,+0.063,0.063,+40.1,False
slippage,3.00m,0.86,0.73,+0.13,0.13,+17.8,False,0.085,0.086,-0.001,0.001,-1.2,True
nav_a_diff,40%,1.09,1.13,-0.04,0.04,-3.5,True,0.101,0.104,-0.003,0.003,-2.9,True
nav_a_omni,40%,1.08,1.16,-0.08,0.08,-6.9,False,0.108,0.125,-0.017,0.017,-13.6,False
