scenario,param,rte_dmap_p2pl,rte_dmap_p2p,signed_diff_rte_(A-B),abs_diff_rte,rel_diff_rte_%_(A-B),within_thresh_rte,rre_dmap_p2pl,rre_dmap_p2p,signed_diff_rre_(A-B),abs_diff_rre,rel_diff_rre_%_(A-B),within_thresh_rre
nav_a_diff,0.50m,1.37,1.68,-0.31,0.31,-18.5,False,0.139,0.129,+0.010,0.010,+7.8,False
nav_a_omni,0.50m,1.18,1.39,-0.21,0.21,-15.1,False,0.099,0.076,+0.023,0.023,+30.3,False
loop,0.50m,4.50,3.34,+1.16,1.16,+34.7,False,0.286,0.222,+0.064,0.064,+28.8,False
slippage,0.50m,0.89,1.30,-0.41,0.41,-31.5,False,0.078,0.155,-0.077,0.077,-49.7,False
nav_a_diff,1.00m,1.35,1.35,+0.00,0.00,+0.0,True,0.136,0.113,+0.023,0.023,+20.4,False
nav_a_omni,1.00m,1.17,1.06,+0.11,0.11,+10.4,False,0.117,0.088,+0.029,0.029,+33.0,False
loop,1.00m,4.19,3.51,+0.68,0.68,+19.4,False,0.265,0.225,+0.040,0.040,+17.8,False
slippage,1.00m,1.22,0.93,+0.29,0.29,+31.2,False,0.111,0.089,+0.022,0.022,+24.7,False
nav_a_diff,1.50m,1.36,1.16,+0.20,0.20,+17.2,False,0.136,0.116,+0.020,0.020,+17.2,False
nav_a_omni,1.50m,1.10,1.05,+0.05,0.05,+4.8,False,0.099,0.078,+0.021,0.021,+26.9,False
loop,1.50m,4.03,3.44,+0.59,0.59,+17.2,False,0.251,0.221,+0.030,0.030,+13.6,False
slippage,1.50m,0.80,1.10,-0.30,0.30,-27.3,False,0.050,0.112,-0.062,0.062,-55.4,False
nav_a_diff,2.00m,1.38,1.20,+0.18,0.18,+15.0,False,0.133,0.104,+0.029,0.029,+27.9,False
nav_a_omni,2.00m,1.16,0.97,+0.19,0.19,+19.6,False,0.108,0.093,+0.015,0.015,+16.1,False
loop,2.00m,3.23,3.55,-0.32,0.32,-9.0,False,0.202,0.219,-0.017,0.017,-7.8,False
slippage,2.00m,0.96,0.58,+0.38,0.38,+65.5,False,0.077,0.071,+0.006,0.006,+8.5,False
nav_a_diff,2.50m,1.33,1.25,+0.08,0.08,+6.4,False,0.122,0.105,+0.017,0.017,+16.2,False
nav_a_omni,2.50m,1.20,0.99,+0.21,0.21,+21.2,False,0.106,0.079,+0.027,0.027,+34.2,False
loop,2.50m,3.79,3.58,+0.21,0.21,+5.9,False,0.213,0.220,-0.007,0.007,-3.2,False
slippage,2.50m,0.81,0.83,-0.02,0.02,-2.4,True,0.065,0.088,-0.023,0.023,-26.1,False
nav_a_diff,3.00m,1.23,1.37,-0.14,0.14,-10.2,False,0.117,0.126,-0.009,0.009,-7.1,False
nav_a_omni,3.00m,1.46,1.33,+0.13,0.13,+9.8,False,0.118,0.124,-0.006,0.006,-4.8,False
loop,3.00m,2.71,4.04,-1.33,1.33,-32.9,False,0.187,0.220,-0.033,0.033,-15.0,False
slippage,3.00m,0.89,0.86,+0.03,0.03,+3.5,True,0.081,0.085,-0.004,0.004,-4.7,True
nav_a_diff,40%,1.21,1.09,+0.12,0.12,+11.0,False,0.121,0.101,+0.020,0.020,+19.8,False
nav_a_omni,40%,1.33,1.08,+0.25,0.25,+23.1,False,0.132,0.108,+0.024,0.024,+22.2,False
loop,40%,2.13,2.81,-0.68,0.68,-24.2,False,0.169,0.177,-0.008,0.008,-4.5,False
slippage,40%,1.34,0.66,+0.68,0.68,+103.0,False,0.131,0.065,+0.066,0.066,+101.5,False
nav_a_diff,50%,1.28,1.11,+0.17,0.17,+15.3,False,0.119,0.108,+0.011,0.011,+10.2,False
nav_a_omni,50%,1.33,0.88,+0.45,0.45,+51.1,False,0.122,0.086,+0.036,0.036,+41.9,False
loop,50%,2.60,3.19,-0.59,0.59,-18.5,False,0.143,0.183,-0.040,0.040,-21.9,False
slippage,50%,1.03,0.74,+0.29,0.29,+39.2,False,0.116,0.086,+0.030,0.030,+34.9,False
nav_a_diff,60%,1.31,1.12,+0.19,0.19,+17.0,False,0.121,0.112,+0.009,0.009,+8.0,False
nav_a_omni,60%,1.11,0.92,+0.19,0.19,+20.7,False,0.089,0.098,-0.009,0.009,-9.2,False
loop,60%,3.35,3.25,+0.10,0.10,+3.1,False,0.204,0.211,-0.007,0.007,-3.3,False
slippage,60%,1.27,0.63,+0.64,0.64,+101.6,False,0.132,0.084,+0.048,0.048,+57.1,False
nav_a_diff,70%,1.36,1.30,+0.06,0.06,+4.6,False,0.136,0.117,+0.019,0.019,+16.2,False
nav_a_omni,70%,1.15,1.01,+0.14,0.14,+13.9,False,0.105,0.084,+0.021,0.021,+25.0,False
loop,70%,4.19,3.35,+0.84,0.84,+25.1,False,0.234,0.207,+0.027,0.027,+13.0,False
slippage,70%,0.75,0.98,-0.23,0.23,-23.5,False,0.070,0.110,-0.040,0.040,-36.4,False
nav_a_diff,80%,1.36,1.43,-0.07,0.07,-4.9,False,0.153,0.117,+0.036,0.036,+30.8,False
nav_a_omni,80%,1.42,1.13,+0.29,0.29,+25.7,False,0.096,0.077,+0.019,0.019,+24.7,False
loop,80%,4.50,3.29,+1.21,1.21,+36.8,False,0.246,0.212,+0.034,0.034,+16.0,False
slippage,80%,5.52,1.10,+4.42,4.42,+401.8,False,0.133,0.137,-0.004,0.004,-2.9,True
nav_a_diff,90%,13.15,2.09,+11.06,11.06,+529.2,False,0.659,0.146,+0.513,0.513,+351.4,False
nav_a_omni,90%,12.81,1.77,+11.04,11.04,+623.7,False,0.445,0.093,+0.352,0.352,+378.5,False
loop,90%,9.10,4.42,+4.68,4.68,+105.9,False,0.292,0.187,+0.105,0.105,+56.1,False
slippage,90%,16.29,2.40,+13.89,13.89,+578.8,False,0.504,0.182,+0.322,0.322,+176.9,False
