scenario,param,rte_dmap_p2pl,rte_dmap_p2p,signed_diff_rte_(A-B),abs_diff_rte,rel_diff_rte_%_(A-B),within_thresh_rte,rre_dmap_p2pl,rre_dmap_p2p,signed_diff_rre_(A-B),abs_diff_rre,rel_diff_rre_%_(A-B),within_thresh_rre
nav_a_diff,0.50m,1.33,1.53,-0.20,0.20,-13.1,False,0.129,0.107,+0.022,0.022,+20.6,False
nav_a_omni,0.50m,1.09,1.29,-0.20,0.20,-15.5,False,0.102,0.066,+0.036,0.036,+54.5,False
loop,0.50m,4.48,2.62,+1.86,1.86,+71.0,False,0.281,0.150,+0.131,0.131,+87.3,False
slippage,0.50m,0.90,1.58,-0.68,0.68,-43.0,False,0.081,0.154,-0.073,0.073,-47.4,False
nav_a_diff,1.00m,1.21,1.24,-0.03,0.03,-2.4,True,0.120,0.109,+0.011,0.011,+10.1,False
nav_a_omni,1.00m,1.09,0.98,+0.11,0.11,+11.2,False,0.108,0.063,+0.045,0.045,+71.4,False
loop,1.00m,4.18,3.14,+1.04,1.04,+33.1,False,0.254,0.160,+0.094,0.094,+58.8,False
slippage,1.00m,1.19,1.07,+0.12,0.12,+11.2,False,0.136,0.129,+0.007,0.007,+5.4,False
nav_a_diff,1.50m,1.23,1.10,+0.13,0.13,+11.8,False,0.114,0.101,+0.013,0.013,+12.9,False
nav_a_omni,1.50m,1.18,0.92,+0.26,0.26,+28.3,False,0.110,0.076,+0.034,0.034,+44.7,False
loop,1.50m,3.80,3.03,+0.77,0.77,+25.4,False,0.227,0.161,+0.066,0.066,+41.0,False
slippage,1.50m,0.77,1.07,-0.30,0.30,-28.0,False,0.051,0.102,-0.051,0.051,-50.0,False
nav_a_diff,2.00m,1.15,1.07,+0.08,0.08,+7.5,False,0.105,0.087,+0.018,0.018,+20.7,False
nav_a_omni,2.00m,1.07,0.88,+0.19,0.19,+21.6,False,0.105,0.085,+0.020,0.020,+23.5,False
loop,2.00m,3.20,2.58,+0.62,0.62,+24.0,False,0.188,0.150,+0.038,0.038,+25.3,False
slippage,2.00m,0.76,0.87,-0.11,0.11,-12.6,False,0.042,0.114,-0.072,0.072,-63.2,False
nav_a_diff,2.50m,1.18,1.10,+0.08,0.08,+7.3,False,0.103,0.091,+0.012,0.012,+13.2,False
nav_a_omni,2.50m,1.05,0.91,+0.14,0.14,+15.4,False,0.088,0.080,+0.008,0.008,+10.0,False
loop,2.50m,3.48,3.19,+0.29,0.29,+9.1,False,0.188,0.165,+0.023,0.023,+13.9,False
slippage,2.50m,0.70,0.80,-0.10,0.10,-12.5,False,0.045,0.081,-0.036,0.036,-44.4,False
nav_a_diff,3.00m,1.26,1.23,+0.03,0.03,+2.4,True,0.121,0.108,+0.013,0.013,+12.0,False
nav_a_omni,3.00m,0.90,1.27,-0.37,0.37,-29.1,False,0.084,0.113,-0.029,0.029,-25.7,False
loop,3.00m,2.45,2.72,-0.27,0.27,-9.9,False,0.161,0.145,+0.016,0.016,+11.0,False
slippage,3.00m,1.02,0.79,+0.23,0.23,+29.1,False,0.116,0.079,+0.037,0.037,+46.8,False
nav_a_diff,40%,0.98,1.01,-0.03,0.03,-3.0,True,0.086,0.085,+0.001,0.001,+1.2,True
nav_a_omni,40%,0.87,1.04,-0.17,0.17,-16.3,False,0.089,0.088,+0.001,0.001,+1.1,True
