scenario,param,rte_dmap_p2pl,rte_dmap_p2p,signed_diff_rte_(A-B),abs_diff_rte,rel_diff_rte_%_(A-B),within_thresh_rte,rre_dmap_p2pl,rre_dmap_p2p,signed_diff_rre_(A-B),abs_diff_rre,rel_diff_rre_%_(A-B),within_thresh_rre
nav_a_diff,0.50m,1.34,1.62,-0.28,0.28,-17.3,False,0.128,0.109,+0.019,0.019,+17.4,False
nav_a_omni,0.50m,1.07,1.38,-0.31,0.31,-22.5,False,0.097,0.080,+0.017,0.017,+21.3,False
loop,0.50m,4.43,2.87,+1.56,1.56,+54.4,False,0.279,0.140,+0.139,0.139,+99.3,False
slippage,0.50m,0.90,1.47,-0.57,0.57,-38.8,False,0.084,0.088,-0.004,0.004,-4.5,True
nav_a_diff,1.00m,1.30,1.12,+0.18,0.18,+16.1,False,0.120,0.096,+0.024,0.024,+25.0,False
nav_a_omni,1.00m,1.11,1.01,+0.10,0.10,+9.9,False,0.109,0.077,+0.032,0.032,+41.6,False
loop,1.00m,3.93,3.09,+0.84,0.84,+27.2,False,0.246,0.160,+0.086,0.086,+53.8,False
slippage,1.00m,0.92,0.89,+0.03,0.03,+3.4,True,0.097,0.088,+0.009,0.009,+10.2,False
nav_a_diff,1.50m,1.24,1.11,+0.13,0.13,+11.7,False,0.121,0.098,+0.023,0.023,+23.5,False
nav_a_omni,1.50m,1.12,0.98,+0.14,0.14,+14.3,False,0.102,0.080,+0.022,0.022,+27.5,False
loop,1.50m,3.83,2.81,+1.02,1.02,+36.3,False,0.227,0.154,+0.073,0.073,+47.4,False
slippage,1.50m,0.78,1.04,-0.26,0.26,-25.0,False,0.051,0.142,-0.091,0.091,-64.1,False
nav_a_diff,2.00m,1.13,1.06,+0.07,0.07,+6.6,False,0.103,0.091,+0.012,0.012,+13.2,False
nav_a_omni,2.00m,1.05,0.92,+0.13,0.13,+14.1,False,0.103,0.079,+0.024,0.024,+30.4,False
loop,2.00m,3.21,2.82,+0.39,0.39,+13.8,False,0.188,0.155,+0.033,0.033,+21.3,False
slippage,2.00m,1.00,0.55,+0.45,0.45,+81.8,False,0.053,0.056,-0.003,0.003,-5.4,True
nav_a_diff,2.50m,1.13,1.12,+0.01,0.01,+0.9,True,0.106,0.091,+0.015,0.015,+16.5,False
nav_a_omni,2.50m,0.98,0.91,+0.07,0.07,+7.7,False,0.093,0.080,+0.013,0.013,+16.2,False
loop,2.50m,3.50,3.07,+0.43,0.43,+14.0,False,0.189,0.166,+0.023,0.023,+13.9,False
slippage,2.50m,0.81,0.85,-0.04,0.04,-4.7,True,0.060,0.086,-0.026,0.026,-30.2,False
nav_a_diff,3.00m,1.22,1.09,+0.13,0.13,+11.9,False,0.123,0.091,+0.032,0.032,+35.2,False
nav_a_omni,3.00m,1.24,1.36,-0.12,0.12,-8.8,False,0.118,0.123,-0.005,0.005,-4.1,False
loop,3.00m,2.26,3.03,-0.77,0.77,-25.4,False,0.156,0.156,+0.000,0.000,+0.0,True
slippage,3.00m,0.97,0.88,+0.09,0.09,+10.2,False,0.112,0.069,+0.043,0.043,+62.3,False
nav_a_diff,40%,1.03,1.01,+0.02,0.02,+2.0,True,0.087,0.090,-0.003,0.003,-3.3,True
nav_a_omni,40%,1.00,0.89,+0.11,0.11,+12.4,False,0.085,0.087,-0.002,0.002,-2.3,True
loop,40%,2.09,2.14,-0.05,0.05,-2.3,False,0.124,0.134,-0.010,0.010,-7.5,False
slippage,40%,0.92,0.66,+0.26,0.26,+39.4,False,0.098,0.076,+0.022,0.022,+28.9,False
nav_a_diff,50%,1.02,0.95,+0.07,0.07,+7.4,False,0.090,0.078,+0.012,0.012,+15.4,False
nav_a_omni,50%,0.92,0.81,+0.11,0.11,+13.6,False,0.087,0.065,+0.022,0.022,+33.8,False
loop,50%,3.18,2.33,+0.85,0.85,+36.5,False,0.148,0.123,+0.025,0.025,+20.3,False
slippage,50%,1.06,0.64,+0.42,0.42,+65.6,False,0.133,0.070,+0.063,0.063,+90.0,False
nav_a_diff,60%,1.24,1.10,+0.14,0.14,+12.7,False,0.108,0.089,+0.019,0.019,+21.3,False
nav_a_omni,60%,1.11,0.89,+0.22,0.22,+24.7,False,0.104,0.080,+0.024,0.024,+30.0,False
loop,60%,3.24,2.80,+0.44,0.44,+15.7,False,0.168,0.143,+0.025,0.025,+17.5,False
slippage,60%,0.98,0.85,+0.13,0.13,+15.3,False,0.050,0.087,-0.037,0.037,-42.5,False
nav_a_diff,70%,1.37,1.15,+0.22,0.22,+19.1,False,0.129,0.094,+0.035,0.035,+37.2,False
nav_a_omni,70%,1.11,0.97,+0.14,0.14,+14.4,False,0.106,0.063,+0.043,0.043,+68.3,False
loop,70%,3.87,3.01,+0.86,0.86,+28.6,False,0.225,0.155,+0.070,0.070,+45.2,False
slippage,70%,1.16,0.81,+0.35,0.35,+43.2,False,0.062,0.080,-0.018,0.018,-22.5,False
nav_a_diff,80%,2.60,1.37,+1.23,1.23,+89.8,False,0.174,0.112,+0.062,0.062,+55.4,False
nav_a_omni,80%,2.62,1.15,+1.47,1.47,+127.8,False,0.216,0.075,+0.141,0.141,+188.0,False
loop,80%,7.61,3.18,+4.43,4.43,+139.3,False,0.250,0.160,+0.090,0.090,+56.2,False
slippage,80%,7.99,0.89,+7.10,7.10,+797.8,False,0.240,0.083,+0.157,0.157,+189.2,False
nav_a_diff,90%,14.02,1.92,+12.10,12.10,+630.2,False,0.630,0.131,+0.499,0.499,+380.9,False
nav_a_omni,90%,12.10,1.61,+10.49,10.49,+651.6,False,0.577,0.067,+0.510,0.510,+761.2,False
loop,90%,11.33,3.99,+7.34,7.34,+184.0,False,0.611,0.133,+0.478,0.478,+359.4,False
slippage,90%,16.03,2.05,+13.98,13.98,+682.0,False,0.472,0.144,+0.328,0.328,+227.8,False
