scenario,param,rte_dmap_p2pl,rte_dmap_p2p,signed_diff_rte_(A-B),abs_diff_rte,rel_diff_rte_%_(A-B),within_thresh_rte,rre_dmap_p2pl,rre_dmap_p2p,signed_diff_rre_(A-B),abs_diff_rre,rel_diff_rre_%_(A-B),within_thresh_rre
nav_a_diff,0.50m,1.33,3.01,-1.68,1.68,-55.8,False,0.129,0.188,-0.059,0.059,-31.4,False
nav_a_omni,0.50m,1.09,2.62,-1.53,1.53,-58.4,False,0.102,0.148,-0.046,0.046,-31.1,False
loop,0.50m,4.48,6.03,-1.55,1.55,-25.7,False,0.281,0.325,-0.044,0.044,-13.5,False
slippage,0.50m,0.90,1.05,-0.15,0.15,-14.3,False,0.081,0.070,+0.011,0.011,+15.7,False
nav_a_diff,1.00m,1.21,2.04,-0.83,0.83,-40.7,False,0.120,0.161,-0.041,0.041,-25.5,False
nav_a_omni,1.00m,1.09,1.94,-0.85,0.85,-43.8,False,0.108,0.102,+0.006,0.006,+5.9,False
loop,1.00m,4.18,4.48,-0.30,0.30,-6.7,False,0.254,0.235,+0.019,0.019,+8.1,False
slippage,1.00m,1.19,0.58,+0.61,0.61,+105.2,False,0.136,0.065,+0.071,0.071,+109.2,False
nav_a_diff,1.50m,1.23,1.78,-0.55,0.55,-30.9,False,0.114,0.144,-0.030,0.030,-20.8,False
nav_a_omni,1.50m,1.18,1.59,-0.41,0.41,-25.8,False,0.110,0.090,+0.020,0.020,+22.2,False
loop,1.50m,3.80,2.92,+0.88,0.88,+30.1,False,0.227,0.179,+0.048,0.048,+26.8,False
slippage,1.50m,0.77,0.54,+0.23,0.23,+42.6,False,0.051,0.050,+0.001,0.001,+2.0,True
nav_a_diff,2.00m,1.15,1.50,-0.35,0.35,-23.3,False,0.105,0.130,-0.025,0.025,-19.2,False
nav_a_omni,2.00m,1.07,1.42,-0.35,0.35,-24.6,False,0.105,0.090,+0.015,0.015,+16.7,False
loop,2.00m,3.20,3.20,+0.00,0.00,+0.0,True,0.188,0.199,-0.011,0.011,-5.5,False
slippage,2.00m,0.76,0.52,+0.24,0.24,+46.2,False,0.042,0.038,+0.004,0.004,+10.5,True
nav_a_diff,2.50m,1.18,1.30,-0.12,0.12,-9.2,False,0.103,0.111,-0.008,0.008,-7.2,False
nav_a_omni,2.50m,1.05,1.28,-0.23,0.23,-18.0,False,0.088,0.093,-0.005,0.005,-5.4,False
loop,2.50m,3.48,3.60,-0.12,0.12,-3.3,False,0.188,0.197,-0.009,0.009,-4.6,False
slippage,2.50m,0.70,0.53,+0.17,0.17,+32.1,False,0.045,0.036,+0.009,0.009,+25.0,False
nav_a_diff,3.00m,1.26,1.55,-0.29,0.29,-18.7,False,0.121,0.126,-0.005,0.005,-4.0,False
nav_a_omni,3.00m,0.90,1.41,-0.51,0.51,-36.2,False,0.084,0.119,-0.035,0.035,-29.4,False
loop,3.00m,2.45,4.60,-2.15,2.15,-46.7,False,0.161,0.226,-0.065,0.065,-28.8,False
slippage,3.00m,1.02,0.54,+0.48,0.48,+88.9,False,0.116,0.057,+0.059,0.059,+103.5,False
nav_a_diff,40%,0.98,1.17,-0.19,0.19,-16.2,False,0.086,0.114,-0.028,0.028,-24.6,False
nav_a_omni,40%,0.87,1.16,-0.29,0.29,-25.0,False,0.089,0.088,+0.001,0.001,+1.1,True
loop,40%,1.91,2.58,-0.67,0.67,-26.0,False,0.121,0.154,-0.033,0.033,-21.4,False
slippage,40%,0.67,0.54,+0.13,0.13,+24.1,False,0.065,0.053,+0.012,0.012,+22.6,False
