scenario,param,rte_dmap_p2pl,rte_dmap_p2p,signed_diff_rte_(A-B),abs_diff_rte,rel_diff_rte_%_(A-B),within_thresh_rte,rre_dmap_p2pl,rre_dmap_p2p,signed_diff_rre_(A-B),abs_diff_rre,rel_diff_rre_%_(A-B),within_thresh_rre
nav_a_diff,50%,1.17,1.38,-0.21,0.21,-15.2,False,0.111,0.110,+0.001,0.001,+0.9,True
nav_a_omni,50%,0.94,1.34,-0.40,0.40,-29.9,False,0.085,0.092,-0.007,0.007,-7.6,False
loop,50%,2.90,2.99,-0.09,0.09,-3.0,False,0.140,0.141,-0.001,0.001,-0.7,True
slippage,50%,0.83,0.57,+0.26,0.26,+45.6,False,0.059,0.051,+0.008,0.008,+15.7,False
nav_a_diff,60%,1.26,1.60,-0.34,0.34,-21.3,False,0.118,0.127,-0.009,0.009,-7.1,False
nav_a_omni,60%,1.10,1.51,-0.41,0.41,-27.2,False,0.096,0.093,+0.003,0.003,+3.2,True
loop,60%,3.10,3.19,-0.09,0.09,-2.8,False,0.152,0.170,-0.018,0.018,-10.6,False
slippage,60%,0.89,0.58,+0.31,0.31,+53.4,False,0.068,0.039,+0.029,0.029,+74.4,False
nav_a_diff,70%,1.36,1.86,-0.50,0.50,-26.9,False,0.125,0.141,-0.016,0.016,-11.3,False
nav_a_omni,70%,1.07,1.65,-0.58,0.58,-35.2,False,0.095,0.091,+0.004,0.004,+4.4,True
loop,70%,3.86,4.43,-0.57,0.57,-12.9,False,0.223,0.217,+0.006,0.006,+2.8,False
slippage,70%,1.19,0.60,+0.59,0.59,+98.3,False,0.072,0.052,+0.020,0.020,+38.5,False
nav_a_diff,80%,2.09,2.45,-0.36,0.36,-14.7,False,0.155,0.163,-0.008,0.008,-4.9,False
nav_a_omni,80%,2.54,2.19,+0.35,0.35,+16.0,False,0.209,0.117,+0.092,0.092,+78.6,False
loop,80%,7.03,5.46,+1.57,1.57,+28.8,False,0.237,0.266,-0.029,0.029,-10.9,False
slippage,80%,7.73,0.93,+6.80,6.80,+731.2,False,0.252,0.076,+0.176,0.176,+231.6,False
nav_a_diff,90%,14.08,5.38,+8.70,8.70,+161.7,False,0.628,0.311,+0.317,0.317,+101.9,False
nav_a_omni,90%,12.10,4.02,+8.08,8.08,+201.0,False,0.578,0.186,+0.392,0.392,+210.8,False
loop,90%,11.22,9.76,+1.46,1.46,+15.0,False,0.622,0.410,+0.212,0.212,+51.7,False
slippage,90%,16.12,2.47,+13.65,13.65,+552.6,False,0.461,0.070,+0.391,0.391,+558.6,False
