scenario,param,rte_dmap_p2pl,rte_icp_p2pl,signed_diff_rte_(A-B),abs_diff_rte,rel_diff_rte_%_(A-B),within_thresh_rte,rre_dmap_p2pl,rre_icp_p2pl,signed_diff_rre_(A-B),abs_diff_rre,rel_diff_rre_%_(A-B),within_thresh_rre
nav_a_diff,0.50m,1.33,1.63,-0.30,0.30,-18.4,False,0.129,0.153,-0.024,0.024,-15.7,False
nav_a_omni,0.50m,1.09,1.34,-0.25,0.25,-18.7,False,0.102,0.101,+0.001,0.001,+1.0,True
loop,0.50m,4.48,4.20,+0.28,0.28,+6.7,False,0.281,0.285,-0.004,0.004,-1.4,True
slippage,0.50m,0.90,1.13,-0.23,0.23,-20.4,False,0.081,0.120,-0.039,0.039,-32.5,False
nav_a_diff,1.00m,1.21,1.38,-0.17,0.17,-12.3,False,0.120,0.115,+0.005,0.005,+4.3,True
nav_a_omni,1.00m,1.09,1.18,-0.09,0.09,-7.6,False,0.108,0.106,+0.002,0.002,+1.9,True
loop,1.00m,4.18,3.81,+0.37,0.37,+9.7,False,0.254,0.236,+0.018,0.018,+7.6,False
slippage,1.00m,1.19,0.74,+0.45,0.45,+60.8,False,0.136,0.093,+0.043,0.043,+46.2,False
nav_a_diff,1.50m,1.23,1.32,-0.09,0.09,-6.8,False,0.114,0.127,-0.013,0.013,-10.2,False
nav_a_omni,1.50m,1.18,1.04,+0.14,0.14,+13.5,False,0.110,0.081,+0.029,0.029,+35.8,False
loop,1.50m,3.80,2.88,+0.92,0.92,+31.9,False,0.227,0.209,+0.018,0.018,+8.6,False
slippage,1.50m,0.77,0.79,-0.02,0.02,-2.5,True,0.051,0.115,-0.064,0.064,-55.7,False
nav_a_diff,2.00m,1.15,1.10,+0.05,0.05,+4.5,True,0.105,0.114,-0.009,0.009,-7.9,False
nav_a_omni,2.00m,1.07,0.88,+0.19,0.19,+21.6,False,0.105,0.071,+0.034,0.034,+47.9,False
loop,2.00m,3.20,2.74,+0.46,0.46,+16.8,False,0.188,0.161,+0.027,0.027,+16.8,False
slippage,2.00m,0.76,0.69,+0.07,0.07,+10.1,False,0.042,0.095,-0.053,0.053,-55.8,False
nav_a_diff,2.50m,1.18,1.04,+0.14,0.14,+13.5,False,0.103,0.090,+0.013,0.013,+14.4,False
nav_a_omni,2.50m,1.05,1.02,+0.03,0.03,+2.9,True,0.088,0.083,+0.005,0.005,+6.0,True
loop,2.50m,3.48,2.91,+0.57,0.57,+19.6,False,0.188,0.184,+0.004,0.004,+2.2,True
slippage,2.50m,0.70,0.76,-0.06,0.06,-7.9,False,0.045,0.099,-0.054,0.054,-54.5,False
nav_a_diff,3.00m,1.26,1.51,-0.25,0.25,-16.6,False,0.121,0.115,+0.006,0.006,+5.2,False
nav_a_omni,3.00m,0.90,1.24,-0.34,0.34,-27.4,False,0.084,0.108,-0.024,0.024,-22.2,False
loop,3.00m,2.45,3.55,-1.10,1.10,-31.0,False,0.161,0.154,+0.007,0.007,+4.5,False
slippage,3.00m,1.02,0.71,+0.31,0.31,+43.7,False,0.116,0.075,+0.041,0.041,+54.7,False
nav_a_diff,40%,0.98,1.14,-0.16,0.16,-14.0,False,0.086,0.091,-0.005,0.005,-5.5,False
nav_a_omni,40%,0.87,0.93,-0.06,0.06,-6.5,False,0.089,0.097,-0.008,0.008,-8.2,False
loop,40%,1.91,1.74,+0.17,0.17,+9.8,False,0.121,0.123,-0.002,0.002,-1.6,True
slippage,40%,0.67,0.79,-0.12,0.12,-15.2,False,0.065,0.078,-0.013,0.013,-16.7,False
nav_a_diff,50%,1.17,1.06,+0.11,0.11,+10.4,False,0.111,0.102,+0.009,0.009,+8.8,False
nav_a_omni,50%,0.94,0.84,+0.10,0.10,+11.9,False,0.085,0.091,-0.006,0.006,-6.6,False
loop,50%,2.90,2.13,+0.77,0.77,+36.2,False,0.140,0.137,+0.003,0.003,+2.2,True
slippage,50%,0.83,0.65,+0.18,0.18,+27.7,False,0.059,0.083,-0.024,0.024,-28.9,False
nav_a_diff,60%,1.26,1.05,+0.21,0.21,+20.0,False,0.118,0.111,+0.007,0.007,+6.3,False
nav_a_omni,60%,1.10,0.84,+0.26,0.26,+31.0,False,0.096,0.081,+0.015,0.015,+18.5,False
loop,60%,3.10,2.72,+0.38,0.38,+14.0,False,0.152,0.151,+0.001,0.001,+0.7,True
slippage,60%,0.89,0.76,+0.13,0.13,+17.1,False,0.068,0.115,-0.047,0.047,-40.9,False
nav_a_diff,70%,1.36,1.19,+0.17,0.17,+14.3,False,0.125,0.121,+0.004,0.004,+3.3,True
nav_a_omni,70%,1.07,0.83,+0.24,0.24,+28.9,False,0.095,0.080,+0.015,0.015,+18.8,False
loop,70%,3.86,3.82,+0.04,0.04,+1.0,True,0.223,0.213,+0.010,0.010,+4.7,False
slippage,70%,1.19,0.67,+0.52,0.52,+77.6,False,0.072,0.076,-0.004,0.004,-5.3,True
nav_a_diff,80%,2.09,3.03,-0.94,0.94,-31.0,False,0.155,0.158,-0.003,0.003,-1.9,True
nav_a_omni,80%,2.54,4.98,-2.44,2.44,-49.0,False,0.209,0.230,-0.021,0.021,-9.1,False
loop,80%,7.03,7.04,-0.01,0.01,-0.1,True,0.237,0.259,-0.022,0.022,-8.5,False
slippage,80%,7.73,5.04,+2.69,2.69,+53.4,False,0.252,0.079,+0.173,0.173,+219.0,False
nav_a_diff,90%,14.08,7.96,+6.12,6.12,+76.9,False,0.628,0.219,+0.409,0.409,+186.8,False
nav_a_omni,90%,12.10,9.48,+2.62,2.62,+27.6,False,0.578,0.211,+0.367,0.367,+173.9,False
loop,90%,11.22,8.28,+2.94,2.94,+35.5,False,0.622,0.135,+0.487,0.487,+360.7,False
slippage,90%,16.12,6.94,+9.18,9.18,+132.3,False,0.461,0.241,+0.220,0.220,+91.3,False
