scenario,param,rte_dmap_p2pl,rte_dmap_p2pl,signed_diff_rte_(A-B),abs_diff_rte,rel_diff_rte_%_(A-B),within_thresh_rte,rre_dmap_p2pl,rre_dmap_p2pl,signed_diff_rre_(A-B),abs_diff_rre,rel_diff_rre_%_(A-B),within_thresh_rre
loop,50%,2.43,2.43,+0.17,0.17,+7.0,False,0.143,0.143,+0.000,0.000,+0.0,True
slippage,50%,1.01,1.01,+0.02,0.02,+2.0,True,0.107,0.107,+0.009,0.009,+8.4,False
nav_a_diff,60%,1.03,1.03,+0.28,0.28,+27.2,False,0.114,0.114,+0.007,0.007,+6.1,False
nav_a_omni,60%,1.03,1.03,+0.08,0.08,+7.8,False,0.089,0.089,+0.000,0.000,+0.0,True
loop,60%,3.01,3.01,+0.34,0.34,+11.3,False,0.190,0.190,+0.014,0.014,+7.4,False
slippage,60%,0.91,0.91,+0.36,0.36,+39.6,False,0.118,0.118,+0.014,0.014,+11.9,False
nav_a_diff,70%,1.18,1.18,+0.18,0.18,+15.3,False,0.113,0.113,+0.023,0.023,+20.4,False
nav_a_omni,70%,1.00,1.00,+0.15,0.15,+15.0,False,0.093,0.093,+0.012,0.012,+12.9,False
loop,70%,3.32,3.32,+0.87,0.87,+26.2,False,0.208,0.208,+0.026,0.026,+12.5,False
slippage,70%,0.71,0.71,+0.04,0.04,+5.6,True,0.078,0.078,-0.008,0.008,-10.3,False
nav_a_diff,80%,1.87,1.87,-0.51,0.51,-27.3,False,0.151,0.151,+0.002,0.002,+1.3,True
nav_a_omni,80%,2.30,2.30,-0.88,0.88,-38.3,False,0.119,0.119,-0.023,0.023,-19.3,False
loop,80%,5.04,5.04,-0.54,0.54,-10.7,False,0.231,0.231,+0.015,0.015,+6.5,False
slippage,80%,4.02,4.02,+1.50,1.50,+37.3,False,0.078,0.078,+0.055,0.055,+70.5,False
nav_a_diff,90%,8.45,8.45,+4.70,4.70,+55.6,False,0.233,0.233,+0.426,0.426,+182.8,False
nav_a_omni,90%,9.23,9.23,+3.58,3.58,+38.8,False,0.230,0.230,+0.215,0.215,+93.5,False
loop,90%,8.32,8.32,+0.78,0.78,+9.4,False,0.138,0.138,+0.154,0.154,+111.6,False
slippage,90%,7.12,7.12,+9.17,9.17,+128.8,False,0.167,0.167,+0.337,0.337,+201.8,False
