scenario,param,rte_dmap_p2pl,rte_dmap_p2pl,signed_diff_rte_(A-B),abs_diff_rte,rel_diff_rte_%_(A-B),within_thresh_rte,rre_dmap_p2pl,rre_dmap_p2pl,signed_diff_rre_(A-B),abs_diff_rre,rel_diff_rre_%_(A-B),within_thresh_rre
nav_a_diff,0.50m,1.55,1.55,-0.18,0.18,-11.6,False,0.143,0.143,-0.004,0.004,-2.8,True
nav_a_omni,0.50m,1.37,1.37,-0.19,0.19,-13.9,False,0.105,0.105,-0.006,0.006,-5.7,False
loop,0.50m,4.79,4.79,-0.29,0.29,-6.1,False,0.310,0.310,-0.024,0.024,-7.7,False
slippage,0.50m,1.45,1.45,-0.56,0.56,-38.6,False,0.132,0.132,-0.054,0.054,-40.9,False
nav_a_diff,1.00m,1.45,1.45,-0.10,0.10,-6.9,False,0.119,0.119,+0.017,0.017,+14.3,False
nav_a_omni,1.00m,1.27,1.27,-0.10,0.10,-7.9,False,0.097,0.097,+0.020,0.020,+20.6,False
loop,1.00m,3.06,3.06,+1.13,1.13,+36.9,False,0.236,0.236,+0.029,0.029,+12.3,False
slippage,1.00m,1.09,1.09,+0.13,0.13,+11.9,False,0.100,0.100,+0.011,0.011,+11.0,False
nav_a_diff,1.50m,1.37,1.37,-0.01,0.01,-0.7,True,0.144,0.144,-0.008,0.008,-5.6,False
nav_a_omni,1.50m,1.21,1.21,-0.11,0.11,-9.1,False,0.103,0.103,-0.004,0.004,-3.9,True
loop,1.50m,3.48,3.48,+0.55,0.55,+15.8,False,0.244,0.244,+0.007,0.007,+2.9,False
slippage,1.50m,0.83,0.83,-0.03,0.03,-3.6,True,0.115,0.115,-0.065,0.065,-56.5,False
nav_a_diff,2.00m,1.20,1.20,+0.18,0.18,+15.0,False,0.129,0.129,+0.004,0.004,+3.1,True
nav_a_omni,2.00m,1.13,1.13,+0.03,0.03,+2.7,True,0.097,0.097,+0.011,0.011,+11.3,False
loop,2.00m,2.79,2.79,+0.44,0.44,+15.8,False,0.192,0.192,+0.010,0.010,+5.2,False
slippage,2.00m,0.81,0.81,+0.15,0.15,+18.5,False,0.095,0.095,-0.018,0.018,-18.9,False
nav_a_diff,2.50m,1.16,1.16,+0.17,0.17,+14.7,False,0.113,0.113,+0.009,0.009,+8.0,False
nav_a_omni,2.50m,0.97,0.97,+0.23,0.23,+23.7,False,0.117,0.117,-0.011,0.011,-9.4,False
loop,2.50m,3.27,3.27,+0.52,0.52,+15.9,False,0.206,0.206,+0.007,0.007,+3.4,False
slippage,2.50m,0.68,0.68,+0.13,0.13,+19.1,False,0.066,0.066,-0.001,0.001,-1.5,True
nav_a_diff,3.00m,1.72,1.72,-0.49,0.49,-28.5,False,0.126,0.126,-0.009,0.009,-7.1,False
nav_a_omni,3.00m,1.25,1.25,+0.21,0.21,+16.8,False,0.107,0.107,+0.011,0.011,+10.3,False
loop,3.00m,2.95,2.95,-0.24,0.24,-8.1,False,0.157,0.157,+0.030,0.030,+19.1,False
slippage,3.00m,0.73,0.73,+0.16,0.16,+21.9,False,0.086,0.086,-0.005,0.005,-5.8,True
nav_a_diff,40%,1.13,1.13,+0.08,0.08,+7.1,False,0.104,0.104,+0.017,0.017,+16.3,False
nav_a_omni,40%,1.16,1.16,+0.17,0.17,+14.7,False,0.125,0.125,+0.007,0.007,+5.6,False
loop,40%,1.81,1.81,+0.32,0.32,+17.7,False,0.155,0.155,+0.014,0.014,+9.0,False
slippage,40%,1.01,1.01,+0.33,0.33,+32.7,False,0.119,0.119,+0.012,0.012,+10.1,False
nav_a_diff,50%,1.09,1.09,+0.19,0.19,+17.4,False,0.104,0.104,+0.015,0.015,+14.4,False
nav_a_omni,50%,0.97,0.97,+0.36,0.36,+37.1,False,0.098,0.098,+0.024,0.024,+24.5,False
