scenario,param,rte_dmap_p2p,rte_dmap_p2pl,signed_diff_rte_(A-B),abs_diff_rte,rel_diff_rte_%_(A-B),within_thresh_rte,rre_dmap_p2p,rre_dmap_p2pl,signed_diff_rre_(A-B),abs_diff_rre,rel_diff_rre_%_(A-B),within_thresh_rre
nav_a_diff,0.50m,1.62,1.34,+0.28,0.28,+20.9,False,0.109,0.128,-0.019,0.019,-14.8,False
nav_a_omni,0.50m,1.38,1.07,+0.31,0.31,+29.0,False,0.080,0.097,-0.017,0.017,-17.5,False
loop,0.50m,2.87,4.43,-1.56,1.56,-35.2,False,0.140,0.279,-0.139,0.139,-49.8,False
slippage,0.50m,1.47,0.90,+0.57,0.57,+63.3,False,0.088,0.084,+0.004,0.004,+4.8,True
nav_a_diff,1.00m,1.12,1.30,-0.18,0.18,-13.8,False,0.096,0.120,-0.024,0.024,-20.0,False
nav_a_omni,1.00m,1.01,1.11,-0.10,0.10,-9.0,False,0.077,0.109,-0.032,0.032,-29.4,False
loop,1.00m,3.09,3.93,-0.84,0.84,-21.4,False,0.160,0.246,-0.086,0.086,-35.0,False
slippage,1.00m,0.89,0.92,-0.03,0.03,-3.3,True,0.088,0.097,-0.009,0.009,-9.3,False
nav_a_diff,1.50m,1.11,1.24,-0.13,0.13,-10.5,False,0.098,0.121,-0.023,0.023,-19.0,False
nav_a_omni,1.50m,0.98,1.12,-0.14,0.14,-12.5,False,0.080,0.102,-0.022,0.022,-21.6,False
loop,1.50m,2.81,3.83,-1.02,1.02,-26.6,False,0.154,0.227,-0.073,0.073,-32.2,False
slippage,1.50m,1.04,0.78,+0.26,0.26,+33.3,False,0.142,0.051,+0.091,0.091,+178.4,False
nav_a_diff,2.00m,1.06,1.13,-0.07,0.07,-6.2,False,0.091,0.103,-0.012,0.012,-11.7,False
nav_a_omni,2.00m,0.92,1.05,-0.13,0.13,-12.4,False,0.079,0.103,-0.024,0.024,-23.3,False
loop,2.00m,2.82,3.21,-0.39,0.39,-12.1,False,0.155,0.188,-0.033,0.033,-17.6,False
slippage,2.00m,0.55,1.00,-0.45,0.45,-45.0,False,0.056,0.053,+0.003,0.003,+5.7,True
nav_a_diff,2.50m,1.12,1.13,-0.01,0.01,-0.9,True,0.091,0.106,-0.015,0.015,-14.2,False
nav_a_omni,2.50m,0.91,0.98,-0.07,0.07,-7.1,False,0.080,0.093,-0.013,0.013,-14.0,False
loop,2.50m,3.07,3.50,-0.43,0.43,-12.3,False,0.166,0.189,-0.023,0.023,-12.2,False
slippage,2.50m,0.85,0.81,+0.04,0.04,+4.9,True,0.086,0.060,+0.026,0.026,+43.3,False
nav_a_diff,3.00m,1.09,1.22,-0.13,0.13,-10.7,False,0.091,0.123,-0.032,0.032,-26.0,False
nav_a_omni,3.00m,1.36,1.24,+0.12,0.12,+9.7,False,0.123,0.118,+0.005,0.005,+4.2,False
loop,3.00m,3.03,2.26,+0.77,0.77,+34.1,False,0.156,0.156,+0.000,0.000,+0.0,True
slippage,3.00m,0.88,0.97,-0.09,0.09,-9.3,False,0.069,0.112,-0.043,0.043,-38.4,False
nav_a_diff,40%,1.01,1.03,-0.02,0.02,-1.9,True,0.090,0.087,+0.003,0.003,+3.4,True
nav_a_omni,40%,0.89,1.00,-0.11,0.11,-11.0,False,0.087,0.085,+0.002,0.002,+2.4,True
loop,40%,2.14,2.09,+0.05,0.05,+2.4,False,0.134,0.124,+0.010,0.010,+8.1,False
slippage,40%,0.66,0.92,-0.26,0.26,-28.3,False,0.076,0.098,-0.022,0.022,-22.4,False
nav_a_diff,50%,0.95,1.02,-0.07,0.07,-6.9,False,0.078,0.090,-0.012,0.012,-13.3,False
nav_a_omni,50%,0.81,0.92,-0.11,0.11,-12.0,False,0.065,0.087,-0.022,0.022,-25.3,False
loop,50%,2.33,3.18,-0.85,0.85,-26.7,False,0.123,0.148,-0.025,0.025,-16.9,False
slippage,50%,0.64,1.06,-0.42,0.42,-39.6,False,0.070,0.133,-0.063,0.063,-47.4,False
nav_a_diff,60%,1.10,1.24,-0.14,0.14,-11.3,False,0.089,0.108,-0.019,0.019,-17.6,False
nav_a_omni,60%,0.89,1.11,-0.22,0.22,-19.8,False,0.080,0.104,-0.024,0.024,-23.1,False
loop,60%,2.80,3.24,-0.44,0.44,-13.6,False,0.143,0.168,-0.025,0.025,-14.9,False
slippage,60%,0.85,0.98,-0.13,0.13,-13.3,False,0.087,0.050,+0.037,0.037,+74.0,False
nav_a_diff,70%,1.15,1.37,-0.22,0.22,-16.1,False,0.094,0.129,-0.035,0.035,-27.1,False
