scenario,param,rte_dmap_p2p,rte_dmap_p2pl,signed_diff_rte_(A-B),abs_diff_rte,rel_diff_rte_%_(A-B),within_thresh_rte,rre_dmap_p2p,rre_dmap_p2pl,signed_diff_rre_(A-B),abs_diff_rre,rel_diff_rre_%_(A-B),within_thresh_rre
nav_a_omni,70%,0.97,1.11,-0.14,0.14,-12.6,False,0.063,0.106,-0.043,0.043,-40.6,False
loop,70%,3.01,3.87,-0.86,0.86,-22.2,False,0.155,0.225,-0.070,0.070,-31.1,False
slippage,70%,0.81,1.16,-0.35,0.35,-30.2,False,0.080,0.062,+0.018,0.018,+29.0,False
nav_a_diff,80%,1.37,2.60,-1.23,1.23,-47.3,False,0.112,0.174,-0.062,0.062,-35.6,False
nav_a_omni,80%,1.15,2.62,-1.47,1.47,-56.1,False,0.075,0.216,-0.141,0.141,-65.3,False
loop,80%,3.18,7.61,-4.43,4.43,-58.2,False,0.160,0.250,-0.090,0.090,-36.0,False
slippage,80%,0.89,7.99,-7.10,7.10,-88.9,False,0.083,0.240,-0.157,0.157,-65.4,False
nav_a_diff,90%,1.92,14.02,-12.10,12.10,-86.3,False,0.131,0.630,-0.499,0.499,-79.2,False
nav_a_omni,90%,1.61,12.10,-10.49,10.49,-86.7,False,0.067,0.577,-0.510,0.510,-88.4,False
loop,90%,3.99,11.33,-7.34,7.34,-64.8,False,0.133,0.611,-0.478,0.478,-78.2,False
slippage,90%,2.05,16.03,-13.98,13.98,-87.2,False,0.144,0.472,-0.328,0.328,-69.5,False
