scenario,param,rte_dmap_p2pl,rte_icp_p2pl,signed_diff_rte_(A-B),abs_diff_rte,rel_diff_rte_%_(A-B),within_thresh_rte,rre_dmap_p2pl,rre_icp_p2pl,signed_diff_rre_(A-B),abs_diff_rre,rel_diff_rre_%_(A-B),within_thresh_rre
nav_a_diff,50%,1.15,1.06,+0.09,0.09,+8.5,False,0.100,0.102,-0.002,0.002,-2.0,True
nav_a_omni,50%,0.94,0.84,+0.10,0.10,+11.9,False,0.089,0.091,-0.002,0.002,-2.2,True
loop,50%,2.27,2.13,+0.14,0.14,+6.6,False,0.146,0.137,+0.009,0.009,+6.6,False
slippage,50%,0.65,0.65,+0.00,0.00,+0.0,True,0.083,0.083,+0.000,0.000,+0.0,True
nav_a_diff,60%,1.10,1.05,+0.05,0.05,+4.8,False,0.104,0.111,-0.007,0.007,-6.3,False
nav_a_omni,60%,0.84,0.84,+0.00,0.00,+0.0,True,0.079,0.081,-0.002,0.002,-2.5,True
loop,60%,2.68,2.72,-0.04,0.04,-1.5,True,0.150,0.151,-0.001,0.001,-0.7,True
slippage,60%,0.76,0.76,+0.00,0.00,+0.0,True,0.118,0.115,+0.003,0.003,+2.6,True
nav_a_diff,70%,1.23,1.19,+0.04,0.04,+3.4,True,0.117,0.121,-0.004,0.004,-3.3,True
nav_a_omni,70%,0.84,0.83,+0.01,0.01,+1.2,True,0.079,0.080,-0.001,0.001,-1.3,True
loop,70%,3.66,3.82,-0.16,0.16,-4.2,False,0.216,0.213,+0.003,0.003,+1.4,True
slippage,70%,0.67,0.67,+0.00,0.00,+0.0,True,0.076,0.076,+0.000,0.000,+0.0,True
nav_a_diff,80%,3.04,3.03,+0.01,0.01,+0.3,True,0.158,0.158,+0.000,0.000,+0.0,True
nav_a_omni,80%,5.02,4.98,+0.04,0.04,+0.8,True,0.214,0.230,-0.016,0.016,-7.0,False
loop,80%,6.84,7.04,-0.20,0.20,-2.8,False,0.255,0.259,-0.004,0.004,-1.5,True
slippage,80%,5.08,5.04,+0.04,0.04,+0.8,True,0.079,0.079,+0.000,0.000,+0.0,True
nav_a_diff,90%,7.97,7.96,+0.01,0.01,+0.1,True,0.215,0.219,-0.004,0.004,-1.8,True
nav_a_omni,90%,9.50,9.48,+0.02,0.02,+0.2,True,0.211,0.211,+0.000,0.000,+0.0,True
loop,90%,8.29,8.28,+0.01,0.01,+0.1,True,0.137,0.135,+0.002,0.002,+1.5,True
slippage,90%,6.99,6.94,+0.05,0.05,+0.7,True,0.242,0.241,+0.001,0.001,+0.4,True
