scenario,param,rte_dmap_p2pl,rte_icp_p2pl,signed_diff_rte_(A-B),abs_diff_rte,rel_diff_rte_%_(A-B),within_thresh_rte,rre_dmap_p2pl,rre_icp_p2pl,signed_diff_rre_(A-B),abs_diff_rre,rel_diff_rre_%_(A-B),within_thresh_rre
nav_a_diff,0.50m,1.65,1.63,+0.02,0.02,+1.2,True,0.158,0.153,+0.005,0.005,+3.3,False
nav_a_omni,0.50m,1.35,1.34,+0.01,0.01,+0.7,True,0.103,0.101,+0.002,0.002,+2.0,True
loop,0.50m,4.19,4.20,-0.01,0.01,-0.2,True,0.285,0.285,+0.000,0.000,+0.0,True
slippage,0.50m,1.13,1.13,+0.00,0.00,+0.0,True,0.120,0.120,+0.000,0.000,+0.0,True
nav_a_diff,1.00m,1.33,1.38,-0.05,0.05,-3.6,True,0.114,0.115,-0.001,0.001,-0.9,True
nav_a_omni,1.00m,1.18,1.18,+0.00,0.00,+0.0,True,0.105,0.106,-0.001,0.001,-0.9,True
loop,1.00m,3.80,3.81,-0.01,0.01,-0.3,True,0.236,0.236,+0.000,0.000,+0.0,True
slippage,1.00m,0.74,0.74,+0.00,0.00,+0.0,True,0.093,0.093,+0.000,0.000,+0.0,True
nav_a_diff,1.50m,1.28,1.32,-0.04,0.04,-3.0,True,0.122,0.127,-0.005,0.005,-3.9,False
nav_a_omni,1.50m,1.05,1.04,+0.01,0.01,+1.0,True,0.083,0.081,+0.002,0.002,+2.5,True
loop,1.50m,2.94,2.88,+0.06,0.06,+2.1,False,0.210,0.209,+0.001,0.001,+0.5,True
slippage,1.50m,0.79,0.79,+0.00,0.00,+0.0,True,0.115,0.115,+0.000,0.000,+0.0,True
nav_a_diff,2.00m,1.11,1.10,+0.01,0.01,+0.9,True,0.119,0.114,+0.005,0.005,+4.4,True
nav_a_omni,2.00m,0.87,0.88,-0.01,0.01,-1.1,True,0.070,0.071,-0.001,0.001,-1.4,True
loop,2.00m,2.75,2.74,+0.01,0.01,+0.4,True,0.165,0.161,+0.004,0.004,+2.5,True
slippage,2.00m,0.69,0.69,+0.00,0.00,+0.0,True,0.095,0.095,+0.000,0.000,+0.0,True
nav_a_diff,2.50m,1.05,1.04,+0.01,0.01,+1.0,True,0.091,0.090,+0.001,0.001,+1.1,True
nav_a_omni,2.50m,1.06,1.02,+0.04,0.04,+3.9,True,0.089,0.083,+0.006,0.006,+7.2,False
loop,2.50m,2.92,2.91,+0.01,0.01,+0.3,True,0.184,0.184,+0.000,0.000,+0.0,True
slippage,2.50m,0.76,0.76,+0.00,0.00,+0.0,True,0.099,0.099,+0.000,0.000,+0.0,True
nav_a_diff,3.00m,1.53,1.51,+0.02,0.02,+1.3,True,0.109,0.115,-0.006,0.006,-5.2,False
nav_a_omni,3.00m,1.30,1.24,+0.06,0.06,+4.8,False,0.113,0.108,+0.005,0.005,+4.6,False
loop,3.00m,3.29,3.55,-0.26,0.26,-7.3,False,0.149,0.154,-0.005,0.005,-3.2,False
slippage,3.00m,0.71,0.71,+0.00,0.00,+0.0,True,0.075,0.075,+0.000,0.000,+0.0,True
nav_a_diff,40%,1.06,1.14,-0.08,0.08,-7.0,False,0.090,0.091,-0.001,0.001,-1.1,True
nav_a_omni,40%,0.97,0.93,+0.04,0.04,+4.3,True,0.087,0.097,-0.010,0.010,-10.3,False
loop,40%,1.75,1.74,+0.01,0.01,+0.6,True,0.121,0.123,-0.002,0.002,-1.6,True
slippage,40%,0.79,0.79,+0.00,0.00,+0.0,True,0.078,0.078,+0.000,0.000,+0.0,True
