scenario,param,rte_dmap_p2p,rte_dmap_p2pl,signed_diff_rte_(A-B),abs_diff_rte,rel_diff_rte_%_(A-B),within_thresh_rte,rre_dmap_p2p,rre_dmap_p2pl,signed_diff_rre_(A-B),abs_diff_rre,rel_diff_rre_%_(A-B),within_thresh_rre
nav_a_diff,0.50m,1.62,1.60,+0.02,0.02,+1.3,True,0.109,0.145,-0.036,0.036,-24.8,False
nav_a_omni,0.50m,1.38,1.35,+0.03,0.03,+2.2,True,0.080,0.103,-0.023,0.023,-22.3,False
loop,0.50m,2.87,4.13,-1.26,1.26,-30.5,False,0.140,0.275,-0.135,0.135,-49.1,False
slippage,0.50m,1.47,1.48,-0.01,0.01,-0.7,True,0.088,0.149,-0.061,0.061,-40.9,False
nav_a_diff,1.00m,1.12,1.36,-0.24,0.24,-17.6,False,0.096,0.115,-0.019,0.019,-16.5,False
nav_a_omni,1.00m,1.01,1.30,-0.29,0.29,-22.3,False,0.077,0.106,-0.029,0.029,-27.4,False
loop,1.00m,3.09,3.75,-0.66,0.66,-17.6,False,0.160,0.239,-0.079,0.079,-33.1,False
slippage,1.00m,0.89,1.01,-0.12,0.12,-11.9,False,0.088,0.091,-0.003,0.003,-3.3,True
nav_a_diff,1.50m,1.11,1.25,-0.14,0.14,-11.2,False,0.098,0.126,-0.028,0.028,-22.2,False
nav_a_omni,1.50m,0.98,1.19,-0.21,0.21,-17.6,False,0.080,0.096,-0.016,0.016,-16.7,False
loop,1.50m,2.81,2.88,-0.07,0.07,-2.4,False,0.154,0.210,-0.056,0.056,-26.7,False
slippage,1.50m,1.04,0.77,+0.27,0.27,+35.1,False,0.142,0.077,+0.065,0.065,+84.4,False
nav_a_diff,2.00m,1.06,1.16,-0.10,0.10,-8.6,False,0.091,0.115,-0.024,0.024,-20.9,False
nav_a_omni,2.00m,0.92,0.88,+0.04,0.04,+4.5,True,0.079,0.064,+0.015,0.015,+23.4,False
loop,2.00m,2.82,2.39,+0.43,0.43,+18.0,False,0.155,0.163,-0.008,0.008,-4.9,False
slippage,2.00m,0.55,0.71,-0.16,0.16,-22.5,False,0.056,0.097,-0.041,0.041,-42.3,False
nav_a_diff,2.50m,1.12,1.08,+0.04,0.04,+3.7,True,0.091,0.103,-0.012,0.012,-11.7,False
nav_a_omni,2.50m,0.91,1.05,-0.14,0.14,-13.3,False,0.080,0.105,-0.025,0.025,-23.8,False
loop,2.50m,3.07,2.91,+0.16,0.16,+5.5,False,0.166,0.189,-0.023,0.023,-12.2,False
slippage,2.50m,0.85,0.66,+0.19,0.19,+28.8,False,0.086,0.081,+0.005,0.005,+6.2,True
nav_a_diff,3.00m,1.09,1.67,-0.58,0.58,-34.7,False,0.091,0.114,-0.023,0.023,-20.2,False
nav_a_omni,3.00m,1.36,1.25,+0.11,0.11,+8.8,False,0.123,0.108,+0.015,0.015,+13.9,False
loop,3.00m,3.03,3.59,-0.56,0.56,-15.6,False,0.156,0.140,+0.016,0.016,+11.4,False
slippage,3.00m,0.88,0.75,+0.13,0.13,+17.3,False,0.069,0.090,-0.021,0.021,-23.3,False
nav_a_diff,40%,1.01,0.92,+0.09,0.09,+9.8,False,0.090,0.094,-0.004,0.004,-4.3,True
nav_a_omni,40%,0.89,1.09,-0.20,0.20,-18.3,False,0.087,0.104,-0.017,0.017,-16.3,False
loop,40%,2.14,1.41,+0.73,0.73,+51.8,False,0.134,0.107,+0.027,0.027,+25.2,False
slippage,40%,0.66,0.84,-0.18,0.18,-21.4,False,0.076,0.073,+0.003,0.003,+4.1,True
nav_a_diff,50%,0.95,1.06,-0.11,0.11,-10.4,False,0.078,0.104,-0.026,0.026,-25.0,False
nav_a_omni,50%,0.81,0.84,-0.03,0.03,-3.6,True,0.065,0.086,-0.021,0.021,-24.4,False
loop,50%,2.33,2.05,+0.28,0.28,+13.7,False,0.123,0.139,-0.016,0.016,-11.5,False
slippage,50%,0.64,0.72,-0.08,0.08,-11.1,False,0.070,0.084,-0.014,0.014,-16.7,False
nav_a_diff,60%,1.10,1.10,+0.00,0.00,+0.0,True,0.089,0.111,-0.022,0.022,-19.8,False
nav_a_omni,60%,0.89,0.85,+0.04,0.04,+4.7,True,0.080,0.084,-0.004,0.004,-4.8,True
loop,60%,2.80,2.77,+0.03,0.03,+1.1,True,0.143,0.156,-0.013,0.013,-8.3,False
slippage,60%,0.85,0.68,+0.17,0.17,+25.0,False,0.087,0.056,+0.031,0.031,+55.4,False
nav_a_diff,70%,1.15,1.24,-0.09,0.09,-7.3,False,0.094,0.124,-0.030,0.030,-24.2,False
nav_a_omni,70%,0.97,1.06,-0.09,0.09,-8.5,False,0.063,0.090,-0.027,0.027,-30.0,False
loop,70%,3.01,3.69,-0.68,0.68,-18.4,False,0.155,0.212,-0.057,0.057,-26.9,False
slippage,70%,0.81,0.69,+0.12,0.12,+17.4,False,0.080,0.056,+0.024,0.024,+42.9,False
nav_a_diff,80%,1.37,3.38,-2.01,2.01,-59.5,False,0.112,0.154,-0.042,0.042,-27.3,False
nav_a_omni,80%,1.15,5.40,-4.25,4.25,-78.7,False,0.075,0.233,-0.158,0.158,-67.8,False
loop,80%,3.18,7.10,-3.92,3.92,-55.2,False,0.160,0.253,-0.093,0.093,-36.8,False
slippage,80%,0.89,5.01,-4.12,4.12,-82.2,False,0.083,0.084,-0.001,0.001,-1.2,True
nav_a_diff,90%,1.92,8.02,-6.10,6.10,-76.1,False,0.131,0.216,-0.085,0.085,-39.4,False
nav_a_omni,90%,1.61,9.48,-7.87,7.87,-83.0,False,0.067,0.214,-0.147,0.147,-68.7,False
loop,90%,3.99,8.24,-4.25,4.25,-51.6,False,0.133,0.139,-0.006,0.006,-4.3,False
slippage,90%,2.05,7.06,-5.01,5.01,-71.0,False,0.144,0.251,-0.107,0.107,-42.6,False
