,,nav_a_diff_rte,nav_a_diff_rre,nav_a_omni_rte,nav_a_omni_rre,loop_rte,loop_rre,slippage_rte,slippage_rre,
dmap_p2p,0.50m,2.91,0.182,2.64,0.134,5.80,0.310,1.28,0.059,
dmap_p2p,1.00m,2.05,0.161,1.94,0.108,4.35,0.236,0.96,0.074,
dmap_p2p,1.50m,1.76,0.146,1.63,0.098,3.03,0.183,0.78,0.056,
dmap_p2p,2.00m,1.51,0.127,1.50,0.102,3.13,0.202,0.97,0.049,
dmap_p2p,2.50m,1.35,0.126,1.23,0.088,3.86,0.199,0.68,0.033,
dmap_p2p,3.00m,1.47,0.120,1.45,0.121,3.91,0.198,0.92,0.060,
dmap_p2p,40%,1.12,0.098,1.09,0.090,2.54,0.158,0.71,0.034,
dmap_p2p,50%,1.35,0.122,1.31,0.089,3.00,0.144,0.64,0.052,
dmap_p2p,60%,1.58,0.129,1.39,0.090,3.12,0.175,0.63,0.052,
dmap_p2p,70%,1.83,0.141,1.66,0.098,4.37,0.217,0.95,0.082,
dmap_p2p,80%,2.53,0.174,2.17,0.127,5.34,0.256,1.24,0.064,
dmap_p2p,90%,5.34,0.292,3.98,0.187,9.65,0.399,2.80,0.093,
dmap_p2pl,0.50m,1.60,0.145,1.35,0.103,4.13,0.275,1.48,0.149,
dmap_p2pl,1.00m,1.36,0.115,1.30,0.106,3.75,0.239,1.01,0.091,
dmap_p2pl,1.50m,1.25,0.126,1.19,0.096,2.88,0.210,0.77,0.077,
dmap_p2pl,2.00m,1.16,0.115,0.88,0.064,2.39,0.163,0.71,0.097,
dmap_p2pl,2.50m,1.08,0.103,1.05,0.105,2.91,0.189,0.66,0.081,
dmap_p2pl,3.00m,1.67,0.114,1.25,0.108,3.59,0.140,0.75,0.090,
dmap_p2pl,40%,0.92,0.094,1.09,0.104,1.41,0.107,0.84,0.073,
dmap_p2pl,50%,1.06,0.104,0.84,0.086,2.05,0.139,0.72,0.084,
dmap_p2pl,60%,1.10,0.111,0.85,0.084,2.77,0.156,0.68,0.056,
dmap_p2pl,70%,1.24,0.124,1.06,0.090,3.69,0.212,0.69,0.056,
dmap_p2pl,80%,3.38,0.154,5.40,0.233,7.10,0.253,5.01,0.084,
dmap_p2pl,90%,8.02,0.216,9.48,0.214,8.24,0.139,7.06,0.251,
icp_p2p,0.50m,3.03,0.180,2.56,0.133,5.63,0.297,1.20,0.070,
icp_p2p,1.00m,2.01,0.154,1.76,0.117,4.46,0.235,0.57,0.067,
icp_p2p,1.50m,1.56,0.133,1.50,0.107,2.97,0.180,0.70,0.052,
icp_p2p,2.00m,1.40,0.123,1.19,0.100,2.56,0.180,0.67,0.056,
icp_p2p,2.50m,1.24,0.110,1.13,0.082,3.55,0.181,0.67,0.045,
icp_p2p,3.00m,1.33,0.113,1.59,0.095,3.60,0.186,0.67,0.038,
icp_p2p,40%,1.10,0.099,1.07,0.092, 3.36,0.192,0.56,0.055,
icp_p2p,50%,1.32,0.116,1.16,0.082, 2.95,0.158,0.72,0.065,
icp_p2p,60%,1.48,0.133,1.21,0.100, 3.15,0.169,0.64,0.048,
icp_p2p,70%,1.80,0.147,1.60,0.110, 4.32,0.209,0.88,0.070,
icp_p2p,80%,2.54,0.169,2.14,0.111, 5.24,0.247,0.83,0.057,
icp_p2p,90%,5.14,0.298,4.01,0.177,10.01,0.403,2.63,0.099,
icp_p2pl,0.50m,1.61,0.146,1.42,0.111,4.14,0.275,1.48,0.149,
icp_p2pl,1.00m,1.37,0.114,1.28,0.103,3.71,0.238,1.06,0.095,
icp_p2pl,1.50m,1.25,0.122,1.19,0.097,2.82,0.207,0.77,0.077,
icp_p2pl,2.00m,1.13,0.115,0.91,0.070,2.45,0.164,0.71,0.097,
icp_p2pl,2.50m,1.09,0.095,1.02,0.105,3.02,0.187,0.66,0.081,
icp_p2pl,3.00m,1.68,0.112,1.22,0.103,3.55,0.140,0.75,0.090,
icp_p2pl,40%,0.88,0.082,1.06,0.106,1.37,0.106,0.78,0.073,
icp_p2pl,50%,1.01,0.097,0.83,0.093,2.07,0.140,0.72,0.084,
icp_p2pl,60%,1.08,0.109,0.82,0.075,2.71,0.154,0.82,0.070,
icp_p2pl,70%,1.24,0.123,0.93,0.090,3.91,0.207,0.69,0.056,
icp_p2pl,80%,3.34,0.155,5.39,0.231,7.32,0.257,4.92,0.081,
icp_p2pl,90%,7.98,0.214,9.45,0.217,8.26,0.136,6.97,0.251,
