scenario,param,rte_icp_p2p,rte_icp_p2p,signed_diff_rte_(A-B),abs_diff_rte,rel_diff_rte_%_(A-B),within_thresh_rte,rre_icp_p2p,rre_icp_p2p,signed_diff_rre_(A-B),abs_diff_rre,rel_diff_rre_%_(A-B),within_thresh_rre
nav_a_diff,0.50m,3.14,3.14,-0.13,0.13,-4.1,False,0.147,0.147,+0.028,0.028,+19.0,False
nav_a_omni,0.50m,2.60,2.60,-0.06,0.06,-2.3,False,0.108,0.108,+0.016,0.016,+14.8,False
loop,0.50m,6.91,6.91,-0.96,0.96,-13.9,False,0.338,0.338,-0.030,0.030,-8.9,False
slippage,0.50m,1.38,1.38,-0.19,0.19,-13.8,False,0.104,0.104,-0.021,0.021,-20.2,False
nav_a_diff,1.00m,2.20,2.20,-0.15,0.15,-6.8,False,0.138,0.138,+0.016,0.016,+11.6,False
nav_a_omni,1.00m,1.77,1.77,+0.03,0.03,+1.7,True,0.109,0.109,+0.016,0.016,+14.7,False
loop,1.00m,5.15,5.15,-0.82,0.82,-15.9,False,0.276,0.276,-0.042,0.042,-15.2,False
slippage,1.00m,0.60,0.60,+0.00,0.00,+0.0,True,0.088,0.088,+0.004,0.004,+4.5,True
nav_a_diff,1.50m,1.69,1.69,+0.00,0.00,+0.0,True,0.134,0.134,+0.013,0.013,+9.7,False
nav_a_omni,1.50m,1.46,1.46,+0.01,0.01,+0.7,True,0.112,0.112,-0.008,0.008,-7.1,False
loop,1.50m,3.93,3.93,-0.80,0.80,-20.4,False,0.235,0.235,-0.047,0.047,-20.0,False
slippage,1.50m,0.48,0.48,+0.02,0.02,+4.2,True,0.059,0.059,-0.006,0.006,-10.2,False
nav_a_diff,2.00m,1.62,1.62,-0.20,0.20,-12.3,False,0.125,0.125,-0.001,0.001,-0.8,True
nav_a_omni,2.00m,1.31,1.31,+0.01,0.01,+0.8,True,0.092,0.092,+0.023,0.023,+25.0,False
loop,2.00m,2.75,2.75,+0.09,0.09,+3.3,False,0.180,0.180,+0.014,0.014,+7.8,False
slippage,2.00m,0.45,0.45,+0.04,0.04,+8.9,True,0.054,0.054,+0.003,0.003,+5.6,True
nav_a_diff,2.50m,1.34,1.34,-0.03,0.03,-2.2,True,0.109,0.109,+0.005,0.005,+4.6,False
nav_a_omni,2.50m,1.16,1.16,-0.07,0.07,-6.0,False,0.096,0.096,-0.009,0.009,-9.4,False
loop,2.50m,4.19,4.19,-0.36,0.36,-8.6,False,0.231,0.231,-0.031,0.031,-13.4,False
slippage,2.50m,0.77,0.77,-0.30,0.30,-39.0,False,0.045,0.045,+0.012,0.012,+26.7,False
nav_a_diff,3.00m,1.57,1.57,-0.02,0.02,-1.3,True,0.139,0.139,-0.022,0.022,-15.8,False
nav_a_omni,3.00m,1.37,1.37,+0.17,0.17,+12.4,False,0.102,0.102,+0.001,0.001,+1.0,True
loop,3.00m,3.62,3.62,+0.04,0.04,+1.1,True,0.222,0.222,-0.032,0.032,-14.4,False
slippage,3.00m,0.68,0.68,+0.10,0.10,+14.7,False,0.039,0.039,+0.023,0.023,+59.0,False
nav_a_diff,40%,1.34,1.34,-0.24,0.24,-17.9,False,0.114,0.114,-0.014,0.014,-12.3,False
nav_a_omni,40%,1.19,1.19,-0.22,0.22,-18.5,False,0.106,0.106,-0.026,0.026,-24.5,False
loop,40%,2.89,2.89,+0.27,0.27,+9.3,False,0.176,0.176,+0.003,0.003,+1.7,True
slippage,40%,0.87,0.87,-0.25,0.25,-28.7,False,0.061,0.061,+0.006,0.006,+9.8,False
nav_a_diff,50%,1.45,1.45,-0.13,0.13,-9.0,False,0.132,0.132,-0.013,0.013,-9.8,False
nav_a_omni,50%,1.21,1.21,-0.19,0.19,-15.7,False,0.106,0.106,-0.019,0.019,-17.9,False
loop,50%,3.33,3.33,-0.49,0.49,-14.7,False,0.197,0.197,-0.055,0.055,-27.9,False
slippage,50%,0.64,0.64,+0.22,0.22,+34.4,False,0.051,0.051,+0.036,0.036,+70.6,False
nav_a_diff,60%,1.56,1.56,-0.07,0.07,-4.5,False,0.136,0.136,-0.001,0.001,-0.7,True
nav_a_omni,60%,1.41,1.41,-0.26,0.26,-18.4,False,0.112,0.112,-0.011,0.011,-9.8,False
loop,60%,3.56,3.56,-0.45,0.45,-12.6,False,0.213,0.213,-0.045,0.045,-21.1,False
slippage,60%,0.56,0.56,-0.09,0.09,-16.1,False,0.053,0.053,-0.008,0.008,-15.1,False
