scenario,param,rte_icp_p2p,rte_icp_p2p,signed_diff_rte_(A-B),abs_diff_rte,rel_diff_rte_%_(A-B),within_thresh_rte,rre_icp_p2p,rre_icp_p2p,signed_diff_rre_(A-B),abs_diff_rre,rel_diff_rre_%_(A-B),within_thresh_rre
nav_a_diff,70%,1.85,1.85,+0.02,0.02,+1.1,True,0.129,0.129,+0.023,0.023,+17.8,False
nav_a_omni,70%,1.66,1.66,-0.14,0.14,-8.4,False,0.108,0.108,-0.010,0.010,-9.3,False
loop,70%,4.80,4.80,-0.41,0.41,-8.5,False,0.239,0.239,-0.029,0.029,-12.1,False
slippage,70%,0.75,0.75,-0.20,0.20,-26.7,False,0.079,0.079,-0.027,0.027,-34.2,False
nav_a_diff,80%,2.45,2.45,+0.01,0.01,+0.4,True,0.130,0.130,+0.032,0.032,+24.6,False
nav_a_omni,80%,2.13,2.13,-0.10,0.10,-4.7,False,0.079,0.079,+0.032,0.032,+40.5,False
loop,80%,6.02,6.02,-0.61,0.61,-10.1,False,0.303,0.303,-0.050,0.050,-16.5,False
slippage,80%,1.06,1.06,-0.15,0.15,-14.2,False,0.097,0.097,-0.036,0.036,-37.1,False
nav_a_diff,90%,5.00,5.00,+0.13,0.13,+2.6,False,0.216,0.216,+0.087,0.087,+40.3,False
nav_a_omni,90%,4.07,4.07,-0.01,0.01,-0.2,True,0.163,0.163,+0.015,0.015,+9.2,False
loop,90%,10.93,10.93,-0.61,0.61,-5.6,False,0.407,0.407,+0.013,0.013,+3.2,False
slippage,90%,2.61,2.61,-0.21,0.21,-8.0,False,0.093,0.093,-0.018,0.018,-19.4,False
