scenario,param,rte_dmap_p2p,rte_icp_p2p,signed_diff_rte_(A-B),abs_diff_rte,rel_diff_rte_%_(A-B),within_thresh_rte,rre_dmap_p2p,rre_icp_p2p,signed_diff_rre_(A-B),abs_diff_rre,rel_diff_rre_%_(A-B),within_thresh_rre
nav_a_diff,0.50m,1.53,3.01,-1.48,1.48,-49.2,False,0.107,0.175,-0.068,0.068,-38.9,False
nav_a_omni,0.50m,1.29,2.54,-1.25,1.25,-49.2,False,0.066,0.124,-0.058,0.058,-46.8,False
loop,0.50m,2.62,5.95,-3.33,3.33,-56.0,False,0.150,0.308,-0.158,0.158,-51.3,False
slippage,0.50m,1.58,1.19,+0.39,0.39,+32.8,False,0.154,0.083,+0.071,0.071,+85.5,False
nav_a_diff,1.00m,1.24,2.05,-0.81,0.81,-39.5,False,0.109,0.154,-0.045,0.045,-29.2,False
nav_a_omni,1.00m,0.98,1.80,-0.82,0.82,-45.6,False,0.063,0.125,-0.062,0.062,-49.6,False
loop,1.00m,3.14,4.33,-1.19,1.19,-27.5,False,0.160,0.234,-0.074,0.074,-31.6,False
slippage,1.00m,1.07,0.60,+0.47,0.47,+78.3,False,0.129,0.092,+0.037,0.037,+40.2,False
nav_a_diff,1.50m,1.10,1.69,-0.59,0.59,-34.9,False,0.101,0.147,-0.046,0.046,-31.3,False
nav_a_omni,1.50m,0.92,1.47,-0.55,0.55,-37.4,False,0.076,0.104,-0.028,0.028,-26.9,False
loop,1.50m,3.03,3.13,-0.10,0.10,-3.2,False,0.161,0.188,-0.027,0.027,-14.4,False
slippage,1.50m,1.07,0.50,+0.57,0.57,+114.0,False,0.102,0.053,+0.049,0.049,+92.5,False
nav_a_diff,2.00m,1.07,1.42,-0.35,0.35,-24.6,False,0.087,0.124,-0.037,0.037,-29.8,False
nav_a_omni,2.00m,0.88,1.32,-0.44,0.44,-33.3,False,0.085,0.115,-0.030,0.030,-26.1,False
loop,2.00m,2.58,2.84,-0.26,0.26,-9.2,False,0.150,0.194,-0.044,0.044,-22.7,False
slippage,2.00m,0.87,0.49,+0.38,0.38,+77.6,False,0.114,0.057,+0.057,0.057,+100.0,False
nav_a_diff,2.50m,1.10,1.31,-0.21,0.21,-16.0,False,0.091,0.114,-0.023,0.023,-20.2,False
nav_a_omni,2.50m,0.91,1.09,-0.18,0.18,-16.5,False,0.080,0.087,-0.007,0.007,-8.0,False
loop,2.50m,3.19,3.83,-0.64,0.64,-16.7,False,0.165,0.200,-0.035,0.035,-17.5,False
slippage,2.50m,0.80,0.47,+0.33,0.33,+70.2,False,0.081,0.057,+0.024,0.024,+42.1,False
nav_a_diff,3.00m,1.23,1.55,-0.32,0.32,-20.6,False,0.108,0.117,-0.009,0.009,-7.7,False
nav_a_omni,3.00m,1.27,1.54,-0.27,0.27,-17.5,False,0.113,0.103,+0.010,0.010,+9.7,False
loop,3.00m,2.72,3.66,-0.94,0.94,-25.7,False,0.145,0.190,-0.045,0.045,-23.7,False
slippage,3.00m,0.79,0.78,+0.01,0.01,+1.3,True,0.079,0.062,+0.017,0.017,+27.4,False
nav_a_diff,40%,1.01,1.10,-0.09,0.09,-8.2,False,0.085,0.100,-0.015,0.015,-15.0,False
nav_a_omni,40%,1.04,0.97,+0.07,0.07,+7.2,False,0.088,0.080,+0.008,0.008,+10.0,False
loop,40%,2.29,3.16,-0.87,0.87,-27.5,False,0.135,0.179,-0.044,0.044,-24.6,False
slippage,40%,0.76,0.62,+0.14,0.14,+22.6,False,0.073,0.067,+0.006,0.006,+9.0,False
nav_a_diff,50%,0.98,1.32,-0.34,0.34,-25.8,False,0.085,0.119,-0.034,0.034,-28.6,False
nav_a_omni,50%,0.84,1.02,-0.18,0.18,-17.6,False,0.067,0.087,-0.020,0.020,-23.0,False
loop,50%,2.57,2.84,-0.27,0.27,-9.5,False,0.136,0.142,-0.006,0.006,-4.2,False
slippage,50%,0.71,0.86,-0.15,0.15,-17.4,False,0.091,0.087,+0.004,0.004,+4.6,True
nav_a_diff,60%,1.16,1.49,-0.33,0.33,-22.1,False,0.103,0.135,-0.032,0.032,-23.7,False
nav_a_omni,60%,0.87,1.15,-0.28,0.28,-24.3,False,0.086,0.101,-0.015,0.015,-14.9,False
loop,60%,2.51,3.11,-0.60,0.60,-19.3,False,0.123,0.168,-0.045,0.045,-26.8,False
slippage,60%,0.72,0.47,+0.25,0.25,+53.2,False,0.070,0.045,+0.025,0.025,+55.6,False
nav_a_diff,70%,1.23,1.87,-0.64,0.64,-34.2,False,0.106,0.152,-0.046,0.046,-30.3,False
nav_a_omni,70%,1.04,1.52,-0.48,0.48,-31.6,False,0.077,0.098,-0.021,0.021,-21.4,False
loop,70%,2.73,4.39,-1.66,1.66,-37.8,False,0.157,0.210,-0.053,0.053,-25.2,False
slippage,70%,0.89,0.55,+0.34,0.34,+61.8,False,0.115,0.052,+0.063,0.063,+121.2,False
nav_a_diff,80%,1.34,2.46,-1.12,1.12,-45.5,False,0.115,0.162,-0.047,0.047,-29.0,False
nav_a_omni,80%,1.24,2.03,-0.79,0.79,-38.9,False,0.073,0.111,-0.038,0.038,-34.2,False
