,,nav_a_diff_rte,nav_a_diff_rre,nav_a_omni_rte,nav_a_omni_rre,loop_rte,loop_rre,slippage_rte,slippage_rre,
dmap_p2p,0.50m,3.13,0.155,2.58,0.134,7.28,0.353,1.27,0.105,
dmap_p2p,1.00m,2.20,0.146,2.00,0.101,5.23,0.281,1.01,0.080,
dmap_p2p,1.50m,1.79,0.147,1.55,0.096,4.23,0.244,0.90,0.075,
dmap_p2p,2.00m,1.56,0.139,1.36,0.091,2.95,0.179,0.70,0.062,
dmap_p2p,2.50m,1.41,0.130,1.25,0.100,4.01,0.226,0.93,0.072,
dmap_p2p,3.00m,1.66,0.143,1.23,0.085,4.39,0.254,0.82,0.033,
dmap_p2p,40%,1.36,0.115,1.36,0.106, 2.56,0.167,0.88,0.058,
dmap_p2p,50%,1.41,0.130,1.42,0.123, 3.68,0.199,0.92,0.038,
dmap_p2p,60%,1.61,0.141,1.47,0.098, 3.66,0.216,1.04,0.077,
dmap_p2p,70%,1.95,0.137,1.90,0.112, 4.92,0.248,1.05,0.086,
dmap_p2p,80%,2.50,0.145,2.35,0.100, 6.15,0.299,1.29,0.104,
dmap_p2p,90%,5.25,0.221,4.12,0.159,10.62,0.390,2.61,0.075,
dmap_p2pl,0.50m,1.55,0.143,1.37,0.105,4.79,0.310,1.45,0.132,
dmap_p2pl,1.00m,1.45,0.119,1.27,0.097,3.06,0.236,1.09,0.100,
dmap_p2pl,1.50m,1.37,0.144,1.21,0.103,3.48,0.244,0.83,0.115,
dmap_p2pl,2.00m,1.20,0.129,1.13,0.097,2.79,0.192,0.81,0.095,
dmap_p2pl,2.50m,1.16,0.113,0.97,0.117,3.27,0.206,0.68,0.066,
dmap_p2pl,3.00m,1.72,0.126,1.25,0.107,2.95,0.157,0.73,0.086,
dmap_p2pl,40%,1.13,0.104,1.16,0.125,1.81,0.155,1.01,0.119,
dmap_p2pl,50%,1.09,0.104,0.97,0.098,2.43,0.143,1.01,0.107,
dmap_p2pl,60%,1.03,0.114,1.03,0.089,3.01,0.190,0.91,0.118,
dmap_p2pl,70%,1.18,0.113,1.00,0.093,3.32,0.208,0.71,0.078,
dmap_p2pl,80%,1.87,0.151,2.30,0.119,5.04,0.231,4.02,0.078,
dmap_p2pl,90%,8.45,0.233,9.23,0.230,8.32,0.138,7.12,0.167,
icp_p2p,0.50m,3.14,0.147,2.60,0.108,6.91,0.338,1.38,0.104,
icp_p2p,1.00m,2.20,0.138,1.77,0.109,5.15,0.276,0.60,0.088,
icp_p2p,1.50m,1.69,0.134,1.46,0.112,3.93,0.235,0.48,0.059,
icp_p2p,2.00m,1.62,0.125,1.31,0.092,2.75,0.180,0.45,0.054,
icp_p2p,2.50m,1.34,0.109,1.16,0.096,4.19,0.231,0.77,0.045,
icp_p2p,3.00m,1.57,0.139,1.37,0.102,3.62,0.222,0.68,0.039,
icp_p2p,40%,1.34,0.114,1.19,0.106, 2.89,0.176,0.87,0.061,
icp_p2p,50%,1.45,0.132,1.21,0.106, 3.33,0.197,0.64,0.051,
icp_p2p,60%,1.56,0.136,1.41,0.112, 3.56,0.213,0.56,0.053,
icp_p2p,70%,1.85,0.129,1.66,0.108, 4.80,0.239,0.75,0.079,
icp_p2p,80%,2.45,0.130,2.13,0.079, 6.02,0.303,1.06,0.097,
icp_p2p,90%,5.00,0.216,4.07,0.163,10.93,0.407,2.61,0.093,
icp_p2pl,0.50m,1.55,0.142,1.35,0.104,4.80,0.309,1.47,0.134,
icp_p2pl,1.00m,1.45,0.119,1.29,0.096,3.06,0.237,1.09,0.100,
icp_p2pl,1.50m,1.38,0.141,1.20,0.097,3.44,0.246,0.83,0.115,
icp_p2pl,2.00m,1.23,0.133,1.07,0.094,2.79,0.190,0.69,0.084,
icp_p2pl,2.50m,1.15,0.111,1.01,0.108,3.41,0.208,0.68,0.066,
icp_p2pl,3.00m,1.78,0.133,1.34,0.115,2.83,0.151,0.64,0.063,
icp_p2pl,40%,1.17,0.102,1.18,0.118,1.79,0.153,1.01,0.119,
icp_p2pl,50%,1.13,0.113,0.91,0.089,2.41,0.144,1.01,0.107,
icp_p2pl,60%,1.02,0.105,0.92,0.090,3.12,0.190,0.88,0.108,
icp_p2pl,70%,1.19,0.115,0.95,0.087,3.30,0.209,0.73,0.080,
icp_p2pl,80%,1.88,0.151,2.33,0.126,5.04,0.230,4.08,0.074,
icp_p2pl,90%,8.44,0.231,9.18,0.237,8.28,0.139,7.10,0.168,
