scenario,param,rte_dmap_p2pl,rte_icp_p2pl,signed_diff_rte_(A-B),abs_diff_rte,rel_diff_rte_%_(A-B),within_thresh_rte,rre_dmap_p2pl,rre_icp_p2pl,signed_diff_rre_(A-B),abs_diff_rre,rel_diff_rre_%_(A-B),within_thresh_rre
nav_a_diff,0.50m,1.55,1.55,+0.00,0.00,+0.0,True,0.143,0.142,+0.001,0.001,+0.7,True
nav_a_omni,0.50m,1.37,1.35,+0.02,0.02,+1.5,True,0.105,0.104,+0.001,0.001,+1.0,True
loop,0.50m,4.79,4.80,-0.01,0.01,-0.2,True,0.310,0.309,+0.001,0.001,+0.3,True
slippage,0.50m,1.45,1.47,-0.02,0.02,-1.4,True,0.132,0.134,-0.002,0.002,-1.5,True
nav_a_diff,1.00m,1.45,1.45,+0.00,0.00,+0.0,True,0.119,0.119,+0.000,0.000,+0.0,True
nav_a_omni,1.00m,1.27,1.29,-0.02,0.02,-1.6,True,0.097,0.096,+0.001,0.001,+1.0,True
loop,1.00m,3.06,3.06,+0.00,0.00,+0.0,True,0.236,0.237,-0.001,0.001,-0.4,True
slippage,1.00m,1.09,1.09,+0.00,0.00,+0.0,True,0.100,0.100,+0.000,0.000,+0.0,True
nav_a_diff,1.50m,1.37,1.38,-0.01,0.01,-0.7,True,0.144,0.141,+0.003,0.003,+2.1,True
nav_a_omni,1.50m,1.21,1.20,+0.01,0.01,+0.8,True,0.103,0.097,+0.006,0.006,+6.2,False
loop,1.50m,3.48,3.44,+0.04,0.04,+1.2,True,0.244,0.246,-0.002,0.002,-0.8,True
slippage,1.50m,0.83,0.83,+0.00,0.00,+0.0,True,0.115,0.115,+0.000,0.000,+0.0,True
nav_a_diff,2.00m,1.20,1.23,-0.03,0.03,-2.4,True,0.129,0.133,-0.004,0.004,-3.0,True
nav_a_omni,2.00m,1.13,1.07,+0.06,0.06,+5.6,False,0.097,0.094,+0.003,0.003,+3.2,True
loop,2.00m,2.79,2.79,+0.00,0.00,+0.0,True,0.192,0.190,+0.002,0.002,+1.1,True
slippage,2.00m,0.81,0.69,+0.12,0.12,+17.4,False,0.095,0.084,+0.011,0.011,+13.1,False
nav_a_diff,2.50m,1.16,1.15,+0.01,0.01,+0.9,True,0.113,0.111,+0.002,0.002,+1.8,True
nav_a_omni,2.50m,0.97,1.01,-0.04,0.04,-4.0,True,0.117,0.108,+0.009,0.009,+8.3,False
loop,2.50m,3.27,3.41,-0.14,0.14,-4.1,False,0.206,0.208,-0.002,0.002,-1.0,True
slippage,2.50m,0.68,0.68,+0.00,0.00,+0.0,True,0.066,0.066,+0.000,0.000,+0.0,True
nav_a_diff,3.00m,1.72,1.78,-0.06,0.06,-3.4,False,0.126,0.133,-0.007,0.007,-5.3,False
nav_a_omni,3.00m,1.25,1.34,-0.09,0.09,-6.7,False,0.107,0.115,-0.008,0.008,-7.0,False
loop,3.00m,2.95,2.83,+0.12,0.12,+4.2,False,0.157,0.151,+0.006,0.006,+4.0,False
slippage,3.00m,0.73,0.64,+0.09,0.09,+14.1,False,0.086,0.063,+0.023,0.023,+36.5,False
nav_a_diff,40%,1.13,1.17,-0.04,0.04,-3.4,True,0.104,0.102,+0.002,0.002,+2.0,True
nav_a_omni,40%,1.16,1.18,-0.02,0.02,-1.7,True,0.125,0.118,+0.007,0.007,+5.9,False
loop,40%,1.81,1.79,+0.02,0.02,+1.1,True,0.155,0.153,+0.002,0.002,+1.3,True
slippage,40%,1.01,1.01,+0.00,0.00,+0.0,True,0.119,0.119,+0.000,0.000,+0.0,True
nav_a_diff,50%,1.09,1.13,-0.04,0.04,-3.5,True,0.104,0.113,-0.009,0.009,-8.0,False
nav_a_omni,50%,0.97,0.91,+0.06,0.06,+6.6,False,0.098,0.089,+0.009,0.009,+10.1,False
loop,50%,2.43,2.41,+0.02,0.02,+0.8,True,0.143,0.144,-0.001,0.001,-0.7,True
slippage,50%,1.01,1.01,+0.00,0.00,+0.0,True,0.107,0.107,+0.000,0.000,+0.0,True
nav_a_diff,60%,1.03,1.02,+0.01,0.01,+1.0,True,0.114,0.105,+0.009,0.009,+8.6,False
nav_a_omni,60%,1.03,0.92,+0.11,0.11,+12.0,False,0.089,0.090,-0.001,0.001,-1.1,True
loop,60%,3.01,3.12,-0.11,0.11,-3.5,False,0.190,0.190,+0.000,0.000,+0.0,True
slippage,60%,0.91,0.88,+0.03,0.03,+3.4,True,0.118,0.108,+0.010,0.010,+9.3,False
nav_a_diff,70%,1.18,1.19,-0.01,0.01,-0.8,True,0.113,0.115,-0.002,0.002,-1.7,True
nav_a_omni,70%,1.00,0.95,+0.05,0.05,+5.3,False,0.093,0.087,+0.006,0.006,+6.9,False
loop,70%,3.32,3.30,+0.02,0.02,+0.6,True,0.208,0.209,-0.001,0.001,-0.5,True
slippage,70%,0.71,0.73,-0.02,0.02,-2.7,True,0.078,0.080,-0.002,0.002,-2.5,True
nav_a_diff,80%,1.87,1.88,-0.01,0.01,-0.5,True,0.151,0.151,+0.000,0.000,+0.0,True
nav_a_omni,80%,2.30,2.33,-0.03,0.03,-1.3,True,0.119,0.126,-0.007,0.007,-5.6,False
loop,80%,5.04,5.04,+0.00,0.00,+0.0,True,0.231,0.230,+0.001,0.001,+0.4,True
slippage,80%,4.02,4.08,-0.06,0.06,-1.5,False,0.078,0.074,+0.004,0.004,+5.4,True
nav_a_diff,90%,8.45,8.44,+0.01,0.01,+0.1,True,0.233,0.231,+0.002,0.002,+0.9,True
nav_a_omni,90%,9.23,9.18,+0.05,0.05,+0.5,False,0.230,0.237,-0.007,0.007,-3.0,False
loop,90%,8.32,8.28,+0.04,0.04,+0.5,True,0.138,0.139,-0.001,0.001,-0.7,True
slippage,90%,7.12,7.10,+0.02,0.02,+0.3,True,0.167,0.168,-0.001,0.001,-0.6,True
