scenario,param,rte_dmap_p2pl,rte_dmap_p2pl,signed_diff_rte_(A-B),abs_diff_rte,rel_diff_rte_%_(A-B),within_thresh_rte,rre_dmap_p2pl,rre_dmap_p2pl,signed_diff_rre_(A-B),abs_diff_rre,rel_diff_rre_%_(A-B),within_thresh_rre
nav_a_diff,0.50m,1.37,1.37,-0.04,0.04,-2.9,True,0.139,0.139,-0.010,0.010,-7.2,False
nav_a_omni,0.50m,1.18,1.18,-0.09,0.09,-7.6,False,0.099,0.099,+0.003,0.003,+3.0,True
loop,0.50m,4.50,4.50,-0.02,0.02,-0.4,True,0.286,0.286,-0.005,0.005,-1.7,True
slippage,0.50m,0.89,0.89,+0.01,0.01,+1.1,True,0.078,0.078,+0.003,0.003,+3.8,True
nav_a_diff,1.00m,1.35,1.35,-0.14,0.14,-10.4,False,0.136,0.136,-0.016,0.016,-11.8,False
nav_a_omni,1.00m,1.17,1.17,-0.08,0.08,-6.8,False,0.117,0.117,-0.009,0.009,-7.7,False
loop,1.00m,4.19,4.19,-0.01,0.01,-0.2,True,0.265,0.265,-0.011,0.011,-4.2,False
slippage,1.00m,1.22,1.22,-0.03,0.03,-2.5,True,0.111,0.111,+0.025,0.025,+22.5,False
nav_a_diff,1.50m,1.36,1.36,-0.13,0.13,-9.6,False,0.136,0.136,-0.022,0.022,-16.2,False
nav_a_omni,1.50m,1.10,1.10,+0.08,0.08,+7.3,False,0.099,0.099,+0.011,0.011,+11.1,False
loop,1.50m,4.03,4.03,-0.23,0.23,-5.7,False,0.251,0.251,-0.024,0.024,-9.6,False
slippage,1.50m,0.80,0.80,-0.03,0.03,-3.8,True,0.050,0.050,+0.001,0.001,+2.0,True
nav_a_diff,2.00m,1.38,1.38,-0.23,0.23,-16.7,False,0.133,0.133,-0.028,0.028,-21.1,False
nav_a_omni,2.00m,1.16,1.16,-0.09,0.09,-7.8,False,0.108,0.108,-0.003,0.003,-2.8,True
loop,2.00m,3.23,3.23,-0.03,0.03,-0.9,True,0.202,0.202,-0.014,0.014,-6.9,False
slippage,2.00m,0.96,0.96,-0.20,0.20,-20.8,False,0.077,0.077,-0.035,0.035,-45.5,False
nav_a_diff,2.50m,1.33,1.33,-0.15,0.15,-11.3,False,0.122,0.122,-0.019,0.019,-15.6,False
nav_a_omni,2.50m,1.20,1.20,-0.15,0.15,-12.5,False,0.106,0.106,-0.018,0.018,-17.0,False
loop,2.50m,3.79,3.79,-0.31,0.31,-8.2,False,0.213,0.213,-0.025,0.025,-11.7,False
slippage,2.50m,0.81,0.81,-0.11,0.11,-13.6,False,0.065,0.065,-0.020,0.020,-30.8,False
nav_a_diff,3.00m,1.23,1.23,+0.03,0.03,+2.4,True,0.117,0.117,+0.004,0.004,+3.4,True
nav_a_omni,3.00m,1.46,1.46,-0.56,0.56,-38.4,False,0.118,0.118,-0.034,0.034,-28.8,False
loop,3.00m,2.71,2.71,-0.26,0.26,-9.6,False,0.187,0.187,-0.026,0.026,-13.9,False
slippage,3.00m,0.89,0.89,+0.13,0.13,+14.6,False,0.081,0.081,+0.035,0.035,+43.2,False
nav_a_diff,40%,1.21,1.21,-0.23,0.23,-19.0,False,0.121,0.121,-0.035,0.035,-28.9,False
nav_a_omni,40%,1.33,1.33,-0.46,0.46,-34.6,False,0.132,0.132,-0.043,0.043,-32.6,False
loop,40%,2.13,2.13,-0.22,0.22,-10.3,False,0.169,0.169,-0.048,0.048,-28.4,False
slippage,40%,1.34,1.34,-0.67,0.67,-50.0,False,0.131,0.131,-0.066,0.066,-50.4,False
nav_a_diff,50%,1.28,1.28,-0.11,0.11,-8.6,False,0.119,0.119,-0.008,0.008,-6.7,False
nav_a_omni,50%,1.33,1.33,-0.39,0.39,-29.3,False,0.122,0.122,-0.037,0.037,-30.3,False
loop,50%,2.60,2.60,+0.30,0.30,+11.5,False,0.143,0.143,-0.003,0.003,-2.1,True
slippage,50%,1.03,1.03,-0.20,0.20,-19.4,False,0.116,0.116,-0.057,0.057,-49.1,False
nav_a_diff,60%,1.31,1.31,-0.05,0.05,-3.8,False,0.121,0.121,-0.003,0.003,-2.5,True
