scenario,param,rte_dmap_p2p,rte_dmap_p2p,signed_diff_rte_(A-B),abs_diff_rte,rel_diff_rte_%_(A-B),within_thresh_rte,rre_dmap_p2p,rre_dmap_p2p,signed_diff_rre_(A-B),abs_diff_rre,rel_diff_rre_%_(A-B),within_thresh_rre
nav_a_diff,0.50m,2.91,2.91,-1.29,1.29,-44.3,False,0.182,0.182,-0.073,0.073,-40.1,False
nav_a_omni,0.50m,2.64,2.64,-1.26,1.26,-47.7,False,0.134,0.134,-0.054,0.054,-40.3,False
loop,0.50m,5.80,5.80,-2.93,2.93,-50.5,False,0.310,0.310,-0.170,0.170,-54.8,False
slippage,0.50m,1.28,1.28,+0.19,0.19,+14.8,False,0.059,0.059,+0.029,0.029,+49.2,False
nav_a_diff,1.00m,2.05,2.05,-0.93,0.93,-45.4,False,0.161,0.161,-0.065,0.065,-40.4,False
nav_a_omni,1.00m,1.94,1.94,-0.93,0.93,-47.9,False,0.108,0.108,-0.031,0.031,-28.7,False
loop,1.00m,4.35,4.35,-1.26,1.26,-29.0,False,0.236,0.236,-0.076,0.076,-32.2,False
slippage,1.00m,0.96,0.96,-0.07,0.07,-7.3,False,0.074,0.074,+0.014,0.014,+18.9,False
nav_a_diff,1.50m,1.76,1.76,-0.65,0.65,-36.9,False,0.146,0.146,-0.048,0.048,-32.9,False
nav_a_omni,1.50m,1.63,1.63,-0.65,0.65,-39.9,False,0.098,0.098,-0.018,0.018,-18.4,False
loop,1.50m,3.03,3.03,-0.22,0.22,-7.3,False,0.183,0.183,-0.029,0.029,-15.8,False
slippage,1.50m,0.78,0.78,+0.26,0.26,+33.3,False,0.056,0.056,+0.086,0.086,+153.6,False
nav_a_diff,2.00m,1.51,1.51,-0.45,0.45,-29.8,False,0.127,0.127,-0.036,0.036,-28.3,False
nav_a_omni,2.00m,1.50,1.50,-0.58,0.58,-38.7,False,0.102,0.102,-0.023,0.023,-22.5,False
loop,2.00m,3.13,3.13,-0.31,0.31,-9.9,False,0.202,0.202,-0.047,0.047,-23.3,False
slippage,2.00m,0.97,0.97,-0.42,0.42,-43.3,False,0.049,0.049,+0.007,0.007,+14.3,False
nav_a_diff,2.50m,1.35,1.35,-0.23,0.23,-17.0,False,0.126,0.126,-0.035,0.035,-27.8,False
nav_a_omni,2.50m,1.23,1.23,-0.32,0.32,-26.0,False,0.088,0.088,-0.008,0.008,-9.1,False
loop,2.50m,3.86,3.86,-0.79,0.79,-20.5,False,0.199,0.199,-0.033,0.033,-16.6,False
slippage,2.50m,0.68,0.68,+0.17,0.17,+25.0,False,0.033,0.033,+0.053,0.053,+160.6,False
nav_a_diff,3.00m,1.47,1.47,-0.38,0.38,-25.9,False,0.120,0.120,-0.029,0.029,-24.2,False
nav_a_omni,3.00m,1.45,1.45,-0.09,0.09,-6.2,False,0.121,0.121,+0.002,0.002,+1.7,True
loop,3.00m,3.91,3.91,-0.88,0.88,-22.5,False,0.198,0.198,-0.042,0.042,-21.2,False
slippage,3.00m,0.92,0.92,-0.04,0.04,-4.3,True,0.060,0.060,+0.009,0.009,+15.0,False
nav_a_diff,40%,1.12,1.12,-0.11,0.11,-9.8,False,0.098,0.098,-0.008,0.008,-8.2,False
nav_a_omni,40%,1.09,1.09,-0.20,0.20,-18.3,False,0.090,0.090,-0.003,0.003,-3.3,True
loop,40%,2.54,2.54,-0.40,0.40,-15.7,False,0.158,0.158,-0.024,0.024,-15.2,False
