scenario,param,rte_dmap_p2pl,rte_dmap_p2p,signed_diff_rte_(A-B),abs_diff_rte,rel_diff_rte_%_(A-B),within_thresh_rte,rre_dmap_p2pl,rre_dmap_p2p,signed_diff_rre_(A-B),abs_diff_rre,rel_diff_rre_%_(A-B),within_thresh_rre
nav_a_diff,0.50m,1.34,2.91,-1.57,1.57,-54.0,False,0.128,0.182,-0.054,0.054,-29.7,False
nav_a_omni,0.50m,1.07,2.64,-1.57,1.57,-59.5,False,0.097,0.134,-0.037,0.037,-27.6,False
loop,0.50m,4.43,5.80,-1.37,1.37,-23.6,False,0.279,0.310,-0.031,0.031,-10.0,False
slippage,0.50m,0.90,1.28,-0.38,0.38,-29.7,False,0.084,0.059,+0.025,0.025,+42.4,False
nav_a_diff,1.00m,1.30,2.05,-0.75,0.75,-36.6,False,0.120,0.161,-0.041,0.041,-25.5,False
nav_a_omni,1.00m,1.11,1.94,-0.83,0.83,-42.8,False,0.109,0.108,+0.001,0.001,+0.9,True
loop,1.00m,3.93,4.35,-0.42,0.42,-9.7,False,0.246,0.236,+0.010,0.010,+4.2,False
slippage,1.00m,0.92,0.96,-0.04,0.04,-4.2,True,0.097,0.074,+0.023,0.023,+31.1,False
nav_a_diff,1.50m,1.24,1.76,-0.52,0.52,-29.5,False,0.121,0.146,-0.025,0.025,-17.1,False
nav_a_omni,1.50m,1.12,1.63,-0.51,0.51,-31.3,False,0.102,0.098,+0.004,0.004,+4.1,True
loop,1.50m,3.83,3.03,+0.80,0.80,+26.4,False,0.227,0.183,+0.044,0.044,+24.0,False
slippage,1.50m,0.78,0.78,+0.00,0.00,+0.0,True,0.051,0.056,-0.005,0.005,-8.9,False
nav_a_diff,2.00m,1.13,1.51,-0.38,0.38,-25.2,False,0.103,0.127,-0.024,0.024,-18.9,False
nav_a_omni,2.00m,1.05,1.50,-0.45,0.45,-30.0,False,0.103,0.102,+0.001,0.001,+1.0,True
loop,2.00m,3.21,3.13,+0.08,0.08,+2.6,False,0.188,0.202,-0.014,0.014,-6.9,False
slippage,2.00m,1.00,0.97,+0.03,0.03,+3.1,True,0.053,0.049,+0.004,0.004,+8.2,True
nav_a_diff,2.50m,1.13,1.35,-0.22,0.22,-16.3,False,0.106,0.126,-0.020,0.020,-15.9,False
nav_a_omni,2.50m,0.98,1.23,-0.25,0.25,-20.3,False,0.093,0.088,+0.005,0.005,+5.7,False
loop,2.50m,3.50,3.86,-0.36,0.36,-9.3,False,0.189,0.199,-0.010,0.010,-5.0,False
slippage,2.50m,0.81,0.68,+0.13,0.13,+19.1,False,0.060,0.033,+0.027,0.027,+81.8,False
nav_a_diff,3.00m,1.22,1.47,-0.25,0.25,-17.0,False,0.123,0.120,+0.003,0.003,+2.5,True
nav_a_omni,3.00m,1.24,1.45,-0.21,0.21,-14.5,False,0.118,0.121,-0.003,0.003,-2.5,True
loop,3.00m,2.26,3.91,-1.65,1.65,-42.2,False,0.156,0.198,-0.042,0.042,-21.2,False
slippage,3.00m,0.97,0.92,+0.05,0.05,+5.4,True,0.112,0.060,+0.052,0.052,+86.7,False
nav_a_diff,40%,1.03,1.12,-0.09,0.09,-8.0,False,0.087,0.098,-0.011,0.011,-11.2,False
nav_a_omni,40%,1.00,1.09,-0.09,0.09,-8.3,False,0.085,0.090,-0.005,0.005,-5.6,True
loop,40%,2.09,2.54,-0.45,0.45,-17.7,False,0.124,0.158,-0.034,0.034,-21.5,False
slippage,40%,0.92,0.71,+0.21,0.21,+29.6,False,0.098,0.034,+0.064,0.064,+188.2,False
nav_a_diff,50%,1.02,1.35,-0.33,0.33,-24.4,False,0.090,0.122,-0.032,0.032,-26.2,False
nav_a_omni,50%,0.92,1.31,-0.39,0.39,-29.8,False,0.087,0.089,-0.002,0.002,-2.2,True
