scenario,param,rte_dmap_p2pl,rte_dmap_p2p,signed_diff_rte_(A-B),abs_diff_rte,rel_diff_rte_%_(A-B),within_thresh_rte,rre_dmap_p2pl,rre_dmap_p2p,signed_diff_rre_(A-B),abs_diff_rre,rel_diff_rre_%_(A-B),within_thresh_rre
loop,50%,3.18,3.00,+0.18,0.18,+6.0,False,0.148,0.144,+0.004,0.004,+2.8,True
slippage,50%,1.06,0.64,+0.42,0.42,+65.6,False,0.133,0.052,+0.081,0.081,+155.8,False
nav_a_diff,60%,1.24,1.58,-0.34,0.34,-21.5,False,0.108,0.129,-0.021,0.021,-16.3,False
nav_a_omni,60%,1.11,1.39,-0.28,0.28,-20.1,False,0.104,0.090,+0.014,0.014,+15.6,False
loop,60%,3.24,3.12,+0.12,0.12,+3.8,False,0.168,0.175,-0.007,0.007,-4.0,False
slippage,60%,0.98,0.63,+0.35,0.35,+55.6,False,0.050,0.052,-0.002,0.002,-3.8,True
nav_a_diff,70%,1.37,1.83,-0.46,0.46,-25.1,False,0.129,0.141,-0.012,0.012,-8.5,False
nav_a_omni,70%,1.11,1.66,-0.55,0.55,-33.1,False,0.106,0.098,+0.008,0.008,+8.2,False
loop,70%,3.87,4.37,-0.50,0.50,-11.4,False,0.225,0.217,+0.008,0.008,+3.7,False
slippage,70%,1.16,0.95,+0.21,0.21,+22.1,False,0.062,0.082,-0.020,0.020,-24.4,False
nav_a_diff,80%,2.60,2.53,+0.07,0.07,+2.8,False,0.174,0.174,+0.000,0.000,+0.0,True
nav_a_omni,80%,2.62,2.17,+0.45,0.45,+20.7,False,0.216,0.127,+0.089,0.089,+70.1,False
loop,80%,7.61,5.34,+2.27,2.27,+42.5,False,0.250,0.256,-0.006,0.006,-2.3,False
slippage,80%,7.99,1.24,+6.75,6.75,+544.4,False,0.240,0.064,+0.176,0.176,+275.0,False
nav_a_diff,90%,14.02,5.34,+8.68,8.68,+162.5,False,0.630,0.292,+0.338,0.338,+115.8,False
nav_a_omni,90%,12.10,3.98,+8.12,8.12,+204.0,False,0.577,0.187,+0.390,0.390,+208.6,False
loop,90%,11.33,9.65,+1.68,1.68,+17.4,False,0.611,0.399,+0.212,0.212,+53.1,False
slippage,90%,16.03,2.80,+13.23,13.23,+472.5,False,0.472,0.093,+0.379,0.379,+407.5,False
