scenario,param,rte_dmap_p2p,rte_dmap_p2pl,signed_diff_rte_(A-B),abs_diff_rte,rel_diff_rte_%_(A-B),within_thresh_rte,rre_dmap_p2p,rre_dmap_p2pl,signed_diff_rre_(A-B),abs_diff_rre,rel_diff_rre_%_(A-B),within_thresh_rre
nav_a_diff,0.50m,1.53,1.65,-0.12,0.12,-7.3,False,0.107,0.158,-0.051,0.051,-32.3,False
nav_a_omni,0.50m,1.29,1.35,-0.06,0.06,-4.4,False,0.066,0.103,-0.037,0.037,-35.9,False
loop,0.50m,2.62,4.19,-1.57,1.57,-37.5,False,0.150,0.285,-0.135,0.135,-47.4,False
slippage,0.50m,1.58,1.13,+0.45,0.45,+39.8,False,0.154,0.120,+0.034,0.034,+28.3,False
nav_a_diff,1.00m,1.24,1.33,-0.09,0.09,-6.8,False,0.109,0.114,-0.005,0.005,-4.4,False
nav_a_omni,1.00m,0.98,1.18,-0.20,0.20,-16.9,False,0.063,0.105,-0.042,0.042,-40.0,False
loop,1.00m,3.14,3.80,-0.66,0.66,-17.4,False,0.160,0.236,-0.076,0.076,-32.2,False
slippage,1.00m,1.07,0.74,+0.33,0.33,+44.6,False,0.129,0.093,+0.036,0.036,+38.7,False
nav_a_diff,1.50m,1.10,1.28,-0.18,0.18,-14.1,False,0.101,0.122,-0.021,0.021,-17.2,False
nav_a_omni,1.50m,0.92,1.05,-0.13,0.13,-12.4,False,0.076,0.083,-0.007,0.007,-8.4,False
loop,1.50m,3.03,2.94,+0.09,0.09,+3.1,False,0.161,0.210,-0.049,0.049,-23.3,False
slippage,1.50m,1.07,0.79,+0.28,0.28,+35.4,False,0.102,0.115,-0.013,0.013,-11.3,False
nav_a_diff,2.00m,1.07,1.11,-0.04,0.04,-3.6,True,0.087,0.119,-0.032,0.032,-26.9,False
nav_a_omni,2.00m,0.88,0.87,+0.01,0.01,+1.1,True,0.085,0.070,+0.015,0.015,+21.4,False
loop,2.00m,2.58,2.75,-0.17,0.17,-6.2,False,0.150,0.165,-0.015,0.015,-9.1,False
slippage,2.00m,0.87,0.69,+0.18,0.18,+26.1,False,0.114,0.095,+0.019,0.019,+20.0,False
nav_a_diff,2.50m,1.10,1.05,+0.05,0.05,+4.8,False,0.091,0.091,+0.000,0.000,+0.0,True
nav_a_omni,2.50m,0.91,1.06,-0.15,0.15,-14.2,False,0.080,0.089,-0.009,0.009,-10.1,False
loop,2.50m,3.19,2.92,+0.27,0.27,+9.2,False,0.165,0.184,-0.019,0.019,-10.3,False
slippage,2.50m,0.80,0.76,+0.04,0.04,+5.3,True,0.081,0.099,-0.018,0.018,-18.2,False
nav_a_diff,3.00m,1.23,1.53,-0.30,0.30,-19.6,False,0.108,0.109,-0.001,0.001,-0.9,True
nav_a_omni,3.00m,1.27,1.30,-0.03,0.03,-2.3,True,0.113,0.113,+0.000,0.000,+0.0,True
loop,3.00m,2.72,3.29,-0.57,0.57,-17.3,False,0.145,0.149,-0.004,0.004,-2.7,True
slippage,3.00m,0.79,0.71,+0.08,0.08,+11.3,False,0.079,0.075,+0.004,0.004,+5.3,True
nav_a_diff,40%,1.01,1.06,-0.05,0.05,-4.7,False,0.085,0.090,-0.005,0.005,-5.6,True
nav_a_omni,40%,1.04,0.97,+0.07,0.07,+7.2,False,0.088,0.087,+0.001,0.001,+1.1,True
loop,40%,2.29,1.75,+0.54,0.54,+30.9,False,0.135,0.121,+0.014,0.014,+11.6,False
slippage,40%,0.76,0.79,-0.03,0.03,-3.8,True,0.073,0.078,-0.005,0.005,-6.4,False
nav_a_diff,50%,0.98,1.15,-0.17,0.17,-14.8,False,0.085,0.100,-0.015,0.015,-15.0,False
nav_a_omni,50%,0.84,0.94,-0.10,0.10,-10.6,False,0.067,0.089,-0.022,0.022,-24.7,False
loop,50%,2.57,2.27,+0.30,0.30,+13.2,False,0.136,0.146,-0.010,0.010,-6.8,False
slippage,50%,0.71,0.65,+0.06,0.06,+9.2,False,0.091,0.083,+0.008,0.008,+9.6,False
nav_a_diff,60%,1.16,1.10,+0.06,0.06,+5.5,False,0.103,0.104,-0.001,0.001,-1.0,True
nav_a_omni,60%,0.87,0.84,+0.03,0.03,+3.6,True,0.086,0.079,+0.007,0.007,+8.9,False
loop,60%,2.51,2.68,-0.17,0.17,-6.3,False,0.123,0.150,-0.027,0.027,-18.0,False
slippage,60%,0.72,0.76,-0.04,0.04,-5.3,True,0.070,0.118,-0.048,0.048,-40.7,False
nav_a_diff,70%,1.23,1.23,+0.00,0.00,+0.0,True,0.106,0.117,-0.011,0.011,-9.4,False
nav_a_omni,70%,1.04,0.84,+0.20,0.20,+23.8,False,0.077,0.079,-0.002,0.002,-2.5,True
loop,70%,2.73,3.66,-0.93,0.93,-25.4,False,0.157,0.216,-0.059,0.059,-27.3,False
slippage,70%,0.89,0.67,+0.22,0.22,+32.8,False,0.115,0.076,+0.039,0.039,+51.3,False
nav_a_diff,80%,1.34,3.04,-1.70,1.70,-55.9,False,0.115,0.158,-0.043,0.043,-27.2,False
nav_a_omni,80%,1.24,5.02,-3.78,3.78,-75.3,False,0.073,0.214,-0.141,0.141,-65.9,False
loop,80%,3.09,6.84,-3.75,3.75,-54.8,False,0.168,0.255,-0.087,0.087,-34.1,False
slippage,80%,1.04,5.08,-4.04,4.04,-79.5,False,0.107,0.079,+0.028,0.028,+35.4,False
nav_a_diff,90%,1.96,7.97,-6.01,6.01,-75.4,False,0.132,0.215,-0.083,0.083,-38.6,False
nav_a_omni,90%,1.56,9.50,-7.94,7.94,-83.6,False,0.075,0.211,-0.136,0.136,-64.5,False
loop,90%,4.12,8.29,-4.17,4.17,-50.3,False,0.140,0.137,+0.003,0.003,+2.2,True
slippage,90%,2.17,6.99,-4.82,4.82,-69.0,False,0.160,0.242,-0.082,0.082,-33.9,False
