scenario,param,rte_dmap_p2pl,rte_icp_p2p,signed_diff_rte_(A-B),abs_diff_rte,rel_diff_rte_%_(A-B),within_thresh_rte,rre_dmap_p2pl,rre_icp_p2p,signed_diff_rre_(A-B),abs_diff_rre,rel_diff_rre_%_(A-B),within_thresh_rre
nav_a_diff,0.50m,1.33,3.01,-1.68,1.68,-55.8,False,0.129,0.175,-0.046,0.046,-26.3,False
nav_a_omni,0.50m,1.09,2.54,-1.45,1.45,-57.1,False,0.102,0.124,-0.022,0.022,-17.7,False
loop,0.50m,4.48,5.95,-1.47,1.47,-24.7,False,0.281,0.308,-0.027,0.027,-8.8,False
slippage,0.50m,0.90,1.19,-0.29,0.29,-24.4,False,0.081,0.083,-0.002,0.002,-2.4,True
nav_a_diff,1.00m,1.21,2.05,-0.84,0.84,-41.0,False,0.120,0.154,-0.034,0.034,-22.1,False
nav_a_omni,1.00m,1.09,1.80,-0.71,0.71,-39.4,False,0.108,0.125,-0.017,0.017,-13.6,False
loop,1.00m,4.18,4.33,-0.15,0.15,-3.5,False,0.254,0.234,+0.020,0.020,+8.5,False
slippage,1.00m,1.19,0.60,+0.59,0.59,+98.3,False,0.136,0.092,+0.044,0.044,+47.8,False
nav_a_diff,1.50m,1.23,1.69,-0.46,0.46,-27.2,False,0.114,0.147,-0.033,0.033,-22.4,False
nav_a_omni,1.50m,1.18,1.47,-0.29,0.29,-19.7,False,0.110,0.104,+0.006,0.006,+5.8,False
loop,1.50m,3.80,3.13,+0.67,0.67,+21.4,False,0.227,0.188,+0.039,0.039,+20.7,False
slippage,1.50m,0.77,0.50,+0.27,0.27,+54.0,False,0.051,0.053,-0.002,0.002,-3.8,True
nav_a_diff,2.00m,1.15,1.42,-0.27,0.27,-19.0,False,0.105,0.124,-0.019,0.019,-15.3,False
nav_a_omni,2.00m,1.07,1.32,-0.25,0.25,-18.9,False,0.105,0.115,-0.010,0.010,-8.7,False
loop,2.00m,3.20,2.84,+0.36,0.36,+12.7,False,0.188,0.194,-0.006,0.006,-3.1,False
slippage,2.00m,0.76,0.49,+0.27,0.27,+55.1,False,0.042,0.057,-0.015,0.015,-26.3,False
